LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JAMES B PIERCE,CAROL NAJERA
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,64,66
ACTON,0050003A,1,3,N,0,VBM PORTION,133,32,69
ACTON,0050003A,1,3,N,1086,TOTAL,288,96,135
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,32,42
ACTON,0050004A,2,3,N,0,VBM PORTION,132,48,54
ACTON,0050004A,2,3,N,820,TOTAL,242,80,96
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,41,54
ACTON,0050005A,3,3,N,0,VBM PORTION,83,19,38
ACTON,0050005A,3,3,N,748,TOTAL,205,60,92
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,15,31
ACTON,0050014A,4,3,N,0,VBM PORTION,57,20,27
ACTON,0050014A,4,3,N,488,TOTAL,114,35,58
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,4,14
ACTON,0050022A,6001,4,Y,61,TOTAL,22,4,14
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,1,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,1,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,1,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,1,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,57,55
ACTON,0050059A,5,3,N,0,VBM PORTION,122,45,55
ACTON,0050059A,5,3,N,1211,TOTAL,272,102,110
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,48,74
ACTON,0050061A,6,3,N,0,VBM PORTION,155,50,68
ACTON,0050061A,6,3,N,1159,TOTAL,308,98,142
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,2,1
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,2,1
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,1,6
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,1,6
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,66,52
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,47,48
AGOURA,0070004A,7,88,N,1212,TOTAL,312,113,100
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,62,59
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,58,40
AGOURA,0070006A,8,88,N,1201,TOTAL,337,120,99
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,23,12
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,42,24
AGOURA,0070008B,9,56,N,846,TOTAL,143,65,36
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,42,44
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,28,18
AGOURA,0070041A,10,88,N,716,TOTAL,193,70,62
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,36,44
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,42,38
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,78,82
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,65,38
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,48,54
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,113,92
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,43,38
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,35,32
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,78,70
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,46,44
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,32,39
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,78,83
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,48,43
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,44,28
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,92,71
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,44,60
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,37,52
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,81,112
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,58,53
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,42,49
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,100,102
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,49,23
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,29,32
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,78,55
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,58,60
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,54,59
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,112,119
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,37,42
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,54,49
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,91,91
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,37,41
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,46,51
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,83,92
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,48,47
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,51,36
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,99,83
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,32,58
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,42,52
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,74,110
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,29,45
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,26,29
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,55,74
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,20,25
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,23,29
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,43,54
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,14,9
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,14,9
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,1,3
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,1,3
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,0,4
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,0,4
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,31,38
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,21,28
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,52,66
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,20,15
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,25,21
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,45,36
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,53,51
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,45,46
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,98,97
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,16,30
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,30,21
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,46,51
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,25,30
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,25,19
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,50,49
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,39,51
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,43,40
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,82,91
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,28,29
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,23,26
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,51,55
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,32,35
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,28,23
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,60,58
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,46,40
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,30,33
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,76,73
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,25,44
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,26,28
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,51,72
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,27,37
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,25,26
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,52,63
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,22,27
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,49,34
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,71,61
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,30,43
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,24,22
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,54,65
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,31,25
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,30,27
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,61,52
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,15,12
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,16,11
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,31,23
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,25,19
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,25,27
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,50,46
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,17,46
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,24,32
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,41,78
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,27,38
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,29,24
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,56,62
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,15,26
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,15,13
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,30,39
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,24,56
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,25,25
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,49,81
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,12,28
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,26,28
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,38,56
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,41,31
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,35,36
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,76,67
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,11,22
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,22,33
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,33,55
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,22,14
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,16,17
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,38,31
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,8,28
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,17,27
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,25,55
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,18,22
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,37,19
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,55,41
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,36,34
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,27,21
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,63,55
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,34,41
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,29,26
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,63,67
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,22,34
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,19,14
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,41,48
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,24,29
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,19,19
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,43,48
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,13,8
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,12,18
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,25,26
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,33,49
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,22,18
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,55,67
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,25,33
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,40,31
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,65,64
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,46,45
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,33,24
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,79,69
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,20,23
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,57,44
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,77,67
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,22,31
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,30,24
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,52,55
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,12,18
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,15,8
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,27,26
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,29,29
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,18,16
ALTADENA,0200001A,63,33,N,500,TOTAL,118,47,45
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,21,14
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,43,25
ALTADENA,0200002A,64,33,N,692,TOTAL,152,64,39
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,23,42
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,22,35
ALTADENA,0200003A,65,33,N,854,TOTAL,161,45,77
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,65,53
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,73,73
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,138,126
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,53,42
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,59,35
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,112,77
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,25,33
