LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,23,110
ACTON,0050003A,1,3,N,0,VBM PORTION,133,12,90
ACTON,0050003A,1,3,N,1086,TOTAL,288,35,200
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,15,61
ACTON,0050004A,2,3,N,0,VBM PORTION,132,4,98
ACTON,0050004A,2,3,N,820,TOTAL,242,19,159
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,12,79
ACTON,0050005A,3,3,N,0,VBM PORTION,83,6,49
ACTON,0050005A,3,3,N,748,TOTAL,205,18,128
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,7,39
ACTON,0050014A,4,3,N,0,VBM PORTION,57,4,41
ACTON,0050014A,4,3,N,488,TOTAL,114,11,80
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,1,18
ACTON,0050022A,6001,4,Y,61,TOTAL,22,1,18
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,1
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,1
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,1,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,1,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,16,96
ACTON,0050059A,5,3,N,0,VBM PORTION,122,11,91
ACTON,0050059A,5,3,N,1211,TOTAL,272,27,187
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,11,111
ACTON,0050061A,6,3,N,0,VBM PORTION,155,21,99
ACTON,0050061A,6,3,N,1159,TOTAL,308,32,210
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,0,3
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,0,3
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,2,9
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,2,9
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,29,91
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,21,84
AGOURA,0070004A,7,88,N,1212,TOTAL,312,50,175
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,23,87
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,19,82
AGOURA,0070006A,8,88,N,1201,TOTAL,337,42,169
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,6,27
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,13,49
AGOURA,0070008B,9,56,N,846,TOTAL,143,19,76
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,25,57
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,6,37
AGOURA,0070041A,10,88,N,716,TOTAL,193,31,94
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,17,65
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,9,75
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,26,140
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,20,77
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,16,83
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,36,160
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,14,73
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,12,54
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,26,127
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,9,80
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,8,71
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,17,151
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,14,76
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,10,58
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,24,134
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,11,93
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,12,83
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,23,176
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,25,83
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,21,72
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,46,155
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,11,56
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,9,50
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,20,106
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,22,98
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,21,89
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,43,187
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,17,62
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,8,89
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,25,151
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,14,64
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,14,77
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,28,141
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,18,79
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,11,73
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,29,152
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,10,79
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,6,86
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,16,165
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,9,64
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,12,45
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,21,109
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,3,37
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,8,42
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,11,79
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,5,19
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,5,19
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,1,5
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,1,5
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,0,4
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,0,4
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,14,54
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,2,50
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,16,104
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,9,26
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,14,31
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,23,57
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,25,76
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,11,77
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,36,153
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,8,32
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,4,42
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,12,74
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,12,43
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,7,36
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,19,79
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,17,71
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,16,73
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,33,144
