LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PAMALA F MATSUMOTO,AMY CARTER
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,22,109
ACTON,0050003A,1,3,N,0,VBM PORTION,133,20,90
ACTON,0050003A,1,3,N,1086,TOTAL,288,42,199
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,21,62
ACTON,0050004A,2,3,N,0,VBM PORTION,132,27,79
ACTON,0050004A,2,3,N,820,TOTAL,242,48,141
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,19,79
ACTON,0050005A,3,3,N,0,VBM PORTION,83,19,43
ACTON,0050005A,3,3,N,748,TOTAL,205,38,122
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,10,38
ACTON,0050014A,4,3,N,0,VBM PORTION,57,7,39
ACTON,0050014A,4,3,N,488,TOTAL,114,17,77
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,5,11
ACTON,0050022A,6001,4,Y,61,TOTAL,22,5,11
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,1
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,1
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,23,101
ACTON,0050059A,5,3,N,0,VBM PORTION,122,22,80
ACTON,0050059A,5,3,N,1211,TOTAL,272,45,181
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,17,109
ACTON,0050061A,6,3,N,0,VBM PORTION,155,23,99
ACTON,0050061A,6,3,N,1159,TOTAL,308,40,208
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,1,4
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,1,4
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,10,8
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,10,8
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,56,75
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,50,58
AGOURA,0070004A,7,88,N,1212,TOTAL,312,106,133
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,63,72
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,41,59
AGOURA,0070006A,8,88,N,1201,TOTAL,337,104,131
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,16,19
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,36,40
AGOURA,0070008B,9,56,N,846,TOTAL,143,52,59
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,37,57
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,23,26
AGOURA,0070041A,10,88,N,716,TOTAL,193,60,83
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,34,51
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,19,75
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,53,126
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,34,78
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,37,80
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,71,158
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,29,66
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,26,44
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,55,110
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,32,65
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,27,59
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,59,124
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,38,58
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,29,49
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,67,107
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,39,69
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,35,65
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,74,134
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,44,74
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,35,65
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,79,139
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,41,32
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,31,28
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,72,60
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,42,90
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,47,72
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,89,162
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,35,52
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,40,64
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,75,116
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,23,57
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,41,55
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,64,112
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,41,66
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,37,57
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,78,123
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,27,72
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,25,70
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,52,142
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,16,63
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,13,41
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,29,104
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,6,36
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,12,44
