LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SHANNON L KNIGHT,DEBRA L LOSNICK
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,111,25
ACTON,0050003A,1,3,N,0,VBM PORTION,133,82,24
ACTON,0050003A,1,3,N,1086,TOTAL,288,193,49
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,58,22
ACTON,0050004A,2,3,N,0,VBM PORTION,132,86,19
ACTON,0050004A,2,3,N,820,TOTAL,242,144,41
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,77,21
ACTON,0050005A,3,3,N,0,VBM PORTION,83,46,12
ACTON,0050005A,3,3,N,748,TOTAL,205,123,33
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,41,6
ACTON,0050014A,4,3,N,0,VBM PORTION,57,34,13
ACTON,0050014A,4,3,N,488,TOTAL,114,75,19
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,13,6
ACTON,0050022A,6001,4,Y,61,TOTAL,22,13,6
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,1,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,1,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,104,21
ACTON,0050059A,5,3,N,0,VBM PORTION,122,75,30
ACTON,0050059A,5,3,N,1211,TOTAL,272,179,51
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,95,30
ACTON,0050061A,6,3,N,0,VBM PORTION,155,84,33
ACTON,0050061A,6,3,N,1159,TOTAL,308,179,63
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,3,2
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,3,2
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,7,6
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,7,6
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,64,61
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,67,39
AGOURA,0070004A,7,88,N,1212,TOTAL,312,131,100
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,65,66
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,59,46
AGOURA,0070006A,8,88,N,1201,TOTAL,337,124,112
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,18,15
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,50,27
AGOURA,0070008B,9,56,N,846,TOTAL,143,68,42
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,55,37
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,26,23
AGOURA,0070041A,10,88,N,716,TOTAL,193,81,60
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,53,37
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,69,27
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,122,64
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,68,43
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,69,41
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,137,84
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,64,30
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,45,23
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,109,53
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,61,36
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,52,34
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,113,70
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,53,44
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,41,36
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,94,80
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,71,37
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,74,28
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,145,65
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,59,52
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,65,33
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,124,85
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,38,34
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,27,32
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,65,66
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,79,46
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,74,40
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,153,86
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,55,33
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,59,44
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,114,77
