LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,45,48,32
ACTON,0050003A,1,3,N,0,VBM PORTION,133,35,39,32
ACTON,0050003A,1,3,N,1086,TOTAL,288,80,87,64
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,15,39,23
ACTON,0050004A,2,3,N,0,VBM PORTION,132,32,40,30
ACTON,0050004A,2,3,N,820,TOTAL,242,47,79,53
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,26,33,40
ACTON,0050005A,3,3,N,0,VBM PORTION,83,21,15,19
ACTON,0050005A,3,3,N,748,TOTAL,205,47,48,59
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,11,17,19
ACTON,0050014A,4,3,N,0,VBM PORTION,57,18,21,9
ACTON,0050014A,4,3,N,488,TOTAL,114,29,38,28
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,5,5,7
ACTON,0050022A,6001,4,Y,61,TOTAL,22,5,5,7
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,1,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,1,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,27,47,46
ACTON,0050059A,5,3,N,0,VBM PORTION,122,28,44,28
ACTON,0050059A,5,3,N,1211,TOTAL,272,55,91,74
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,41,43,40
ACTON,0050061A,6,3,N,0,VBM PORTION,155,37,51,30
ACTON,0050061A,6,3,N,1159,TOTAL,308,78,94,70
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,2,0,1
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,2,0,1
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,3,4,5
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,3,4,5
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,36,23,58
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,27,31,44
AGOURA,0070004A,7,88,N,1212,TOTAL,312,63,54,102
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,27,25,69
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,32,35,36
AGOURA,0070006A,8,88,N,1201,TOTAL,337,59,60,105
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,8,11,15
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,21,26,24
AGOURA,0070008B,9,56,N,846,TOTAL,143,29,37,39
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,25,27,31
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,13,16,17
AGOURA,0070041A,10,88,N,716,TOTAL,193,38,43,48
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,30,21,34
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,31,24,37
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,61,45,71
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,16,36,56
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,22,33,48
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,38,69,104
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,28,24,36
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,17,20,23
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,45,44,59
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,25,26,40
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,20,20,41
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,45,46,81
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,25,25,44
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,13,21,39
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,38,46,83
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,22,27,50
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,31,21,45
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,53,48,95
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,22,29,64
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,23,31,38
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,45,60,102
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,10,27,32
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,19,13,26
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,29,40,58
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,32,21,68
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,27,35,53
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,59,56,121
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,24,18,40
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,25,33,41
