LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TRACY OKIDA,JOHN Y WONG,JOHN MORRIS,B E MANYERE,KRISH KUMAR,NESTOR VALENCIA,JEFFREY PRANG,OMAR HAROON,FRANK DIAZ JR,YVONNE AUSTIN,SANDY SUN,JOHN LOEW
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,8,16,21,2,1,8,25,3,2,11,3,29
ACTON,0050003A,1,3,N,0,VBM PORTION,133,15,13,12,0,2,1,13,7,5,7,2,30
ACTON,0050003A,1,3,N,1086,TOTAL,288,23,29,33,2,3,9,38,10,7,18,5,59
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,4,8,23,0,3,2,12,0,4,5,4,17
ACTON,0050004A,2,3,N,0,VBM PORTION,132,4,13,19,1,1,3,17,9,9,2,4,23
ACTON,0050004A,2,3,N,820,TOTAL,242,8,21,42,1,4,5,29,9,13,7,8,40
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,4,6,13,1,5,3,17,10,1,9,7,22
ACTON,0050005A,3,3,N,0,VBM PORTION,83,5,8,8,0,1,1,6,7,5,2,4,19
ACTON,0050005A,3,3,N,748,TOTAL,205,9,14,21,1,6,4,23,17,6,11,11,41
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,1,0,7,3,1,3,6,3,5,4,1,14
ACTON,0050014A,4,3,N,0,VBM PORTION,57,1,6,11,1,2,0,7,1,0,6,0,11
ACTON,0050014A,4,3,N,488,TOTAL,114,2,6,18,4,3,3,13,4,5,10,1,25
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,0,3,3,0,1,0,4,4,1,0,0,5
ACTON,0050022A,6001,4,Y,61,TOTAL,22,0,3,3,0,1,0,4,4,1,0,0,5
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,1,0,0,0,0,0,0,0,0,0,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,1,0,0,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,4,22,15,2,3,3,14,7,12,1,7,31
ACTON,0050059A,5,3,N,0,VBM PORTION,122,6,12,11,0,6,3,20,6,0,3,4,29
ACTON,0050059A,5,3,N,1211,TOTAL,272,10,34,26,2,9,6,34,13,12,4,11,60
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,3,11,21,1,7,5,20,7,5,7,6,26
ACTON,0050061A,6,3,N,0,VBM PORTION,155,7,7,18,0,8,4,18,9,11,10,6,19
ACTON,0050061A,6,3,N,1159,TOTAL,308,10,18,39,1,15,9,38,16,16,17,12,45
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,0,1,0,0,0,0,2,0,0,0,0,0
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,0,1,0,0,0,0,2,0,0,0,0,0
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,0,8,2,0,0,0,1,0,1,0,1,2
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,0,8,2,0,0,0,1,0,1,0,1,2
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,1,7,32,2,4,2,26,6,3,9,9,23
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,3,16,24,1,4,3,8,3,3,4,11,18
AGOURA,0070004A,7,88,N,1212,TOTAL,312,4,23,56,3,8,5,34,9,6,13,20,41
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,7,5,38,3,3,2,22,7,7,9,9,17
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,2,2,26,2,1,1,23,7,2,6,8,17
AGOURA,0070006A,8,88,N,1201,TOTAL,337,9,7,64,5,4,3,45,14,9,15,17,34
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,1,3,10,1,2,3,6,4,2,1,1,2
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,2,9,6,1,2,1,8,7,1,5,3,16
AGOURA,0070008B,9,56,N,846,TOTAL,143,3,12,16,2,4,4,14,11,3,6,4,18
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,2,9,14,0,1,4,16,12,4,7,9,8
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,0,6,10,0,2,0,5,3,0,4,10,7
AGOURA,0070041A,10,88,N,716,TOTAL,193,2,15,24,0,3,4,21,15,4,11,19,15
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,2,7,17,1,2,1,17,7,4,4,6,15
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,1,4,14,0,1,4,14,9,7,5,6,14
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,3,11,31,1,3,5,31,16,11,9,12,29
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,3,9,19,1,3,0,22,14,11,1,14,20
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,0,11,20,1,2,2,21,9,4,9,10,13
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,3,20,39,2,5,2,43,23,15,10,24,33
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,6,10,13,0,6,1,20,3,3,10,14,6
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,5,6,20,1,3,2,10,4,5,6,7,7
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,11,16,33,1,9,3,30,7,8,16,21,13
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,1,8,21,0,5,3,27,7,3,4,7,10
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,4,4,15,2,1,0,14,3,5,6,14,10
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,5,12,36,2,6,3,41,10,8,10,21,20
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,3,9,26,2,2,3,25,2,5,1,15,7
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,3,9,9,0,2,0,22,5,3,4,4,9
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,6,18,35,2,4,3,47,7,8,5,19,16
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,4,12,26,2,5,0,27,9,4,7,5,12
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,3,17,18,1,0,1,32,3,3,6,12,6
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,7,29,44,3,5,1,59,12,7,13,17,18
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,1,16,27,0,2,2,26,5,2,6,14,8
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,1,8,19,1,1,2,20,1,3,7,11,17
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,2,24,46,1,3,4,46,6,5,13,25,25
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,3,6,33,1,1,1,12,1,0,2,5,11
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,2,7,14,0,6,0,7,2,4,3,5,6
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,5,13,47,1,7,1,19,3,4,5,10,17
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,4,17,23,1,3,2,31,6,7,9,9,10
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,2,16,21,0,12,2,22,5,6,4,12,23
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,6,33,44,1,15,4,53,11,13,13,21,33
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,0,3,10,0,6,1,27,6,6,6,12,10
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,6,6,22,1,4,1,13,6,6,5,17,11
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,6,9,32,1,10,2,40,12,12,11,29,21
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,1,10,13,0,3,1,20,1,3,3,13,6
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,0,1,18,1,4,0,24,9,1,13,14,12
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,1,11,31,1,7,1,44,10,4,16,27,18
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,0,6,27,2,3,1,21,8,6,3,13,13
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,2,8,33,1,7,1,9,2,6,5,13,13
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,2,14,60,3,10,2,30,10,12,8,26,26
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,3,21,24,1,2,3,14,4,2,5,6,17
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,6,17,9,0,4,1,22,2,3,4,6,21
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,9,38,33,1,6,4,36,6,5,9,12,38
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,4,16,14,2,1,2,11,10,2,3,2,11
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,2,5,7,0,2,0,7,4,1,6,6,11
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,6,21,21,2,3,2,18,14,3,9,8,22
