LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,49,96
ACTON,0050003A,1,3,N,0,VBM PORTION,133,54,65
ACTON,0050003A,1,3,N,1086,TOTAL,288,103,161
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,45,61
ACTON,0050004A,2,3,N,0,VBM PORTION,132,52,63
ACTON,0050004A,2,3,N,820,TOTAL,242,97,124
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,66,46
ACTON,0050005A,3,3,N,0,VBM PORTION,83,43,30
ACTON,0050005A,3,3,N,748,TOTAL,205,109,76
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,28,26
ACTON,0050014A,4,3,N,0,VBM PORTION,57,27,23
ACTON,0050014A,4,3,N,488,TOTAL,114,55,49
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,13,6
ACTON,0050022A,6001,4,Y,61,TOTAL,22,13,6
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,1
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,1
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,1
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,1
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,65,71
ACTON,0050059A,5,3,N,0,VBM PORTION,122,55,44
ACTON,0050059A,5,3,N,1211,TOTAL,272,120,115
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,65,80
ACTON,0050061A,6,3,N,0,VBM PORTION,155,62,73
ACTON,0050061A,6,3,N,1159,TOTAL,308,127,153
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,2,2
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,2,2
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,16,6
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,16,6
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,107,51
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,76,45
AGOURA,0070004A,7,88,N,1212,TOTAL,312,183,96
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,114,49
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,83,37
AGOURA,0070006A,8,88,N,1201,TOTAL,337,197,86
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,26,13
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,47,27
AGOURA,0070008B,9,56,N,846,TOTAL,143,73,40
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,78,37
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,32,14
AGOURA,0070041A,10,88,N,716,TOTAL,193,110,51
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,78,35
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,69,44
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,147,79
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,80,47
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,77,58
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,157,105
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,72,41
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,50,26
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,122,67
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,84,29
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,63,34
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,147,63
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,93,26
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,46,37
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,139,63
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,89,40
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,90,34
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,179,74
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,93,49
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,59,52
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,152,101
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,59,28
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,53,18
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,112,46
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,102,53
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,95,38
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,197,91
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,80,28
