LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,REBECCA POIRIER,JAY SCHARFMAN,GINA SEMANA
TORRANCE,7150001A,2653,185,N,735,POLLING PLACE,93,30,8,22
TORRANCE,7150001A,2653,185,N,0,VBM PORTION,94,46,10,13
TORRANCE,7150001A,2653,185,N,735,TOTAL,187,76,18,35
TORRANCE,7150002A,2654,185,N,906,POLLING PLACE,163,64,17,20
TORRANCE,7150002A,2654,185,N,0,VBM PORTION,125,53,9,20
TORRANCE,7150002A,2654,185,N,906,TOTAL,288,117,26,40
TORRANCE,7150003A,2655,185,N,994,POLLING PLACE,113,50,8,17
TORRANCE,7150003A,2655,185,N,0,VBM PORTION,101,61,9,5
TORRANCE,7150003A,2655,185,N,994,TOTAL,214,111,17,22
TORRANCE,7150004A,2656,185,N,1245,POLLING PLACE,107,58,6,12
TORRANCE,7150004A,2656,185,N,0,VBM PORTION,126,53,11,18
TORRANCE,7150004A,2656,185,N,1245,TOTAL,233,111,17,30
TORRANCE,7150005A,2657,185,N,882,POLLING PLACE,109,46,20,11
TORRANCE,7150005A,2657,185,N,0,VBM PORTION,103,58,1,13
TORRANCE,7150005A,2657,185,N,882,TOTAL,212,104,21,24
TORRANCE,7150008A,2658,185,N,910,POLLING PLACE,93,53,6,12
TORRANCE,7150008A,2658,185,N,0,VBM PORTION,123,60,12,17
TORRANCE,7150008A,2658,185,N,910,TOTAL,216,113,18,29
TORRANCE,7150009A,2659,185,N,969,POLLING PLACE,117,49,10,17
TORRANCE,7150009A,2659,185,N,0,VBM PORTION,125,66,7,15
TORRANCE,7150009A,2659,185,N,969,TOTAL,242,115,17,32
TORRANCE,7150010A,2660,185,N,1478,POLLING PLACE,130,58,8,25
TORRANCE,7150010A,2660,185,N,0,VBM PORTION,171,100,6,23
TORRANCE,7150010A,2660,185,N,1478,TOTAL,301,158,14,48
TORRANCE,7150012A,2661,185,N,904,POLLING PLACE,103,43,18,9
TORRANCE,7150012A,2661,185,N,0,VBM PORTION,103,38,9,11
TORRANCE,7150012A,2661,185,N,904,TOTAL,206,81,27,20
TORRANCE,7150013A,2662,185,N,1369,POLLING PLACE,161,81,25,27
TORRANCE,7150013A,2662,185,N,0,VBM PORTION,176,82,17,17
TORRANCE,7150013A,2662,185,N,1369,TOTAL,337,163,42,44
TORRANCE,7150015A,2663,185,N,1238,POLLING PLACE,180,92,17,24
TORRANCE,7150015A,2663,185,N,0,VBM PORTION,174,71,18,24
TORRANCE,7150015A,2663,185,N,1238,TOTAL,354,163,35,48
TORRANCE,7150016A,2664,185,N,768,POLLING PLACE,142,64,19,25
TORRANCE,7150016A,2664,185,N,0,VBM PORTION,103,56,6,6
TORRANCE,7150016A,2664,185,N,768,TOTAL,245,120,25,31
TORRANCE,7150017A,2665,185,N,1103,POLLING PLACE,174,89,17,18
TORRANCE,7150017A,2665,185,N,0,VBM PORTION,168,82,8,22
TORRANCE,7150017A,2665,185,N,1103,TOTAL,342,171,25,40
TORRANCE,7150021A,2666,180,N,1000,POLLING PLACE,218,100,26,27
TORRANCE,7150021A,2666,180,N,0,VBM PORTION,150,78,20,14
TORRANCE,7150021A,2666,180,N,1000,TOTAL,368,178,46,41
TORRANCE,7150022A,2667,185,N,1043,POLLING PLACE,140,65,15,18
TORRANCE,7150022A,2667,185,N,0,VBM PORTION,99,44,7,19
TORRANCE,7150022A,2667,185,N,1043,TOTAL,239,109,22,37
