LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DANA CORTEZ
TORRANCE,7150001A,2653,185,N,735,POLLING PLACE,93,47
TORRANCE,7150001A,2653,185,N,0,VBM PORTION,94,54
TORRANCE,7150001A,2653,185,N,735,TOTAL,187,101
TORRANCE,7150002A,2654,185,N,906,POLLING PLACE,163,79
TORRANCE,7150002A,2654,185,N,0,VBM PORTION,125,71
TORRANCE,7150002A,2654,185,N,906,TOTAL,288,150
TORRANCE,7150003A,2655,185,N,994,POLLING PLACE,113,61
TORRANCE,7150003A,2655,185,N,0,VBM PORTION,101,60
TORRANCE,7150003A,2655,185,N,994,TOTAL,214,121
TORRANCE,7150004A,2656,185,N,1245,POLLING PLACE,107,73
TORRANCE,7150004A,2656,185,N,0,VBM PORTION,126,72
TORRANCE,7150004A,2656,185,N,1245,TOTAL,233,145
TORRANCE,7150005A,2657,185,N,882,POLLING PLACE,109,61
TORRANCE,7150005A,2657,185,N,0,VBM PORTION,103,60
TORRANCE,7150005A,2657,185,N,882,TOTAL,212,121
TORRANCE,7150008A,2658,185,N,910,POLLING PLACE,93,56
TORRANCE,7150008A,2658,185,N,0,VBM PORTION,123,75
TORRANCE,7150008A,2658,185,N,910,TOTAL,216,131
TORRANCE,7150009A,2659,185,N,969,POLLING PLACE,117,68
TORRANCE,7150009A,2659,185,N,0,VBM PORTION,125,77
TORRANCE,7150009A,2659,185,N,969,TOTAL,242,145
TORRANCE,7150010A,2660,185,N,1478,POLLING PLACE,130,67
TORRANCE,7150010A,2660,185,N,0,VBM PORTION,171,113
TORRANCE,7150010A,2660,185,N,1478,TOTAL,301,180
TORRANCE,7150012A,2661,185,N,904,POLLING PLACE,103,60
TORRANCE,7150012A,2661,185,N,0,VBM PORTION,103,59
TORRANCE,7150012A,2661,185,N,904,TOTAL,206,119
TORRANCE,7150013A,2662,185,N,1369,POLLING PLACE,161,117
TORRANCE,7150013A,2662,185,N,0,VBM PORTION,176,95
TORRANCE,7150013A,2662,185,N,1369,TOTAL,337,212
TORRANCE,7150015A,2663,185,N,1238,POLLING PLACE,180,116
TORRANCE,7150015A,2663,185,N,0,VBM PORTION,174,84
TORRANCE,7150015A,2663,185,N,1238,TOTAL,354,200
TORRANCE,7150016A,2664,185,N,768,POLLING PLACE,142,88
TORRANCE,7150016A,2664,185,N,0,VBM PORTION,103,57
TORRANCE,7150016A,2664,185,N,768,TOTAL,245,145
TORRANCE,7150017A,2665,185,N,1103,POLLING PLACE,174,95
TORRANCE,7150017A,2665,185,N,0,VBM PORTION,168,96
TORRANCE,7150017A,2665,185,N,1103,TOTAL,342,191
TORRANCE,7150021A,2666,180,N,1000,POLLING PLACE,218,128
TORRANCE,7150021A,2666,180,N,0,VBM PORTION,150,93
TORRANCE,7150021A,2666,180,N,1000,TOTAL,368,221
TORRANCE,7150022A,2667,185,N,1043,POLLING PLACE,140,84
TORRANCE,7150022A,2667,185,N,0,VBM PORTION,99,60
TORRANCE,7150022A,2667,185,N,1043,TOTAL,239,144
TORRANCE,7150023A,2668,180,N,969,POLLING PLACE,143,83
TORRANCE,7150023A,2668,180,N,0,VBM PORTION,103,66
TORRANCE,7150023A,2668,180,N,969,TOTAL,246,149
TORRANCE,7150024A,2669,180,N,748,POLLING PLACE,114,61
TORRANCE,7150024A,2669,180,N,0,VBM PORTION,104,63
TORRANCE,7150024A,2669,180,N,748,TOTAL,218,124
TORRANCE,7150025A,2670,185,N,1028,POLLING PLACE,160,102
TORRANCE,7150025A,2670,185,N,0,VBM PORTION,128,83
TORRANCE,7150025A,2670,185,N,1028,TOTAL,288,185
TORRANCE,7150026B,2671,185,N,850,POLLING PLACE,103,66
TORRANCE,7150026B,2671,185,N,0,VBM PORTION,107,61
TORRANCE,7150026B,2671,185,N,850,TOTAL,210,127
TORRANCE,7150027A,2672,185,N,1026,POLLING PLACE,131,79
TORRANCE,7150027A,2672,185,N,0,VBM PORTION,86,41
TORRANCE,7150027A,2672,185,N,1026,TOTAL,217,120
TORRANCE,7150028A,2673,185,N,1089,POLLING PLACE,131,68
TORRANCE,7150028A,2673,185,N,0,VBM PORTION,148,95
TORRANCE,7150028A,2673,185,N,1089,TOTAL,279,163
TORRANCE,7150029A,2674,185,N,1152,POLLING PLACE,110,70
TORRANCE,7150029A,2674,185,N,0,VBM PORTION,145,80
TORRANCE,7150029A,2674,185,N,1152,TOTAL,255,150
TORRANCE,7150031B,2675,180,N,1021,POLLING PLACE,225,129
TORRANCE,7150031B,2675,180,N,0,VBM PORTION,177,101
TORRANCE,7150031B,2675,180,N,1021,TOTAL,402,230
TORRANCE,7150032A,2676,180,N,980,POLLING PLACE,140,82
TORRANCE,7150032A,2676,180,N,0,VBM PORTION,125,57
TORRANCE,7150032A,2676,180,N,980,TOTAL,265,139
TORRANCE,7150033A,2677,185,N,1297,POLLING PLACE,126,77
TORRANCE,7150033A,2677,185,N,0,VBM PORTION,102,68
TORRANCE,7150033A,2677,185,N,1297,TOTAL,228,145
TORRANCE,7150037A,2678,180,N,956,POLLING PLACE,208,118
TORRANCE,7150037A,2678,180,N,0,VBM PORTION,131,70
TORRANCE,7150037A,2678,180,N,956,TOTAL,339,188
TORRANCE,7150038A,2679,180,N,1203,POLLING PLACE,243,142
TORRANCE,7150038A,2679,180,N,0,VBM PORTION,228,115
TORRANCE,7150038A,2679,180,N,1203,TOTAL,471,257
TORRANCE,7150039A,2680,180,N,1026,POLLING PLACE,82,42
TORRANCE,7150039A,2680,180,N,0,VBM PORTION,125,65
TORRANCE,7150039A,2680,180,N,1026,TOTAL,207,107
TORRANCE,7150041A,2681,185,N,1266,POLLING PLACE,139,82
TORRANCE,7150041A,2681,185,N,0,VBM PORTION,175,102
TORRANCE,7150041A,2681,185,N,1266,TOTAL,314,184
TORRANCE,7150046A,2682,180,N,1317,POLLING PLACE,219,130
TORRANCE,7150046A,2682,180,N,0,VBM PORTION,158,88
TORRANCE,7150046A,2682,180,N,1317,TOTAL,377,218
TORRANCE,7150048A,2683,185,N,1320,POLLING PLACE,102,71
TORRANCE,7150048A,2683,185,N,0,VBM PORTION,96,46
TORRANCE,7150048A,2683,185,N,1320,TOTAL,198,117
TORRANCE,7150049A,2684,185,N,1024,POLLING PLACE,159,92
TORRANCE,7150049A,2684,185,N,0,VBM PORTION,146,90
TORRANCE,7150049A,2684,185,N,1024,TOTAL,305,182
TORRANCE,7150050A,2685,180,N,1028,POLLING PLACE,156,82
TORRANCE,7150050A,2685,180,N,0,VBM PORTION,152,92
TORRANCE,7150050A,2685,180,N,1028,TOTAL,308,174
TORRANCE,7150051B,2686,185,N,1102,POLLING PLACE,126,86
TORRANCE,7150051B,2686,185,N,0,VBM PORTION,148,88
TORRANCE,7150051B,2686,185,N,1102,TOTAL,274,174
TORRANCE,7150055A,2687,185,N,911,POLLING PLACE,111,66
TORRANCE,7150055A,2687,185,N,0,VBM PORTION,130,72
TORRANCE,7150055A,2687,185,N,911,TOTAL,241,138
TORRANCE,7150056A,2688,185,N,1075,POLLING PLACE,194,103
TORRANCE,7150056A,2688,185,N,0,VBM PORTION,137,78
TORRANCE,7150056A,2688,185,N,1075,TOTAL,331,181
TORRANCE,7150058A,2689,185,N,1161,POLLING PLACE,137,87
TORRANCE,7150058A,2689,185,N,0,VBM PORTION,105,56
TORRANCE,7150058A,2689,185,N,1161,TOTAL,242,143
TORRANCE,7150061A,2690,182,N,1306,POLLING PLACE,163,105
TORRANCE,7150061A,2690,182,N,0,VBM PORTION,176,100
TORRANCE,7150061A,2690,182,N,1306,TOTAL,339,205
TORRANCE,7150064A,2691,182,N,1292,POLLING PLACE,255,151
TORRANCE,7150064A,2691,182,N,0,VBM PORTION,250,146
TORRANCE,7150064A,2691,182,N,1292,TOTAL,505,297
TORRANCE,7150065A,2692,182,N,1043,POLLING PLACE,101,70
TORRANCE,7150065A,2692,182,N,0,VBM PORTION,169,94
TORRANCE,7150065A,2692,182,N,1043,TOTAL,270,164
TORRANCE,7150067A,2693,182,N,1355,POLLING PLACE,217,139
TORRANCE,7150067A,2693,182,N,0,VBM PORTION,224,145
TORRANCE,7150067A,2693,182,N,1355,TOTAL,441,284
TORRANCE,7150068B,2694,182,N,1173,POLLING PLACE,180,111
TORRANCE,7150068B,2694,182,N,0,VBM PORTION,179,105
TORRANCE,7150068B,2694,182,N,1173,TOTAL,359,216
TORRANCE,7150069A,2695,182,N,1152,POLLING PLACE,166,100
TORRANCE,7150069A,2695,182,N,0,VBM PORTION,140,96
TORRANCE,7150069A,2695,182,N,1152,TOTAL,306,196
TORRANCE,7150071A,2696,180,N,984,POLLING PLACE,210,125
TORRANCE,7150071A,2696,180,N,0,VBM PORTION,133,80
TORRANCE,7150071A,2696,180,N,984,TOTAL,343,205
TORRANCE,7150076A,2697,185,N,1121,POLLING PLACE,109,61
TORRANCE,7150076A,2697,185,N,0,VBM PORTION,177,109
TORRANCE,7150076A,2697,185,N,1121,TOTAL,286,170
TORRANCE,7150077A,2698,185,N,950,POLLING PLACE,114,60
TORRANCE,7150077A,2698,185,N,0,VBM PORTION,143,82
TORRANCE,7150077A,2698,185,N,950,TOTAL,257,142
TORRANCE,7150078D,2699,180,N,749,POLLING PLACE,112,76
TORRANCE,7150078D,2699,180,N,0,VBM PORTION,156,80
TORRANCE,7150078D,2699,180,N,749,TOTAL,268,156
TORRANCE,7150081B,2700,180,N,902,POLLING PLACE,142,74
TORRANCE,7150081B,2700,180,N,0,VBM PORTION,150,81
TORRANCE,7150081B,2700,180,N,902,TOTAL,292,155
TORRANCE,7150082A,2701,180,N,1156,POLLING PLACE,224,131
TORRANCE,7150082A,2701,180,N,0,VBM PORTION,137,86
TORRANCE,7150082A,2701,180,N,1156,TOTAL,361,217
TORRANCE,7150084A,2702,180,N,1039,POLLING PLACE,191,116
TORRANCE,7150084A,2702,180,N,0,VBM PORTION,157,100
TORRANCE,7150084A,2702,180,N,1039,TOTAL,348,216
TORRANCE,7150087A,2703,182,N,1243,POLLING PLACE,137,80
TORRANCE,7150087A,2703,182,N,0,VBM PORTION,169,103
TORRANCE,7150087A,2703,182,N,1243,TOTAL,306,183
TORRANCE,7150090A,2704,180,N,980,POLLING PLACE,168,101
TORRANCE,7150090A,2704,180,N,0,VBM PORTION,163,93
TORRANCE,7150090A,2704,180,N,980,TOTAL,331,194
TORRANCE,7150092B,2705,180,N,1253,POLLING PLACE,262,126
TORRANCE,7150092B,2705,180,N,0,VBM PORTION,179,104
TORRANCE,7150092B,2705,180,N,1253,TOTAL,441,230
TORRANCE,7150094A,2706,180,N,1374,POLLING PLACE,174,102
TORRANCE,7150094A,2706,180,N,0,VBM PORTION,163,104
TORRANCE,7150094A,2706,180,N,1374,TOTAL,337,206
TORRANCE,7150098A,2707,180,N,1210,POLLING PLACE,263,150
TORRANCE,7150098A,2707,180,N,0,VBM PORTION,198,120
TORRANCE,7150098A,2707,180,N,1210,TOTAL,461,270
TORRANCE,7150101A,2708,180,N,1315,POLLING PLACE,178,103
TORRANCE,7150101A,2708,180,N,0,VBM PORTION,201,136
TORRANCE,7150101A,2708,180,N,1315,TOTAL,379,239
TORRANCE,7150102A,2709,180,N,1117,POLLING PLACE,153,80
TORRANCE,7150102A,2709,180,N,0,VBM PORTION,168,95
TORRANCE,7150102A,2709,180,N,1117,TOTAL,321,175
TORRANCE,7150104A,2710,180,N,885,POLLING PLACE,211,117
TORRANCE,7150104A,2710,180,N,0,VBM PORTION,188,89
TORRANCE,7150104A,2710,180,N,885,TOTAL,399,206
TORRANCE,7150106A,2711,180,N,1291,POLLING PLACE,241,117
TORRANCE,7150106A,2711,180,N,0,VBM PORTION,271,139
TORRANCE,7150106A,2711,180,N,1291,TOTAL,512,256
TORRANCE,7150109A,2712,180,N,1376,POLLING PLACE,268,127
TORRANCE,7150109A,2712,180,N,0,VBM PORTION,235,119
TORRANCE,7150109A,2712,180,N,1376,TOTAL,503,246
TORRANCE,7150112B,2713,180,N,1000,POLLING PLACE,176,95
TORRANCE,7150112B,2713,180,N,0,VBM PORTION,203,113
TORRANCE,7150112B,2713,180,N,1000,TOTAL,379,208
TORRANCE,7150114A,2714,180,N,1038,POLLING PLACE,150,82
TORRANCE,7150114A,2714,180,N,0,VBM PORTION,172,88
TORRANCE,7150114A,2714,180,N,1038,TOTAL,322,170
TORRANCE,7150115A,2715,180,N,899,POLLING PLACE,128,66
TORRANCE,7150115A,2715,180,N,0,VBM PORTION,88,35
TORRANCE,7150115A,2715,180,N,899,TOTAL,216,101
TORRANCE,7150116A,2716,182,N,1224,POLLING PLACE,194,122
TORRANCE,7150116A,2716,182,N,0,VBM PORTION,146,85
TORRANCE,7150116A,2716,182,N,1224,TOTAL,340,207
TORRANCE,7150121A,2717,182,N,1406,POLLING PLACE,252,167
TORRANCE,7150121A,2717,182,N,0,VBM PORTION,252,161
TORRANCE,7150121A,2717,182,N,1406,TOTAL,504,328
TORRANCE,7150125A,2718,185,N,838,POLLING PLACE,65,36
TORRANCE,7150125A,2718,185,N,0,VBM PORTION,74,44
TORRANCE,7150125A,2718,185,N,838,TOTAL,139,80
TORRANCE,7150131A,2719,180,N,902,POLLING PLACE,104,75
TORRANCE,7150131A,2719,180,N,0,VBM PORTION,101,68
TORRANCE,7150131A,2719,180,N,902,TOTAL,205,143
TORRANCE,7150132A,2720,180,N,1310,POLLING PLACE,147,86
TORRANCE,7150132A,2720,180,N,0,VBM PORTION,143,82
TORRANCE,7150132A,2720,180,N,1310,TOTAL,290,168
TORRANCE,7150137A,2721,185,N,902,POLLING PLACE,92,61
TORRANCE,7150137A,2721,185,N,0,VBM PORTION,89,59
TORRANCE,7150137A,2721,185,N,902,TOTAL,181,120
TORRANCE,7150144A,2722,180,N,1016,POLLING PLACE,150,80
TORRANCE,7150144A,2722,180,N,0,VBM PORTION,155,77
TORRANCE,7150144A,2722,180,N,1016,TOTAL,305,157
TORRANCE,7150146A,2723,180,N,922,POLLING PLACE,101,61
TORRANCE,7150146A,2723,180,N,0,VBM PORTION,93,47
TORRANCE,7150146A,2723,180,N,922,TOTAL,194,108
TORRANCE,7150149A,2724,185,N,1238,POLLING PLACE,160,91
TORRANCE,7150149A,2724,185,N,0,VBM PORTION,116,76
TORRANCE,7150149A,2724,185,N,1238,TOTAL,276,167
TORRANCE,7150161A,2725,180,N,1004,POLLING PLACE,96,60
TORRANCE,7150161A,2725,180,N,0,VBM PORTION,119,54
TORRANCE,7150161A,2725,180,N,1004,TOTAL,215,114
TORRANCE,7150182A,2726,180,N,964,POLLING PLACE,123,60
TORRANCE,7150182A,2726,180,N,0,VBM PORTION,180,84
TORRANCE,7150182A,2726,180,N,964,TOTAL,303,144
TORRANCE,7150201A,2727,185,N,1014,POLLING PLACE,122,71
TORRANCE,7150201A,2727,185,N,0,VBM PORTION,147,80
TORRANCE,7150201A,2727,185,N,1014,TOTAL,269,151
TORRANCE,7150300A,2728,180,N,854,POLLING PLACE,200,120
TORRANCE,7150300A,2728,180,N,0,VBM PORTION,101,53
TORRANCE,7150300A,2728,180,N,854,TOTAL,301,173
TORRANCE,7150301A,2729,180,N,1147,POLLING PLACE,226,155
TORRANCE,7150301A,2729,180,N,0,VBM PORTION,163,92
TORRANCE,7150301A,2729,180,N,1147,TOTAL,389,247
BALLOT GROUP 180,9990180A,8180,180,N,0,POLLING PLACE,0,0
BALLOT GROUP 180,9990180A,8180,180,N,0,VBM PORTION,2,0
BALLOT GROUP 180,9990180A,8180,180,N,0,TOTAL,1,0
BALLOT GROUP 182,9990182A,8182,182,N,0,POLLING PLACE,0,0
BALLOT GROUP 182,9990182A,8182,182,N,0,VBM PORTION,2,0
BALLOT GROUP 182,9990182A,8182,182,N,0,TOTAL,1,0
BALLOT GROUP 185,9990185A,8185,185,N,0,POLLING PLACE,0,0
BALLOT GROUP 185,9990185A,8185,185,N,0,VBM PORTION,0,0
BALLOT GROUP 185,9990185A,8185,185,N,0,TOTAL,0,0
