LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
WHITTIER,7800001A,2907,131,N,1082,POLLING PLACE,110,59,43
WHITTIER,7800001A,2907,131,N,0,VBM PORTION,153,57,83
WHITTIER,7800001A,2907,131,N,1082,TOTAL,263,116,126
WHITTIER,7800002C,2908,131,N,985,POLLING PLACE,80,44,30
WHITTIER,7800002C,2908,131,N,0,VBM PORTION,56,29,21
WHITTIER,7800002C,2908,131,N,985,TOTAL,136,73,51
WHITTIER,7800004A,2909,131,N,968,POLLING PLACE,116,62,50
WHITTIER,7800004A,2909,131,N,0,VBM PORTION,86,34,38
WHITTIER,7800004A,2909,131,N,968,TOTAL,202,96,88
WHITTIER,7800006A,2910,131,N,591,POLLING PLACE,77,43,27
WHITTIER,7800006A,2910,131,N,0,VBM PORTION,50,16,26
WHITTIER,7800006A,2910,131,N,591,TOTAL,127,59,53
WHITTIER,7800008A,2911,131,N,1107,POLLING PLACE,119,72,41
WHITTIER,7800008A,2911,131,N,0,VBM PORTION,75,35,27
WHITTIER,7800008A,2911,131,N,1107,TOTAL,194,107,68
WHITTIER,7800010A,2912,131,N,1072,POLLING PLACE,108,59,37
WHITTIER,7800010A,2912,131,N,0,VBM PORTION,58,31,19
WHITTIER,7800010A,2912,131,N,1072,TOTAL,166,90,56
WHITTIER,7800012A,2913,131,N,767,POLLING PLACE,103,42,60
WHITTIER,7800012A,2913,131,N,0,VBM PORTION,100,41,54
WHITTIER,7800012A,2913,131,N,767,TOTAL,203,83,114
WHITTIER,7800014A,2914,131,N,1263,POLLING PLACE,107,57,46
WHITTIER,7800014A,2914,131,N,0,VBM PORTION,86,41,36
WHITTIER,7800014A,2914,131,N,1263,TOTAL,193,98,82
WHITTIER,7800015D,2915,131,N,1129,POLLING PLACE,123,48,61
WHITTIER,7800015D,2915,131,N,0,VBM PORTION,115,50,48
WHITTIER,7800015D,2915,131,N,1129,TOTAL,238,98,109
WHITTIER,7800016A,2916,131,N,1129,POLLING PLACE,51,34,14
WHITTIER,7800016A,2916,131,N,0,VBM PORTION,41,23,12
WHITTIER,7800016A,2916,131,N,1129,TOTAL,92,57,26
WHITTIER,7800017B,2917,131,N,861,POLLING PLACE,82,53,22
WHITTIER,7800017B,2917,131,N,0,VBM PORTION,67,33,23
WHITTIER,7800017B,2917,131,N,861,TOTAL,149,86,45
WHITTIER,7800022B,2918,131,N,843,POLLING PLACE,170,67,89
WHITTIER,7800022B,2918,131,N,0,VBM PORTION,122,46,61
WHITTIER,7800022B,2918,131,N,843,TOTAL,292,113,150
WHITTIER,7800025A,2919,131,N,428,POLLING PLACE,59,24,29
WHITTIER,7800025A,2919,131,N,0,VBM PORTION,41,16,22
WHITTIER,7800025A,2919,131,N,428,TOTAL,100,40,51
WHITTIER,7800031A,2920,131,N,879,POLLING PLACE,66,22,37
WHITTIER,7800031A,2920,131,N,0,VBM PORTION,50,16,22
WHITTIER,7800031A,2920,131,N,879,TOTAL,116,38,59
WHITTIER,7800035A,2921,131,N,1043,POLLING PLACE,79,53,20
WHITTIER,7800035A,2921,131,N,0,VBM PORTION,40,20,14
WHITTIER,7800035A,2921,131,N,1043,TOTAL,119,73,34
WHITTIER,7800038E,2922,131,N,665,POLLING PLACE,62,34,20
WHITTIER,7800038E,2922,131,N,0,VBM PORTION,52,25,21
WHITTIER,7800038E,2922,131,N,665,TOTAL,114,59,41
WHITTIER,7800042A,2923,131,N,778,POLLING PLACE,74,38,33
WHITTIER,7800042A,2923,131,N,0,VBM PORTION,114,46,55
WHITTIER,7800042A,2923,131,N,778,TOTAL,188,84,88
WHITTIER,7800043A,2924,131,N,518,POLLING PLACE,69,28,41
WHITTIER,7800043A,2924,131,N,0,VBM PORTION,78,37,33
WHITTIER,7800043A,2924,131,N,518,TOTAL,147,65,74
WHITTIER,7800044A,2925,131,N,1124,POLLING PLACE,146,63,75
WHITTIER,7800044A,2925,131,N,0,VBM PORTION,82,26,48
WHITTIER,7800044A,2925,131,N,1124,TOTAL,228,89,123
WHITTIER,7800048A,2926,131,N,1127,POLLING PLACE,44,27,13
WHITTIER,7800048A,2926,131,N,0,VBM PORTION,35,14,18
WHITTIER,7800048A,2926,131,N,1127,TOTAL,79,41,31
