LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICK BARNES,MIKE MOHILL,CHAHE KEUROGHELIAN,PAULA DEVINE,VARTAN GHARPETIAN
GLENDALE,2550002A,893,46,N,1341,POLLING PLACE,216,60,26,5,82,17
GLENDALE,2550002A,893,46,N,0,VBM PORTION,177,41,19,0,78,11
GLENDALE,2550002A,893,46,N,1341,TOTAL,393,101,45,5,160,28
GLENDALE,2550004A,894,46,N,892,POLLING PLACE,84,15,11,4,25,15
GLENDALE,2550004A,894,46,N,0,VBM PORTION,77,26,11,2,23,8
GLENDALE,2550004A,894,46,N,892,TOTAL,161,41,22,6,48,23
GLENDALE,2550006A,895,46,N,1405,POLLING PLACE,178,61,20,3,76,6
GLENDALE,2550006A,895,46,N,0,VBM PORTION,234,75,19,4,94,14
GLENDALE,2550006A,895,46,N,1405,TOTAL,412,136,39,7,170,20
GLENDALE,2550008A,896,46,N,1188,POLLING PLACE,165,49,23,2,69,6
GLENDALE,2550008A,896,46,N,0,VBM PORTION,138,44,13,3,48,18
GLENDALE,2550008A,896,46,N,1188,TOTAL,303,93,36,5,117,24
GLENDALE,2550009A,897,46,N,962,POLLING PLACE,118,32,22,6,38,9
GLENDALE,2550009A,897,46,N,0,VBM PORTION,98,36,7,1,33,13
GLENDALE,2550009A,897,46,N,962,TOTAL,216,68,29,7,71,22
GLENDALE,2550010A,898,46,N,822,POLLING PLACE,139,50,26,3,46,5
GLENDALE,2550010A,898,46,N,0,VBM PORTION,125,23,30,3,37,12
GLENDALE,2550010A,898,46,N,822,TOTAL,264,73,56,6,83,17
GLENDALE,2550011A,899,46,N,1283,POLLING PLACE,123,39,13,4,49,11
GLENDALE,2550011A,899,46,N,0,VBM PORTION,129,33,10,2,43,19
GLENDALE,2550011A,899,46,N,1283,TOTAL,252,72,23,6,92,30
GLENDALE,2550015A,900,46,N,1295,POLLING PLACE,161,44,19,7,72,10
GLENDALE,2550015A,900,46,N,0,VBM PORTION,138,47,16,4,46,12
GLENDALE,2550015A,900,46,N,1295,TOTAL,299,91,35,11,118,22
GLENDALE,2550017A,901,46,N,1356,POLLING PLACE,108,28,11,10,25,23
GLENDALE,2550017A,901,46,N,0,VBM PORTION,104,21,2,5,28,30
GLENDALE,2550017A,901,46,N,1356,TOTAL,212,49,13,15,53,53
GLENDALE,2550018A,902,46,N,1000,POLLING PLACE,106,26,7,7,42,18
GLENDALE,2550018A,902,46,N,0,VBM PORTION,91,29,12,7,18,13
GLENDALE,2550018A,902,46,N,1000,TOTAL,197,55,19,14,60,31
GLENDALE,2550020A,903,46,N,1399,POLLING PLACE,188,45,24,6,66,42
GLENDALE,2550020A,903,46,N,0,VBM PORTION,189,36,21,7,59,34
GLENDALE,2550020A,903,46,N,1399,TOTAL,377,81,45,13,125,76
GLENDALE,2550023A,904,46,N,1326,POLLING PLACE,156,39,29,5,62,13
GLENDALE,2550023A,904,46,N,0,VBM PORTION,176,49,17,8,63,13
GLENDALE,2550023A,904,46,N,1326,TOTAL,332,88,46,13,125,26
GLENDALE,2550024A,905,46,N,938,POLLING PLACE,154,53,21,6,52,15
GLENDALE,2550024A,905,46,N,0,VBM PORTION,155,41,16,1,74,11
GLENDALE,2550024A,905,46,N,938,TOTAL,309,94,37,7,126,26
GLENDALE,2550025A,906,46,N,1207,POLLING PLACE,182,54,28,3,80,10
GLENDALE,2550025A,906,46,N,0,VBM PORTION,185,40,31,3,62,21
GLENDALE,2550025A,906,46,N,1207,TOTAL,367,94,59,6,142,31
GLENDALE,2550027A,907,46,N,881,POLLING PLACE,93,13,12,6,40,16
GLENDALE,2550027A,907,46,N,0,VBM PORTION,94,19,10,10,33,17
GLENDALE,2550027A,907,46,N,881,TOTAL,187,32,22,16,73,33
GLENDALE,2550028A,908,46,N,914,POLLING PLACE,106,19,10,4,46,19
GLENDALE,2550028A,908,46,N,0,VBM PORTION,123,17,16,7,30,41
GLENDALE,2550028A,908,46,N,914,TOTAL,229,36,26,11,76,60
GLENDALE,2550029A,909,46,N,897,POLLING PLACE,146,31,23,3,53,23
GLENDALE,2550029A,909,46,N,0,VBM PORTION,81,17,5,6,32,16
GLENDALE,2550029A,909,46,N,897,TOTAL,227,48,28,9,85,39
GLENDALE,2550032A,910,46,N,872,POLLING PLACE,90,14,18,7,30,16
GLENDALE,2550032A,910,46,N,0,VBM PORTION,103,16,14,10,36,17
GLENDALE,2550032A,910,46,N,872,TOTAL,193,30,32,17,66,33
GLENDALE,2550035A,911,46,N,840,POLLING PLACE,158,54,11,3,52,29
GLENDALE,2550035A,911,46,N,0,VBM PORTION,121,30,8,6,48,17
GLENDALE,2550035A,911,46,N,840,TOTAL,279,84,19,9,100,46
GLENDALE,2550036A,912,46,N,890,POLLING PLACE,152,32,14,5,65,25
GLENDALE,2550036A,912,46,N,0,VBM PORTION,100,15,8,8,32,27
GLENDALE,2550036A,912,46,N,890,TOTAL,252,47,22,13,97,52
GLENDALE,2550037A,913,46,N,868,POLLING PLACE,84,14,9,5,38,12
GLENDALE,2550037A,913,46,N,0,VBM PORTION,85,10,2,15,24,26
GLENDALE,2550037A,913,46,N,868,TOTAL,169,24,11,20,62,38
GLENDALE,2550039A,914,46,N,907,POLLING PLACE,113,21,13,7,28,39
GLENDALE,2550039A,914,46,N,0,VBM PORTION,139,20,17,16,39,29
GLENDALE,2550039A,914,46,N,907,TOTAL,252,41,30,23,67,68
GLENDALE,2550040A,915,46,N,1263,POLLING PLACE,195,45,36,4,86,16
GLENDALE,2550040A,915,46,N,0,VBM PORTION,209,36,28,6,90,27
GLENDALE,2550040A,915,46,N,1263,TOTAL,404,81,64,10,176,43
GLENDALE,2550041A,916,46,N,913,POLLING PLACE,101,20,10,7,30,28
GLENDALE,2550041A,916,46,N,0,VBM PORTION,124,20,8,14,33,43
GLENDALE,2550041A,916,46,N,913,TOTAL,225,40,18,21,63,71
GLENDALE,2550044A,917,46,N,906,POLLING PLACE,113,36,14,8,43,10
GLENDALE,2550044A,917,46,N,0,VBM PORTION,140,30,13,8,45,24
GLENDALE,2550044A,917,46,N,906,TOTAL,253,66,27,16,88,34
GLENDALE,2550047A,918,46,N,1351,POLLING PLACE,152,40,13,7,54,28
GLENDALE,2550047A,918,46,N,0,VBM PORTION,150,30,19,11,42,26
GLENDALE,2550047A,918,46,N,1351,TOTAL,302,70,32,18,96,54
GLENDALE,2550048A,919,46,N,1429,POLLING PLACE,92,15,8,15,19,30
GLENDALE,2550048A,919,46,N,0,VBM PORTION,186,11,5,54,30,69
GLENDALE,2550048A,919,46,N,1429,TOTAL,278,26,13,69,49,99
GLENDALE,2550050A,920,46,N,911,POLLING PLACE,121,38,10,7,45,18
GLENDALE,2550050A,920,46,N,0,VBM PORTION,173,35,27,6,71,17
GLENDALE,2550050A,920,46,N,911,TOTAL,294,73,37,13,116,35
GLENDALE,2550051A,921,46,N,1485,POLLING PLACE,71,15,3,21,26,3
GLENDALE,2550051A,921,46,N,0,VBM PORTION,210,17,6,70,41,54
GLENDALE,2550051A,921,46,N,1485,TOTAL,281,32,9,91,67,57
GLENDALE,2550052A,922,46,N,1031,POLLING PLACE,196,59,20,7,86,22
GLENDALE,2550052A,922,46,N,0,VBM PORTION,141,41,6,6,42,26
