LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
BEVERLY HILLS,0900014A,6017,85,Y,2,POLLING PLACE,0,0,0,0,0,0,0,0
BEVERLY HILLS,0900014A,6017,85,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
BEVERLY HILLS,0900014A,6017,85,Y,2,TOTAL,0,0,0,0,0,0,0,0
BEVERLY HILLS,0900033B,6018,83,Y,10,POLLING PLACE,0,0,0,0,0,0,0,0
BEVERLY HILLS,0900033B,6018,83,Y,0,VBM PORTION,4,0,2,0,0,1,0,0
BEVERLY HILLS,0900033B,6018,83,Y,10,TOTAL,4,0,2,0,0,1,0,0
CULVER CITY,1600001B,6037,116,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
CULVER CITY,1600001B,6037,116,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
CULVER CITY,1600001B,6037,116,Y,0,TOTAL,0,0,0,0,0,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,TOTAL,0,0,0,0,0,0,0,0
CULVER CITY,1600014C,6039,116,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
CULVER CITY,1600014C,6039,116,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
CULVER CITY,1600014C,6039,116,Y,0,TOTAL,0,0,0,0,0,0,0,0
GARDENA,2500001A,866,163,N,857,POLLING PLACE,140,44,9,3,3,36,23,10
GARDENA,2500001A,866,163,N,0,VBM PORTION,69,12,3,3,3,24,11,3
GARDENA,2500001A,866,163,N,857,TOTAL,209,56,12,6,6,60,34,13
GARDENA,2500002A,867,163,N,1026,POLLING PLACE,189,65,3,1,3,72,14,10
GARDENA,2500002A,867,163,N,0,VBM PORTION,94,27,4,1,5,33,8,4
GARDENA,2500002A,867,163,N,1026,TOTAL,283,92,7,2,8,105,22,14
GARDENA,2500005A,869,163,N,795,POLLING PLACE,114,41,3,3,3,31,14,9
GARDENA,2500005A,869,163,N,0,VBM PORTION,69,18,1,1,1,21,10,3
GARDENA,2500005A,869,163,N,795,TOTAL,183,59,4,4,4,52,24,12
GARDENA,2500007A,870,163,N,1023,POLLING PLACE,154,61,4,4,6,32,21,5
GARDENA,2500007A,870,163,N,0,VBM PORTION,76,19,2,0,2,27,13,3
GARDENA,2500007A,870,163,N,1023,TOTAL,230,80,6,4,8,59,34,8
