LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
DOWNEY,1850001A,660,138,N,1115,POLLING PLACE,80,12,65
DOWNEY,1850001A,660,138,N,0,VBM PORTION,74,17,54
DOWNEY,1850001A,660,138,N,1115,TOTAL,154,29,119
DOWNEY,1850002A,661,138,N,451,POLLING PLACE,26,8,15
DOWNEY,1850002A,661,138,N,0,VBM PORTION,14,7,5
DOWNEY,1850002A,661,138,N,451,TOTAL,40,15,20
DOWNEY,1850002C,662,138,N,596,POLLING PLACE,48,6,36
DOWNEY,1850002C,662,138,N,0,VBM PORTION,28,4,23
DOWNEY,1850002C,662,138,N,596,TOTAL,76,10,59
DOWNEY,1850006B,663,138,N,709,POLLING PLACE,23,7,14
DOWNEY,1850006B,663,138,N,0,VBM PORTION,19,8,9
DOWNEY,1850006B,663,138,N,709,TOTAL,42,15,23
DOWNEY,1850008A,664,138,N,994,POLLING PLACE,122,20,100
DOWNEY,1850008A,664,138,N,0,VBM PORTION,48,13,29
DOWNEY,1850008A,664,138,N,994,TOTAL,170,33,129
DOWNEY,1850009A,665,138,N,1056,POLLING PLACE,98,8,89
DOWNEY,1850009A,665,138,N,0,VBM PORTION,81,13,66
DOWNEY,1850009A,665,138,N,1056,TOTAL,179,21,155
DOWNEY,1850010A,666,138,N,626,POLLING PLACE,56,7,44
DOWNEY,1850010A,666,138,N,0,VBM PORTION,37,11,24
DOWNEY,1850010A,666,138,N,626,TOTAL,93,18,68
DOWNEY,1850011A,667,138,N,668,POLLING PLACE,46,10,31
DOWNEY,1850011A,667,138,N,0,VBM PORTION,22,6,13
DOWNEY,1850011A,667,138,N,668,TOTAL,68,16,44
DOWNEY,1850011B,668,138,N,670,POLLING PLACE,33,7,26
DOWNEY,1850011B,668,138,N,0,VBM PORTION,25,6,15
DOWNEY,1850011B,668,138,N,670,TOTAL,58,13,41
DOWNEY,1850012A,669,138,N,794,POLLING PLACE,92,24,66
DOWNEY,1850012A,669,138,N,0,VBM PORTION,37,10,23
DOWNEY,1850012A,669,138,N,794,TOTAL,129,34,89
DOWNEY,1850013A,670,138,N,1025,POLLING PLACE,105,21,80
