LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
MONTEREY PARK,4500001A,1805,71,N,930,POLLING PLACE,48,24,16
MONTEREY PARK,4500001A,1805,71,N,0,VBM PORTION,71,29,25
MONTEREY PARK,4500001A,1805,71,N,930,TOTAL,119,53,41
MONTEREY PARK,4500002A,1806,71,N,840,POLLING PLACE,67,35,16
MONTEREY PARK,4500002A,1806,71,N,0,VBM PORTION,56,29,12
MONTEREY PARK,4500002A,1806,71,N,840,TOTAL,123,64,28
MONTEREY PARK,4500003A,1807,71,N,762,POLLING PLACE,48,23,22
MONTEREY PARK,4500003A,1807,71,N,0,VBM PORTION,117,37,60
MONTEREY PARK,4500003A,1807,71,N,762,TOTAL,165,60,82
MONTEREY PARK,4500005A,1808,71,N,1287,POLLING PLACE,148,63,59
MONTEREY PARK,4500005A,1808,71,N,0,VBM PORTION,203,100,82
MONTEREY PARK,4500005A,1808,71,N,1287,TOTAL,351,163,141
MONTEREY PARK,4500007A,1809,71,N,941,POLLING PLACE,50,24,14
MONTEREY PARK,4500007A,1809,71,N,0,VBM PORTION,67,29,14
MONTEREY PARK,4500007A,1809,71,N,941,TOTAL,117,53,28
MONTEREY PARK,4500009A,1810,71,N,1276,POLLING PLACE,105,42,54
MONTEREY PARK,4500009A,1810,71,N,0,VBM PORTION,156,65,69
MONTEREY PARK,4500009A,1810,71,N,1276,TOTAL,261,107,123
MONTEREY PARK,4500010A,1811,71,N,1203,POLLING PLACE,82,39,34
MONTEREY PARK,4500010A,1811,71,N,0,VBM PORTION,138,75,45
MONTEREY PARK,4500010A,1811,71,N,1203,TOTAL,220,114,79
MONTEREY PARK,4500014A,1812,71,N,1331,POLLING PLACE,61,34,17
MONTEREY PARK,4500014A,1812,71,N,0,VBM PORTION,113,63,35
MONTEREY PARK,4500014A,1812,71,N,1331,TOTAL,174,97,52
MONTEREY PARK,4500016A,1813,71,N,1233,POLLING PLACE,101,43,53
MONTEREY PARK,4500016A,1813,71,N,0,VBM PORTION,136,57,58
MONTEREY PARK,4500016A,1813,71,N,1233,TOTAL,237,100,111
MONTEREY PARK,4500017A,1814,71,N,1127,POLLING PLACE,119,65,43
MONTEREY PARK,4500017A,1814,71,N,0,VBM PORTION,73,37,17
MONTEREY PARK,4500017A,1814,71,N,1127,TOTAL,192,102,60
MONTEREY PARK,4500019A,1815,71,N,928,POLLING PLACE,141,75,59
MONTEREY PARK,4500019A,1815,71,N,0,VBM PORTION,99,40,47
MONTEREY PARK,4500019A,1815,71,N,928,TOTAL,240,115,106
MONTEREY PARK,4500021A,1816,71,N,1083,POLLING PLACE,58,25,21
MONTEREY PARK,4500021A,1816,71,N,0,VBM PORTION,60,38,15
MONTEREY PARK,4500021A,1816,71,N,1083,TOTAL,118,63,36
MONTEREY PARK,4500023A,1817,71,N,1454,POLLING PLACE,134,51,77
MONTEREY PARK,4500023A,1817,71,N,0,VBM PORTION,217,115,83
MONTEREY PARK,4500023A,1817,71,N,1454,TOTAL,351,166,160
MONTEREY PARK,4500025A,1818,71,N,1247,POLLING PLACE,131,56,66
MONTEREY PARK,4500025A,1818,71,N,0,VBM PORTION,105,38,53
MONTEREY PARK,4500025A,1818,71,N,1247,TOTAL,236,94,119
MONTEREY PARK,4500026A,1819,71,N,1172,POLLING PLACE,92,42,42
MONTEREY PARK,4500026A,1819,71,N,0,VBM PORTION,78,38,27
MONTEREY PARK,4500026A,1819,71,N,1172,TOTAL,170,80,69
MONTEREY PARK,4500030A,1820,71,N,1240,POLLING PLACE,141,60,66
MONTEREY PARK,4500030A,1820,71,N,0,VBM PORTION,106,44,46
MONTEREY PARK,4500030A,1820,71,N,1240,TOTAL,247,104,112
MONTEREY PARK,4500031B,1821,71,N,1158,POLLING PLACE,54,32,12
MONTEREY PARK,4500031B,1821,71,N,0,VBM PORTION,83,49,17
MONTEREY PARK,4500031B,1821,71,N,1158,TOTAL,137,81,29
MONTEREY PARK,4500032A,1822,71,N,1198,POLLING PLACE,145,52,84
MONTEREY PARK,4500032A,1822,71,N,0,VBM PORTION,178,55,102
MONTEREY PARK,4500032A,1822,71,N,1198,TOTAL,323,107,186
MONTEREY PARK,4500034B,1823,71,N,1125,POLLING PLACE,71,39,23
MONTEREY PARK,4500034B,1823,71,N,0,VBM PORTION,87,42,23
MONTEREY PARK,4500034B,1823,71,N,1125,TOTAL,158,81,46
MONTEREY PARK,4500035A,1824,71,N,1299,POLLING PLACE,95,39,48
MONTEREY PARK,4500035A,1824,71,N,0,VBM PORTION,93,35,43
MONTEREY PARK,4500035A,1824,71,N,1299,TOTAL,188,74,91
MONTEREY PARK,4500044A,1825,71,N,1318,POLLING PLACE,167,65,84
MONTEREY PARK,4500044A,1825,71,N,0,VBM PORTION,232,117,88
MONTEREY PARK,4500044A,1825,71,N,1318,TOTAL,399,182,172
MONTEREY PARK,4500047B,1826,71,N,984,POLLING PLACE,72,30,21
MONTEREY PARK,4500047B,1826,71,N,0,VBM PORTION,58,30,9
MONTEREY PARK,4500047B,1826,71,N,984,TOTAL,130,60,30
MONTEREY PARK,4500052A,1827,71,N,1153,POLLING PLACE,147,57,80
MONTEREY PARK,4500052A,1827,71,N,0,VBM PORTION,87,36,41
MONTEREY PARK,4500052A,1827,71,N,1153,TOTAL,234,93,121
MONTEREY PARK,4500090A,1828,71,N,1084,POLLING PLACE,61,24,30
MONTEREY PARK,4500090A,1828,71,N,0,VBM PORTION,71,31,29
MONTEREY PARK,4500090A,1828,71,N,1084,TOTAL,132,55,59
BALLOT GROUP 71,9990071A,8071,71,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 71,9990071A,8071,71,N,0,VBM PORTION,0,0,0
BALLOT GROUP 71,9990071A,8071,71,N,0,TOTAL,0,0,0
