LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
CULVER CITY,1600001A,588,115,N,960,POLLING PLACE,85,51,29
CULVER CITY,1600001A,588,115,N,0,VBM PORTION,78,59,11
CULVER CITY,1600001A,588,115,N,960,TOTAL,163,110,40
CULVER CITY,1600002A,589,115,N,782,POLLING PLACE,79,63,14
CULVER CITY,1600002A,589,115,N,0,VBM PORTION,62,44,12
CULVER CITY,1600002A,589,115,N,782,TOTAL,141,107,26
CULVER CITY,1600003A,590,115,N,1057,POLLING PLACE,138,98,32
CULVER CITY,1600003A,590,115,N,0,VBM PORTION,105,70,28
CULVER CITY,1600003A,590,115,N,1057,TOTAL,243,168,60
CULVER CITY,1600004A,591,115,N,1147,POLLING PLACE,122,84,34
CULVER CITY,1600004A,591,115,N,0,VBM PORTION,112,75,23
CULVER CITY,1600004A,591,115,N,1147,TOTAL,234,159,57
CULVER CITY,1600005A,592,115,N,940,POLLING PLACE,105,83,13
CULVER CITY,1600005A,592,115,N,0,VBM PORTION,91,66,8
CULVER CITY,1600005A,592,115,N,940,TOTAL,196,149,21
CULVER CITY,1600007A,593,115,N,1313,POLLING PLACE,213,158,51
CULVER CITY,1600007A,593,115,N,0,VBM PORTION,179,130,37
CULVER CITY,1600007A,593,115,N,1313,TOTAL,392,288,88
CULVER CITY,1600008A,594,115,N,1204,POLLING PLACE,303,217,71
CULVER CITY,1600008A,594,115,N,0,VBM PORTION,160,109,33
CULVER CITY,1600008A,594,115,N,1204,TOTAL,463,326,104
CULVER CITY,1600011A,595,115,N,1263,POLLING PLACE,128,97,23
CULVER CITY,1600011A,595,115,N,0,VBM PORTION,170,107,42
CULVER CITY,1600011A,595,115,N,1263,TOTAL,298,204,65
CULVER CITY,1600013B,596,115,N,1183,POLLING PLACE,253,184,60
CULVER CITY,1600013B,596,115,N,0,VBM PORTION,146,105,30
CULVER CITY,1600013B,596,115,N,1183,TOTAL,399,289,90
CULVER CITY,1600014A,597,115,N,482,POLLING PLACE,67,47,13
CULVER CITY,1600014A,597,115,N,0,VBM PORTION,93,67,16
CULVER CITY,1600014A,597,115,N,482,TOTAL,160,114,29
CULVER CITY,1600017B,598,115,N,1176,POLLING PLACE,80,49,26
CULVER CITY,1600017B,598,115,N,0,VBM PORTION,124,92,20
CULVER CITY,1600017B,598,115,N,1176,TOTAL,204,141,46
CULVER CITY,1600018A,599,115,N,965,POLLING PLACE,68,50,16
CULVER CITY,1600018A,599,115,N,0,VBM PORTION,70,47,18
CULVER CITY,1600018A,599,115,N,965,TOTAL,138,97,34
CULVER CITY,1600022A,600,115,N,673,POLLING PLACE,125,67,28
CULVER CITY,1600022A,600,115,N,0,VBM PORTION,78,51,22
CULVER CITY,1600022A,600,115,N,673,TOTAL,203,118,50
CULVER CITY,1600024A,601,115,N,1275,POLLING PLACE,147,101,36
CULVER CITY,1600024A,601,115,N,0,VBM PORTION,138,93,26
CULVER CITY,1600024A,601,115,N,1275,TOTAL,285,194,62
CULVER CITY,1600025A,602,115,N,999,POLLING PLACE,216,159,47
CULVER CITY,1600025A,602,115,N,0,VBM PORTION,170,131,31
CULVER CITY,1600025A,602,115,N,999,TOTAL,386,290,78
CULVER CITY,1600027C,603,115,N,664,POLLING PLACE,102,85,15
CULVER CITY,1600027C,603,115,N,0,VBM PORTION,93,64,19
CULVER CITY,1600027C,603,115,N,664,TOTAL,195,149,34
CULVER CITY,1600028A,604,115,N,1291,POLLING PLACE,167,86,74
CULVER CITY,1600028A,604,115,N,0,VBM PORTION,198,128,61
CULVER CITY,1600028A,604,115,N,1291,TOTAL,365,214,135
CULVER CITY,1600031C,605,115,N,1064,POLLING PLACE,152,122,23
CULVER CITY,1600031C,605,115,N,0,VBM PORTION,148,95,35
CULVER CITY,1600031C,605,115,N,1064,TOTAL,300,217,58
CULVER CITY,1600034A,606,115,N,1195,POLLING PLACE,220,139,73
CULVER CITY,1600034A,606,115,N,0,VBM PORTION,198,119,61
CULVER CITY,1600034A,606,115,N,1195,TOTAL,418,258,134
CULVER CITY,1600042A,607,115,N,794,POLLING PLACE,173,124,33
CULVER CITY,1600042A,607,115,N,0,VBM PORTION,137,92,22
CULVER CITY,1600042A,607,115,N,794,TOTAL,310,216,55
CULVER CITY,1600045A,608,115,N,1024,POLLING PLACE,105,75,20
CULVER CITY,1600045A,608,115,N,0,VBM PORTION,110,72,23
CULVER CITY,1600045A,608,115,N,1024,TOTAL,215,147,43
CULVER CITY,1600055A,609,115,N,1182,POLLING PLACE,153,124,24
CULVER CITY,1600055A,609,115,N,0,VBM PORTION,86,56,21
CULVER CITY,1600055A,609,115,N,1182,TOTAL,239,180,45
CULVER CITY,1600073A,610,115,N,1290,POLLING PLACE,138,107,19
CULVER CITY,1600073A,610,115,N,0,VBM PORTION,88,57,20
CULVER CITY,1600073A,610,115,N,1290,TOTAL,226,164,39
CULVER CITY,1600074B,611,115,N,1163,POLLING PLACE,129,98,24
CULVER CITY,1600074B,611,115,N,0,VBM PORTION,127,95,16
CULVER CITY,1600074B,611,115,N,1163,TOTAL,256,193,40
CULVER CITY,1600076A,612,115,N,1199,POLLING PLACE,133,104,18
CULVER CITY,1600076A,612,115,N,0,VBM PORTION,133,103,12
CULVER CITY,1600076A,612,115,N,1199,TOTAL,266,207,30
LADERA HEIGHTS,3430003D,6077,115,Y,1,POLLING PLACE,0,0,0
LADERA HEIGHTS,3430003D,6077,115,Y,0,VBM PORTION,0,0,0
LADERA HEIGHTS,3430003D,6077,115,Y,1,TOTAL,0,0,0
BALLOT GROUP 115,9990115A,8115,115,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 115,9990115A,8115,115,N,0,VBM PORTION,16,7,0
BALLOT GROUP 115,9990115A,8115,115,N,0,TOTAL,8,7,0
