LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RAUL GARCIA,KEVIN MC CARTHY,
ANTELOPE,0300006B,6022,6,Y,,POLLING PLACE,,,,
ANTELOPE,0300006B,6022,6,Y,,VBM PORTION,,,,
ANTELOPE,0300006B,6022,6,Y,,TOTAL,,,,
DEL SUR,1750052A,6063,3,Y,234,POLLING PLACE,,,,
DEL SUR,1750052A,6063,3,Y,,VBM PORTION,108,21,85,
DEL SUR,1750052A,6063,3,Y,234,TOTAL,108,21,85,
DEL SUR,1750055A,624,1,N,1404,POLLING PLACE,376,55,315,
DEL SUR,1750055A,624,1,N,,VBM PORTION,170,41,121,
DEL SUR,1750055A,624,1,N,1404,TOTAL,546,96,436,
LANCASTER,3550001A,1317,2,N,1305,POLLING PLACE,194,81,103,
LANCASTER,3550001A,1317,2,N,,VBM PORTION,81,25,48,
LANCASTER,3550001A,1317,2,N,1305,TOTAL,275,106,151,
LANCASTER,3550003A,1318,2,N,1076,POLLING PLACE,226,76,141,
LANCASTER,3550003A,1318,2,N,,VBM PORTION,112,23,77,
LANCASTER,3550003A,1318,2,N,1076,TOTAL,338,99,218,
LANCASTER,3550003D,1319,2,N,1432,POLLING PLACE,148,64,76,
LANCASTER,3550003D,1319,2,N,,VBM PORTION,104,27,65,
LANCASTER,3550003D,1319,2,N,1432,TOTAL,252,91,141,
LANCASTER,3550004A,1320,2,N,1751,POLLING PLACE,223,145,57,
LANCASTER,3550004A,1320,2,N,,VBM PORTION,184,88,68,
LANCASTER,3550004A,1320,2,N,1751,TOTAL,407,233,125,
LANCASTER,3550004F,6125,5,Y,,POLLING PLACE,,,,
LANCASTER,3550004F,6125,5,Y,,VBM PORTION,,,,
LANCASTER,3550004F,6125,5,Y,,TOTAL,,,,
LANCASTER,3550020B,1329,3,N,1339,POLLING PLACE,282,94,175,
LANCASTER,3550020B,1329,3,N,,VBM PORTION,138,29,104,
LANCASTER,3550020B,1329,3,N,1339,TOTAL,420,123,279,
LANCASTER,3550023A,1331,3,N,934,POLLING PLACE,206,47,154,
LANCASTER,3550023A,1331,3,N,,VBM PORTION,72,19,49,
LANCASTER,3550023A,1331,3,N,934,TOTAL,278,66,203,
LANCASTER,3550024A,1332,2,N,1466,POLLING PLACE,157,70,79,
LANCASTER,3550024A,1332,2,N,,VBM PORTION,115,39,30,
LANCASTER,3550024A,1332,2,N,1466,TOTAL,272,109,109,
LANCASTER,3550024C,6127,4,Y,,POLLING PLACE,,,,
LANCASTER,3550024C,6127,4,Y,,VBM PORTION,,,,
LANCASTER,3550024C,6127,4,Y,,TOTAL,,,,
LANCASTER,3550029A,1334,2,N,794,POLLING PLACE,208,54,146,
LANCASTER,3550029A,1334,2,N,,VBM PORTION,102,20,78,
LANCASTER,3550029A,1334,2,N,794,TOTAL,310,74,224,
LANCASTER,3550033A,1337,3,N,911,POLLING PLACE,231,46,175,
LANCASTER,3550033A,1337,3,N,,VBM PORTION,90,23,54,
LANCASTER,3550033A,1337,3,N,911,TOTAL,321,69,229,
LANCASTER,3550035B,1339,3,N,1291,POLLING PLACE,238,86,145,
LANCASTER,3550035B,1339,3,N,,VBM PORTION,107,35,65,
LANCASTER,3550035B,1339,3,N,1291,TOTAL,345,121,210,
LANCASTER,3550040A,1341,3,N,1305,POLLING PLACE,252,95,150,
LANCASTER,3550040A,1341,3,N,,VBM PORTION,114,36,74,
LANCASTER,3550040A,1341,3,N,1305,TOTAL,366,131,224,
LANCASTER,3550044A,1344,3,N,1121,POLLING PLACE,219,45,169,
LANCASTER,3550044A,1344,3,N,,VBM PORTION,120,27,84,
LANCASTER,3550044A,1344,3,N,1121,TOTAL,339,72,253,
LANCASTER,3550045A,1345,2,N,998,POLLING PLACE,175,51,117,
LANCASTER,3550045A,1345,2,N,,VBM PORTION,93,18,66,
LANCASTER,3550045A,1345,2,N,998,TOTAL,268,69,183,
LANCASTER,3550047B,1346,3,N,595,POLLING PLACE,93,32,58,
LANCASTER,3550047B,1346,3,N,,VBM PORTION,61,29,31,
LANCASTER,3550047B,1346,3,N,595,TOTAL,154,61,89,
LANCASTER,3550047D,6128,6,Y,2,POLLING PLACE,,,,
LANCASTER,3550047D,6128,6,Y,,VBM PORTION,,,,
LANCASTER,3550047D,6128,6,Y,2,TOTAL,,,,
LANCASTER,3550053A,1350,2,N,1240,POLLING PLACE,186,94,84,
LANCASTER,3550053A,1350,2,N,,VBM PORTION,86,34,48,
LANCASTER,3550053A,1350,2,N,1240,TOTAL,272,128,132,
LANCASTER,3550060A,1354,3,N,1062,POLLING PLACE,227,54,165,
LANCASTER,3550060A,1354,3,N,,VBM PORTION,143,43,96,
LANCASTER,3550060A,1354,3,N,1062,TOTAL,370,97,261,
LANCASTER,3550064A,1356,2,N,1571,POLLING PLACE,220,98,117,
LANCASTER,3550064A,1356,2,N,,VBM PORTION,145,50,82,
LANCASTER,3550064A,1356,2,N,1571,TOTAL,365,148,199,
LANCASTER,3550069A,1358,3,N,838,POLLING PLACE,149,47,96,
LANCASTER,3550069A,1358,3,N,,VBM PORTION,62,24,38,
LANCASTER,3550069A,1358,3,N,838,TOTAL,211,71,134,
LANCASTER,3550075A,1359,2,N,1277,POLLING PLACE,191,71,117,
LANCASTER,3550075A,1359,2,N,,VBM PORTION,60,18,37,
LANCASTER,3550075A,1359,2,N,1277,TOTAL,251,89,154,
LANCASTER,3550078A,1361,1,N,628,POLLING PLACE,72,31,37,
LANCASTER,3550078A,1361,1,N,,VBM PORTION,44,16,26,
LANCASTER,3550078A,1361,1,N,628,TOTAL,116,47,63,
LANCASTER,3550080A,1363,3,N,1059,POLLING PLACE,171,57,106,
LANCASTER,3550080A,1363,3,N,,VBM PORTION,72,22,46,
LANCASTER,3550080A,1363,3,N,1059,TOTAL,243,79,152,
LANCASTER,3550082A,1364,1,N,928,POLLING PLACE,222,51,163,
LANCASTER,3550082A,1364,1,N,,VBM PORTION,111,31,72,
LANCASTER,3550082A,1364,1,N,928,TOTAL,333,82,235,
LANCASTER,3550086B,1366,1,N,1109,POLLING PLACE,200,77,117,
LANCASTER,3550086B,1366,1,N,,VBM PORTION,96,29,61,
LANCASTER,3550086B,1366,1,N,1109,TOTAL,296,106,178,
LANCASTER,3550091A,6131,3,Y,2,POLLING PLACE,,,,
LANCASTER,3550091A,6131,3,Y,,VBM PORTION,1,,1,
LANCASTER,3550091A,6131,3,Y,2,TOTAL,1,,1,
LANCASTER,3550094A,1371,3,N,1152,POLLING PLACE,228,63,158,
LANCASTER,3550094A,1371,3,N,,VBM PORTION,111,38,72,
LANCASTER,3550094A,1371,3,N,1152,TOTAL,339,101,230,
LANCASTER,3550097A,1374,3,N,1220,POLLING PLACE,213,60,144,
LANCASTER,3550097A,1374,3,N,,VBM PORTION,146,36,97,
LANCASTER,3550097A,1374,3,N,1220,TOTAL,359,96,241,
LANCASTER,3550101A,1377,1,N,677,POLLING PLACE,115,38,71,
LANCASTER,3550101A,1377,1,N,,VBM PORTION,58,15,42,
LANCASTER,3550101A,1377,1,N,677,TOTAL,173,53,113,
LANCASTER,3550101D,6132,4,Y,,POLLING PLACE,,,,
LANCASTER,3550101D,6132,4,Y,,VBM PORTION,,,,
LANCASTER,3550101D,6132,4,Y,,TOTAL,,,,
LANCASTER,3550101E,1378,1,N,793,POLLING PLACE,169,47,115,
LANCASTER,3550101E,1378,1,N,,VBM PORTION,57,16,40,
LANCASTER,3550101E,1378,1,N,793,TOTAL,226,63,155,
LANCASTER,3550107A,1379,1,N,1038,POLLING PLACE,179,72,99,
LANCASTER,3550107A,1379,1,N,,VBM PORTION,71,17,49,
LANCASTER,3550107A,1379,1,N,1038,TOTAL,250,89,148,
QUARTZ HILL,5400004A,2150,3,N,1153,POLLING PLACE,254,60,182,
QUARTZ HILL,5400004A,2150,3,N,,VBM PORTION,89,21,62,
QUARTZ HILL,5400004A,2150,3,N,1153,TOTAL,343,81,244,
QUARTZ HILL,5400009A,2152,3,N,1061,POLLING PLACE,248,55,185,
QUARTZ HILL,5400009A,2152,3,N,,VBM PORTION,87,15,70,
QUARTZ HILL,5400009A,2152,3,N,1061,TOTAL,335,70,255,
QUARTZ HILL,5400019A,2153,3,N,840,POLLING PLACE,200,45,140,
QUARTZ HILL,5400019A,2153,3,N,,VBM PORTION,51,13,35,
QUARTZ HILL,5400019A,2153,3,N,840,TOTAL,251,58,175,
QUARTZ HILL,5400046A,2154,3,N,682,POLLING PLACE,136,41,85,
QUARTZ HILL,5400046A,2154,3,N,,VBM PORTION,130,39,85,
QUARTZ HILL,5400046A,2154,3,N,682,TOTAL,266,80,170,
QUARTZ HILL,5400047A,2155,3,N,805,POLLING PLACE,177,46,129,
QUARTZ HILL,5400047A,2155,3,N,,VBM PORTION,106,30,68,
QUARTZ HILL,5400047A,2155,3,N,805,TOTAL,283,76,197,
QUARTZ HILL,5400048A,2156,3,N,1002,POLLING PLACE,246,54,187,
QUARTZ HILL,5400048A,2156,3,N,,VBM PORTION,100,21,76,
QUARTZ HILL,5400048A,2156,3,N,1002,TOTAL,346,75,263,
QUARTZ HILL,5400055A,2157,3,N,427,POLLING PLACE,114,15,99,
