LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BEN ALLEN,SANDRA FLUKE,
AVALON,0500001A,129,388,N,460,POLLING PLACE,102,60,26,
AVALON,0500001A,129,388,N,,VBM PORTION,56,38,9,
AVALON,0500001A,129,388,N,460,TOTAL,158,98,35,
AVALON,0500003A,130,388,N,1161,POLLING PLACE,249,153,66,
AVALON,0500003A,130,388,N,,VBM PORTION,135,72,33,
AVALON,0500003A,130,388,N,1161,TOTAL,384,225,99,
BEVERLY HILLS,0900001A,274,183,N,706,POLLING PLACE,140,70,37,
BEVERLY HILLS,0900001A,274,183,N,,VBM PORTION,101,62,20,
BEVERLY HILLS,0900001A,274,183,N,706,TOTAL,241,132,57,
BEVERLY HILLS,0900002A,275,183,N,1228,POLLING PLACE,150,81,46,
BEVERLY HILLS,0900002A,275,183,N,,VBM PORTION,112,59,32,
BEVERLY HILLS,0900002A,275,183,N,1228,TOTAL,262,140,78,
BEVERLY HILLS,0900003A,276,183,N,616,POLLING PLACE,118,54,39,
BEVERLY HILLS,0900003A,276,183,N,,VBM PORTION,79,47,22,
BEVERLY HILLS,0900003A,276,183,N,616,TOTAL,197,101,61,
BEVERLY HILLS,0900004A,277,184,N,848,POLLING PLACE,104,46,29,
BEVERLY HILLS,0900004A,277,184,N,,VBM PORTION,136,73,31,
BEVERLY HILLS,0900004A,277,184,N,848,TOTAL,240,119,60,
BEVERLY HILLS,0900005A,278,183,N,1118,POLLING PLACE,281,142,86,
BEVERLY HILLS,0900005A,278,183,N,,VBM PORTION,157,108,20,
BEVERLY HILLS,0900005A,278,183,N,1118,TOTAL,438,250,106,
BEVERLY HILLS,0900006A,279,183,N,837,POLLING PLACE,168,87,33,
BEVERLY HILLS,0900006A,279,183,N,,VBM PORTION,118,71,16,
BEVERLY HILLS,0900006A,279,183,N,837,TOTAL,286,158,49,
BEVERLY HILLS,0900008A,280,183,N,1141,POLLING PLACE,231,135,44,
BEVERLY HILLS,0900008A,280,183,N,,VBM PORTION,156,88,39,
BEVERLY HILLS,0900008A,280,183,N,1141,TOTAL,387,223,83,
BEVERLY HILLS,0900010A,281,183,N,942,POLLING PLACE,158,90,32,
BEVERLY HILLS,0900010A,281,183,N,,VBM PORTION,125,80,26,
BEVERLY HILLS,0900010A,281,183,N,942,TOTAL,283,170,58,
BEVERLY HILLS,0900014A,6032,185,Y,2,POLLING PLACE,,,,
BEVERLY HILLS,0900014A,6032,185,Y,,VBM PORTION,,,,
BEVERLY HILLS,0900014A,6032,185,Y,2,TOTAL,,,,
BEVERLY HILLS,0900016B,282,183,N,878,POLLING PLACE,112,54,30,
BEVERLY HILLS,0900016B,282,183,N,,VBM PORTION,84,51,21,
BEVERLY HILLS,0900016B,282,183,N,878,TOTAL,196,105,51,
BEVERLY HILLS,0900018A,283,183,N,594,POLLING PLACE,94,59,23,
BEVERLY HILLS,0900018A,283,183,N,,VBM PORTION,92,56,20,
BEVERLY HILLS,0900018A,283,183,N,594,TOTAL,186,115,43,
BEVERLY HILLS,0900020A,284,183,N,1125,POLLING PLACE,180,88,63,
BEVERLY HILLS,0900020A,284,183,N,,VBM PORTION,101,48,29,
BEVERLY HILLS,0900020A,284,183,N,1125,TOTAL,281,136,92,
