LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM O LEADER,TONY CARDENAS,
CANYON COUNTRY,1020022A,6039,67,Y,,POLLING PLACE,,,,
CANYON COUNTRY,1020022A,6039,67,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020022A,6039,67,Y,,TOTAL,,,,
NEWHALL,4700009A,6167,69,Y,,POLLING PLACE,,,,
NEWHALL,4700009A,6167,69,Y,,VBM PORTION,,,,
NEWHALL,4700009A,6167,69,Y,,TOTAL,,,,
SAN FERNANDO,6050001A,2310,55,N,825,POLLING PLACE,149,17,126,
SAN FERNANDO,6050001A,2310,55,N,,VBM PORTION,30,5,24,
SAN FERNANDO,6050001A,2310,55,N,825,TOTAL,179,22,150,
SAN FERNANDO,6050002A,2311,55,N,756,POLLING PLACE,141,20,114,
SAN FERNANDO,6050002A,2311,55,N,,VBM PORTION,36,5,29,
SAN FERNANDO,6050002A,2311,55,N,756,TOTAL,177,25,143,
SAN FERNANDO,6050005A,2312,55,N,1137,POLLING PLACE,201,37,148,
SAN FERNANDO,6050005A,2312,55,N,,VBM PORTION,49,9,36,
SAN FERNANDO,6050005A,2312,55,N,1137,TOTAL,250,46,184,
SAN FERNANDO,6050007A,2313,55,N,1154,POLLING PLACE,220,66,136,
SAN FERNANDO,6050007A,2313,55,N,,VBM PORTION,68,24,38,
SAN FERNANDO,6050007A,2313,55,N,1154,TOTAL,288,90,174,
SAN FERNANDO,6050009A,2314,55,N,1095,POLLING PLACE,222,51,157,
SAN FERNANDO,6050009A,2314,55,N,,VBM PORTION,36,7,28,
SAN FERNANDO,6050009A,2314,55,N,1095,TOTAL,258,58,185,
SAN FERNANDO,6050010A,2315,55,N,688,POLLING PLACE,129,19,104,
SAN FERNANDO,6050010A,2315,55,N,,VBM PORTION,25,8,15,
SAN FERNANDO,6050010A,2315,55,N,688,TOTAL,154,27,119,
SAN FERNANDO,6050012A,2316,55,N,966,POLLING PLACE,156,34,116,
SAN FERNANDO,6050012A,2316,55,N,,VBM PORTION,39,16,23,
SAN FERNANDO,6050012A,2316,55,N,966,TOTAL,195,50,139,
SAN FERNANDO,6050013A,2317,55,N,1017,POLLING PLACE,138,27,98,
SAN FERNANDO,6050013A,2317,55,N,,VBM PORTION,38,10,27,
SAN FERNANDO,6050013A,2317,55,N,1017,TOTAL,176,37,125,
SAN FERNANDO,6050016A,2318,55,N,915,POLLING PLACE,154,12,129,
SAN FERNANDO,6050016A,2318,55,N,,VBM PORTION,37,5,29,
SAN FERNANDO,6050016A,2318,55,N,915,TOTAL,191,17,158,
SANTA CLARITA,6220151A,6215,66,Y,,POLLING PLACE,,,,
SANTA CLARITA,6220151A,6215,66,Y,,VBM PORTION,,,,
SANTA CLARITA,6220151A,6215,66,Y,,TOTAL,,,,
SANTA CLARITA,6220191A,6218,66,Y,40,POLLING PLACE,,,,
SANTA CLARITA,6220191A,6218,66,Y,,VBM PORTION,4,4,,
SANTA CLARITA,6220191A,6218,66,Y,40,TOTAL,4,4,,
SANTA CLARITA,6220191B,6219,68,Y,,POLLING PLACE,,,,
SANTA CLARITA,6220191B,6219,68,Y,,VBM PORTION,,,,
SANTA CLARITA,6220191B,6219,68,Y,,TOTAL,,,,
SUNLAND,6850001A,6242,69,Y,,POLLING PLACE,,,,
SUNLAND,6850001A,6242,69,Y,,VBM PORTION,,,,
SUNLAND,6850001A,6242,69,Y,,TOTAL,,,,
SUNLAND,6850017A,6244,69,Y,92,POLLING PLACE,,,,
SUNLAND,6850017A,6244,69,Y,,VBM PORTION,12,3,8,
SUNLAND,6850017A,6244,69,Y,92,TOTAL,12,3,8,
SUNLAND,6850028A,6245,56,Y,,POLLING PLACE,,,,
SUNLAND,6850028A,6245,56,Y,,VBM PORTION,,,,
SUNLAND,6850028A,6245,56,Y,,TOTAL,,,,
SUNLAND,6850033C,6247,69,Y,,POLLING PLACE,,,,
SUNLAND,6850033C,6247,69,Y,,VBM PORTION,,,,
SUNLAND,6850033C,6247,69,Y,,TOTAL,,,,
LOS ANGELES,9000009A,2991,55,N,759,POLLING PLACE,135,30,94,
LOS ANGELES,9000009A,2991,55,N,,VBM PORTION,30,11,18,
LOS ANGELES,9000009A,2991,55,N,759,TOTAL,165,41,112,
LOS ANGELES,9000019A,2994,55,N,798,POLLING PLACE,177,56,113,
LOS ANGELES,9000019A,2994,55,N,,VBM PORTION,58,21,36,
LOS ANGELES,9000019A,2994,55,N,798,TOTAL,235,77,149,
LOS ANGELES,9000027A,2999,55,N,1162,POLLING PLACE,158,24,125,
LOS ANGELES,9000027A,2999,55,N,,VBM PORTION,49,10,36,
LOS ANGELES,9000027A,2999,55,N,1162,TOTAL,207,34,161,
LOS ANGELES,9000036A,6271,56,Y,,POLLING PLACE,,,,
LOS ANGELES,9000036A,6271,56,Y,,VBM PORTION,,,,
LOS ANGELES,9000036A,6271,56,Y,,TOTAL,,,,
LOS ANGELES,9000046A,6272,60,Y,57,POLLING PLACE,,,,
LOS ANGELES,9000046A,6272,60,Y,,VBM PORTION,7,3,3,
LOS ANGELES,9000046A,6272,60,Y,57,TOTAL,7,3,3,
LOS ANGELES,9000060A,3018,55,N,1090,POLLING PLACE,188,38,138,
LOS ANGELES,9000060A,3018,55,N,,VBM PORTION,72,17,49,
LOS ANGELES,9000060A,3018,55,N,1090,TOTAL,260,55,187,
LOS ANGELES,9000061A,3019,55,N,1012,POLLING PLACE,134,25,105,
LOS ANGELES,9000061A,3019,55,N,,VBM PORTION,55,15,37,
LOS ANGELES,9000061A,3019,55,N,1012,TOTAL,189,40,142,
LOS ANGELES,9000068A,3024,59,N,812,POLLING PLACE,130,11,112,
LOS ANGELES,9000068A,3024,59,N,,VBM PORTION,45,9,33,
LOS ANGELES,9000068A,3024,59,N,812,TOTAL,175,20,145,
LOS ANGELES,9000069A,3025,55,N,791,POLLING PLACE,137,13,117,
LOS ANGELES,9000069A,3025,55,N,,VBM PORTION,29,,29,
LOS ANGELES,9000069A,3025,55,N,791,TOTAL,166,13,146,
LOS ANGELES,9000070A,3026,55,N,810,POLLING PLACE,136,14,118,
LOS ANGELES,9000070A,3026,55,N,,VBM PORTION,27,4,22,
LOS ANGELES,9000070A,3026,55,N,810,TOTAL,163,18,140,
LOS ANGELES,9000072A,3028,121,N,1149,POLLING PLACE,187,78,100,
LOS ANGELES,9000072A,3028,121,N,,VBM PORTION,76,29,44,
LOS ANGELES,9000072A,3028,121,N,1149,TOTAL,263,107,144,
LOS ANGELES,9000073A,3029,121,N,1190,POLLING PLACE,347,160,163,
LOS ANGELES,9000073A,3029,121,N,,VBM PORTION,60,25,31,
LOS ANGELES,9000073A,3029,121,N,1190,TOTAL,407,185,194,
LOS ANGELES,9000074A,3030,55,N,866,POLLING PLACE,150,53,89,
LOS ANGELES,9000074A,3030,55,N,,VBM PORTION,57,17,32,
LOS ANGELES,9000074A,3030,55,N,866,TOTAL,207,70,121,
LOS ANGELES,9000078A,3032,55,N,920,POLLING PLACE,161,33,121,
LOS ANGELES,9000078A,3032,55,N,,VBM PORTION,51,11,35,
LOS ANGELES,9000078A,3032,55,N,920,TOTAL,212,44,156,
LOS ANGELES,9000079C,3033,55,N,980,POLLING PLACE,159,13,136,
LOS ANGELES,9000079C,3033,55,N,,VBM PORTION,54,6,47,
LOS ANGELES,9000079C,3033,55,N,980,TOTAL,213,19,183,
LOS ANGELES,9000080A,3034,55,N,995,POLLING PLACE,155,15,130,
LOS ANGELES,9000080A,3034,55,N,,VBM PORTION,32,2,30,
LOS ANGELES,9000080A,3034,55,N,995,TOTAL,187,17,160,
LOS ANGELES,9000082A,3035,121,N,1298,POLLING PLACE,259,100,144,
LOS ANGELES,9000082A,3035,121,N,,VBM PORTION,101,45,50,
LOS ANGELES,9000082A,3035,121,N,1298,TOTAL,360,145,194,
LOS ANGELES,9000088A,3040,121,N,1081,POLLING PLACE,148,19,124,
LOS ANGELES,9000088A,3040,121,N,,VBM PORTION,42,8,34,
LOS ANGELES,9000088A,3040,121,N,1081,TOTAL,190,27,158,
LOS ANGELES,9000089A,3041,121,N,1060,POLLING PLACE,147,27,116,
LOS ANGELES,9000089A,3041,121,N,,VBM PORTION,45,15,28,
LOS ANGELES,9000089A,3041,121,N,1060,TOTAL,192,42,144,
LOS ANGELES,9000090A,3042,59,N,1028,POLLING PLACE,180,26,145,
LOS ANGELES,9000090A,3042,59,N,,VBM PORTION,50,15,33,
LOS ANGELES,9000090A,3042,59,N,1028,TOTAL,230,41,178,
LOS ANGELES,9000093A,3044,59,N,908,POLLING PLACE,101,13,83,
LOS ANGELES,9000093A,3044,59,N,,VBM PORTION,51,4,46,
LOS ANGELES,9000093A,3044,59,N,908,TOTAL,152,17,129,
LOS ANGELES,9000094A,3045,59,N,869,POLLING PLACE,138,22,114,
LOS ANGELES,9000094A,3045,59,N,,VBM PORTION,42,12,29,
LOS ANGELES,9000094A,3045,59,N,869,TOTAL,180,34,143,
LOS ANGELES,9000097C,3048,55,N,1059,POLLING PLACE,211,57,144,
LOS ANGELES,9000097C,3048,55,N,,VBM PORTION,42,17,23,
LOS ANGELES,9000097C,3048,55,N,1059,TOTAL,253,74,167,
LOS ANGELES,9000101A,3052,55,N,1125,POLLING PLACE,216,53,151,
LOS ANGELES,9000101A,3052,55,N,,VBM PORTION,55,11,40,
LOS ANGELES,9000101A,3052,55,N,1125,TOTAL,271,64,191,
LOS ANGELES,9000102A,3053,121,N,1027,POLLING PLACE,163,43,109,
LOS ANGELES,9000102A,3053,121,N,,VBM PORTION,66,21,43,
LOS ANGELES,9000102A,3053,121,N,1027,TOTAL,229,64,152,
LOS ANGELES,9000107A,3055,55,N,980,POLLING PLACE,137,33,96,
LOS ANGELES,9000107A,3055,55,N,,VBM PORTION,49,19,30,
LOS ANGELES,9000107A,3055,55,N,980,TOTAL,186,52,126,
LOS ANGELES,9000110A,3056,59,N,673,POLLING PLACE,84,12,68,
LOS ANGELES,9000110A,3056,59,N,,VBM PORTION,18,4,9,
LOS ANGELES,9000110A,3056,59,N,673,TOTAL,102,16,77,
LOS ANGELES,9000113A,3057,55,N,578,POLLING PLACE,90,16,72,
LOS ANGELES,9000113A,3057,55,N,,VBM PORTION,18,7,10,
LOS ANGELES,9000113A,3057,55,N,578,TOTAL,108,23,82,
LOS ANGELES,9000116A,3059,59,N,1172,POLLING PLACE,150,13,126,
LOS ANGELES,9000116A,3059,59,N,,VBM PORTION,47,7,34,
LOS ANGELES,9000116A,3059,59,N,1172,TOTAL,197,20,160,
LOS ANGELES,9000119A,3061,59,N,1075,POLLING PLACE,115,17,92,
LOS ANGELES,9000119A,3061,59,N,,VBM PORTION,39,15,23,
LOS ANGELES,9000119A,3061,59,N,1075,TOTAL,154,32,115,
LOS ANGELES,9000123A,3062,59,N,786,POLLING PLACE,124,18,99,
LOS ANGELES,9000123A,3062,59,N,,VBM PORTION,31,8,22,
LOS ANGELES,9000123A,3062,59,N,786,TOTAL,155,26,121,
LOS ANGELES,9000125B,3063,59,N,1123,POLLING PLACE,139,19,113,
LOS ANGELES,9000125B,3063,59,N,,VBM PORTION,46,8,37,
LOS ANGELES,9000125B,3063,59,N,1123,TOTAL,185,27,150,
LOS ANGELES,9000126A,3064,59,N,1179,POLLING PLACE,197,23,165,
LOS ANGELES,9000126A,3064,59,N,,VBM PORTION,34,9,25,
LOS ANGELES,9000126A,3064,59,N,1179,TOTAL,231,32,190,
LOS ANGELES,9000127A,3065,124,N,1197,POLLING PLACE,187,40,137,
LOS ANGELES,9000127A,3065,124,N,,VBM PORTION,74,21,51,
LOS ANGELES,9000127A,3065,124,N,1197,TOTAL,261,61,188,
LOS ANGELES,9000134A,3071,55,N,701,POLLING PLACE,109,18,84,
LOS ANGELES,9000134A,3071,55,N,,VBM PORTION,23,3,20,
LOS ANGELES,9000134A,3071,55,N,701,TOTAL,132,21,104,
LOS ANGELES,9000135B,3072,124,N,1170,POLLING PLACE,164,34,120,
LOS ANGELES,9000135B,3072,124,N,,VBM PORTION,53,14,31,
LOS ANGELES,9000135B,3072,124,N,1170,TOTAL,217,48,151,
LOS ANGELES,9000136A,3073,121,N,1140,POLLING PLACE,201,59,133,
LOS ANGELES,9000136A,3073,121,N,,VBM PORTION,65,19,37,
LOS ANGELES,9000136A,3073,121,N,1140,TOTAL,266,78,170,
LOS ANGELES,9000137A,3074,121,N,1204,POLLING PLACE,144,28,109,
LOS ANGELES,9000137A,3074,121,N,,VBM PORTION,86,26,51,
LOS ANGELES,9000137A,3074,121,N,1204,TOTAL,230,54,160,
LOS ANGELES,9000139B,3075,55,N,1018,POLLING PLACE,138,40,90,
LOS ANGELES,9000139B,3075,55,N,,VBM PORTION,67,24,38,
LOS ANGELES,9000139B,3075,55,N,1018,TOTAL,205,64,128,
LOS ANGELES,9000140A,3076,121,N,943,POLLING PLACE,140,33,94,
LOS ANGELES,9000140A,3076,121,N,,VBM PORTION,36,7,21,
LOS ANGELES,9000140A,3076,121,N,943,TOTAL,176,40,115,
LOS ANGELES,9000141A,3077,55,N,980,POLLING PLACE,151,46,98,
LOS ANGELES,9000141A,3077,55,N,,VBM PORTION,66,32,32,
LOS ANGELES,9000141A,3077,55,N,980,TOTAL,217,78,130,
LOS ANGELES,9000142A,3078,124,N,1238,POLLING PLACE,209,59,140,
LOS ANGELES,9000142A,3078,124,N,,VBM PORTION,99,35,55,
LOS ANGELES,9000142A,3078,124,N,1238,TOTAL,308,94,195,
LOS ANGELES,9000144A,3079,55,N,1115,POLLING PLACE,164,44,107,
LOS ANGELES,9000144A,3079,55,N,,VBM PORTION,75,31,38,
LOS ANGELES,9000144A,3079,55,N,1115,TOTAL,239,75,145,
LOS ANGELES,9000148A,3080,121,N,1139,POLLING PLACE,130,29,97,
LOS ANGELES,9000148A,3080,121,N,,VBM PORTION,79,32,37,
LOS ANGELES,9000148A,3080,121,N,1139,TOTAL,209,61,134,
LOS ANGELES,9000149A,3081,121,N,696,POLLING PLACE,111,32,75,
LOS ANGELES,9000149A,3081,121,N,,VBM PORTION,29,11,16,
LOS ANGELES,9000149A,3081,121,N,696,TOTAL,140,43,91,
LOS ANGELES,9000151A,3082,121,N,1089,POLLING PLACE,174,37,123,
LOS ANGELES,9000151A,3082,121,N,,VBM PORTION,69,25,38,
LOS ANGELES,9000151A,3082,121,N,1089,TOTAL,243,62,161,
LOS ANGELES,9000152F,6273,124,Y,13,POLLING PLACE,,,,
LOS ANGELES,9000152F,6273,124,Y,,VBM PORTION,2,1,1,
LOS ANGELES,9000152F,6273,124,Y,13,TOTAL,2,1,1,
LOS ANGELES,9000153A,3083,121,N,1180,POLLING PLACE,203,44,152,
LOS ANGELES,9000153A,3083,121,N,,VBM PORTION,78,19,53,
LOS ANGELES,9000153A,3083,121,N,1180,TOTAL,281,63,205,
LOS ANGELES,9000157B,3087,121,N,925,POLLING PLACE,84,20,60,
LOS ANGELES,9000157B,3087,121,N,,VBM PORTION,48,10,36,
LOS ANGELES,9000157B,3087,121,N,925,TOTAL,132,30,96,
LOS ANGELES,9000163A,3090,55,N,966,POLLING PLACE,215,86,122,
LOS ANGELES,9000163A,3090,55,N,,VBM PORTION,68,27,37,
LOS ANGELES,9000163A,3090,55,N,966,TOTAL,283,113,159,
LOS ANGELES,9000165A,3091,59,N,1128,POLLING PLACE,211,39,164,
LOS ANGELES,9000165A,3091,59,N,,VBM PORTION,60,8,45,
LOS ANGELES,9000165A,3091,59,N,1128,TOTAL,271,47,209,
LOS ANGELES,9000167A,3092,55,N,1122,POLLING PLACE,226,51,165,
LOS ANGELES,9000167A,3092,55,N,,VBM PORTION,47,17,29,
LOS ANGELES,9000167A,3092,55,N,1122,TOTAL,273,68,194,
LOS ANGELES,9000177A,3097,121,N,835,POLLING PLACE,137,25,108,
LOS ANGELES,9000177A,3097,121,N,,VBM PORTION,30,9,21,
LOS ANGELES,9000177A,3097,121,N,835,TOTAL,167,34,129,
LOS ANGELES,9000178A,3098,121,N,1067,POLLING PLACE,183,57,120,
LOS ANGELES,9000178A,3098,121,N,,VBM PORTION,62,19,40,
LOS ANGELES,9000178A,3098,121,N,1067,TOTAL,245,76,160,
