LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CHRISTINA GAGNIER,NORMA J TORRES,
POMONA,5250001A,2092,209,N,968,POLLING PLACE,185,67,89,
POMONA,5250001A,2092,209,N,,VBM PORTION,63,20,33,
POMONA,5250001A,2092,209,N,968,TOTAL,248,87,122,
POMONA,5250003A,2093,207,N,1481,POLLING PLACE,262,60,174,
POMONA,5250003A,2093,207,N,,VBM PORTION,182,36,113,
POMONA,5250003A,2093,207,N,1481,TOTAL,444,96,287,
POMONA,5250004A,2094,203,N,1153,POLLING PLACE,151,27,112,
POMONA,5250004A,2094,203,N,,VBM PORTION,41,6,31,
POMONA,5250004A,2094,203,N,1153,TOTAL,192,33,143,
POMONA,5250005A,2095,209,N,868,POLLING PLACE,136,25,102,
POMONA,5250005A,2095,209,N,,VBM PORTION,60,17,37,
POMONA,5250005A,2095,209,N,868,TOTAL,196,42,139,
POMONA,5250006A,2096,206,N,436,POLLING PLACE,44,11,26,
POMONA,5250006A,2096,206,N,,VBM PORTION,11,1,10,
POMONA,5250006A,2096,206,N,436,TOTAL,55,12,36,
POMONA,5250008A,2097,207,N,631,POLLING PLACE,103,23,71,
POMONA,5250008A,2097,207,N,,VBM PORTION,22,7,13,
POMONA,5250008A,2097,207,N,631,TOTAL,125,30,84,
POMONA,5250008B,2098,207,N,1124,POLLING PLACE,152,42,100,
POMONA,5250008B,2098,207,N,,VBM PORTION,57,16,40,
POMONA,5250008B,2098,207,N,1124,TOTAL,209,58,140,
POMONA,5250009B,2099,207,N,575,POLLING PLACE,92,15,70,
POMONA,5250009B,2099,207,N,,VBM PORTION,7,,5,
POMONA,5250009B,2099,207,N,575,TOTAL,99,15,75,
POMONA,5250011B,2100,207,N,1155,POLLING PLACE,194,48,125,
POMONA,5250011B,2100,207,N,,VBM PORTION,44,13,29,
POMONA,5250011B,2100,207,N,1155,TOTAL,238,61,154,
POMONA,5250012A,2101,207,N,853,POLLING PLACE,96,28,63,
POMONA,5250012A,2101,207,N,,VBM PORTION,51,16,31,
POMONA,5250012A,2101,207,N,853,TOTAL,147,44,94,
POMONA,5250013A,2102,207,N,987,POLLING PLACE,186,71,101,
POMONA,5250013A,2102,207,N,,VBM PORTION,80,33,42,
POMONA,5250013A,2102,207,N,987,TOTAL,266,104,143,
POMONA,5250014A,2103,207,N,1188,POLLING PLACE,218,87,108,
POMONA,5250014A,2103,207,N,,VBM PORTION,89,39,44,
POMONA,5250014A,2103,207,N,1188,TOTAL,307,126,152,
POMONA,5250016B,2104,207,N,1275,POLLING PLACE,259,77,151,
POMONA,5250016B,2104,207,N,,VBM PORTION,119,44,68,
POMONA,5250016B,2104,207,N,1275,TOTAL,378,121,219,
POMONA,5250017A,2105,204,N,458,POLLING PLACE,60,17,42,
POMONA,5250017A,2105,204,N,,VBM PORTION,10,1,9,
POMONA,5250017A,2105,204,N,458,TOTAL,70,18,51,
POMONA,5250018A,2106,205,N,765,POLLING PLACE,57,17,31,
POMONA,5250018A,2106,205,N,,VBM PORTION,44,14,25,
POMONA,5250018A,2106,205,N,765,TOTAL,101,31,56,
POMONA,5250021A,2107,208,N,1152,POLLING PLACE,172,43,120,
POMONA,5250021A,2107,208,N,,VBM PORTION,42,11,29,
POMONA,5250021A,2107,208,N,1152,TOTAL,214,54,149,
POMONA,5250022A,2108,207,N,770,POLLING PLACE,103,28,65,
POMONA,5250022A,2108,207,N,,VBM PORTION,30,11,18,
POMONA,5250022A,2108,207,N,770,TOTAL,133,39,83,
POMONA,5250023A,2109,207,N,1139,POLLING PLACE,162,44,108,
POMONA,5250023A,2109,207,N,,VBM PORTION,56,17,36,
POMONA,5250023A,2109,207,N,1139,TOTAL,218,61,144,
POMONA,5250024A,2110,207,N,821,POLLING PLACE,122,24,90,
POMONA,5250024A,2110,207,N,,VBM PORTION,33,6,24,
POMONA,5250024A,2110,207,N,821,TOTAL,155,30,114,
POMONA,5250025A,2111,207,N,966,POLLING PLACE,119,17,94,
POMONA,5250025A,2111,207,N,,VBM PORTION,33,11,18,
POMONA,5250025A,2111,207,N,966,TOTAL,152,28,112,
POMONA,5250028A,2112,208,N,450,POLLING PLACE,61,14,36,
POMONA,5250028A,2112,208,N,,VBM PORTION,11,4,6,
POMONA,5250028A,2112,208,N,450,TOTAL,72,18,42,
POMONA,5250028D,2113,207,N,600,POLLING PLACE,62,14,45,
POMONA,5250028D,2113,207,N,,VBM PORTION,9,4,5,
POMONA,5250028D,2113,207,N,600,TOTAL,71,18,50,
POMONA,5250029A,2114,207,N,1158,POLLING PLACE,185,54,114,
POMONA,5250029A,2114,207,N,,VBM PORTION,58,11,43,
POMONA,5250029A,2114,207,N,1158,TOTAL,243,65,157,
POMONA,5250030A,2115,207,N,1024,POLLING PLACE,117,44,61,
POMONA,5250030A,2115,207,N,,VBM PORTION,38,14,18,
POMONA,5250030A,2115,207,N,1024,TOTAL,155,58,79,
POMONA,5250034B,2116,207,N,1199,POLLING PLACE,246,88,139,
POMONA,5250034B,2116,207,N,,VBM PORTION,104,55,42,
POMONA,5250034B,2116,207,N,1199,TOTAL,350,143,181,
POMONA,5250038A,2117,207,N,1063,POLLING PLACE,198,69,108,
POMONA,5250038A,2117,207,N,,VBM PORTION,71,26,37,
POMONA,5250038A,2117,207,N,1063,TOTAL,269,95,145,
POMONA,5250041A,2118,207,N,1166,POLLING PLACE,195,40,140,
POMONA,5250041A,2118,207,N,,VBM PORTION,42,8,32,
POMONA,5250041A,2118,207,N,1166,TOTAL,237,48,172,
POMONA,5250042A,2119,207,N,1005,POLLING PLACE,174,52,110,
POMONA,5250042A,2119,207,N,,VBM PORTION,52,19,28,
POMONA,5250042A,2119,207,N,1005,TOTAL,226,71,138,
POMONA,5250044D,2120,208,N,504,POLLING PLACE,72,12,59,
POMONA,5250044D,2120,208,N,,VBM PORTION,14,4,9,
POMONA,5250044D,2120,208,N,504,TOTAL,86,16,68,
POMONA,5250046D,2121,207,N,876,POLLING PLACE,118,26,85,
POMONA,5250046D,2121,207,N,,VBM PORTION,46,13,31,
POMONA,5250046D,2121,207,N,876,TOTAL,164,39,116,
POMONA,5250049A,2122,204,N,1026,POLLING PLACE,136,33,95,
