LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DAVID SANCHEZ,L ROYBAL-ALLARD,
BELL,0700001A,198,347,N,957,POLLING PLACE,136,51,80,
BELL,0700001A,198,347,N,,VBM PORTION,26,5,19,
BELL,0700001A,198,347,N,957,TOTAL,162,56,99,
BELL,0700002A,199,347,N,967,POLLING PLACE,154,45,90,
BELL,0700002A,199,347,N,,VBM PORTION,17,4,11,
BELL,0700002A,199,347,N,967,TOTAL,171,49,101,
BELL,0700005A,200,347,N,1135,POLLING PLACE,122,34,76,
BELL,0700005A,200,347,N,,VBM PORTION,41,7,33,
BELL,0700005A,200,347,N,1135,TOTAL,163,41,109,
BELL,0700007B,201,347,N,1146,POLLING PLACE,165,59,98,
BELL,0700007B,201,347,N,,VBM PORTION,38,12,19,
BELL,0700007B,201,347,N,1146,TOTAL,203,71,117,
BELL,0700008A,202,347,N,1081,POLLING PLACE,179,73,92,
BELL,0700008A,202,347,N,,VBM PORTION,27,11,13,
BELL,0700008A,202,347,N,1081,TOTAL,206,84,105,
BELL,0700010A,203,347,N,1170,POLLING PLACE,152,59,82,
BELL,0700010A,203,347,N,,VBM PORTION,51,17,29,
BELL,0700010A,203,347,N,1170,TOTAL,203,76,111,
BELL,0700011A,204,347,N,1142,POLLING PLACE,201,65,114,
BELL,0700011A,204,347,N,,VBM PORTION,37,13,23,
BELL,0700011A,204,347,N,1142,TOTAL,238,78,137,
BELL,0700013A,205,347,N,1002,POLLING PLACE,160,60,81,
BELL,0700013A,205,347,N,,VBM PORTION,48,12,28,
BELL,0700013A,205,347,N,1002,TOTAL,208,72,109,
BELL,0700017A,206,347,N,887,POLLING PLACE,147,58,81,
BELL,0700017A,206,347,N,,VBM PORTION,29,6,17,
BELL,0700017A,206,347,N,887,TOTAL,176,64,98,
BELL,0700018A,207,347,N,1047,POLLING PLACE,189,63,112,
BELL,0700018A,207,347,N,,VBM PORTION,17,3,12,
BELL,0700018A,207,347,N,1047,TOTAL,206,66,124,
BELLFLOWER,0750006A,208,302,N,825,POLLING PLACE,140,50,64,
BELLFLOWER,0750006A,208,302,N,,VBM PORTION,62,22,29,
BELLFLOWER,0750006A,208,302,N,825,TOTAL,202,72,93,
BELLFLOWER,0750009A,209,301,N,1074,POLLING PLACE,196,69,85,
BELLFLOWER,0750009A,209,301,N,,VBM PORTION,68,18,32,
BELLFLOWER,0750009A,209,301,N,1074,TOTAL,264,87,117,
BELLFLOWER,0750010A,210,301,N,1000,POLLING PLACE,120,45,65,
BELLFLOWER,0750010A,210,301,N,,VBM PORTION,51,15,20,
BELLFLOWER,0750010A,210,301,N,1000,TOTAL,171,60,85,
BELLFLOWER,0750011A,211,292,N,1111,POLLING PLACE,219,77,87,
BELLFLOWER,0750011A,211,292,N,,VBM PORTION,57,21,18,
BELLFLOWER,0750011A,211,292,N,1111,TOTAL,276,98,105,
BELLFLOWER,0750013A,214,300,N,140,POLLING PLACE,9,1,8,
BELLFLOWER,0750013A,214,300,N,,VBM PORTION,7,5,2,
BELLFLOWER,0750013A,214,300,N,140,TOTAL,16,6,10,
BELLFLOWER,0750014A,215,292,N,955,POLLING PLACE,134,49,60,
BELLFLOWER,0750014A,215,292,N,,VBM PORTION,46,15,22,
BELLFLOWER,0750014A,215,292,N,955,TOTAL,180,64,82,
BELLFLOWER,0750016A,216,292,N,1146,POLLING PLACE,141,62,68,
BELLFLOWER,0750016A,216,292,N,,VBM PORTION,70,17,36,
BELLFLOWER,0750016A,216,292,N,1146,TOTAL,211,79,104,
BELLFLOWER,0750017B,217,292,N,1153,POLLING PLACE,100,39,50,
BELLFLOWER,0750017B,217,292,N,,VBM PORTION,42,14,23,
