LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JANICE HAHN,ADAM SHBEITA,
ATHENS,0450001A,124,371,N,1168,POLLING PLACE,179,160,12,
ATHENS,0450001A,124,371,N,,VBM PORTION,44,37,3,
ATHENS,0450001A,124,371,N,1168,TOTAL,223,197,15,
ATHENS,0450002B,125,371,N,1203,POLLING PLACE,248,220,17,
ATHENS,0450002B,125,371,N,,VBM PORTION,39,32,4,
ATHENS,0450002B,125,371,N,1203,TOTAL,287,252,21,
ATHENS,0450004A,126,366,N,1286,POLLING PLACE,177,156,7,
ATHENS,0450004A,126,366,N,,VBM PORTION,73,61,7,
ATHENS,0450004A,126,366,N,1286,TOTAL,250,217,14,
ATHENS,0450007A,127,371,N,996,POLLING PLACE,208,186,6,
ATHENS,0450007A,127,371,N,,VBM PORTION,61,54,2,
ATHENS,0450007A,127,371,N,996,TOTAL,269,240,8,
ATHENS,0450008A,128,371,N,582,POLLING PLACE,151,137,7,
ATHENS,0450008A,128,371,N,,VBM PORTION,37,34,1,
ATHENS,0450008A,128,371,N,582,TOTAL,188,171,8,
CARSON,1030001A,366,373,N,826,POLLING PLACE,161,142,11,
CARSON,1030001A,366,373,N,,VBM PORTION,77,70,6,
CARSON,1030001A,366,373,N,826,TOTAL,238,212,17,
CARSON,1030004A,367,373,N,645,POLLING PLACE,170,153,3,
CARSON,1030004A,367,373,N,,VBM PORTION,47,43,2,
CARSON,1030004A,367,373,N,645,TOTAL,217,196,5,
CARSON,1030006C,368,373,N,848,POLLING PLACE,146,121,16,
CARSON,1030006C,368,373,N,,VBM PORTION,59,47,7,
CARSON,1030006C,368,373,N,848,TOTAL,205,168,23,
CARSON,1030007A,369,373,N,887,POLLING PLACE,119,86,26,
CARSON,1030007A,369,373,N,,VBM PORTION,64,43,8,
CARSON,1030007A,369,373,N,887,TOTAL,183,129,34,
CARSON,1030008A,370,373,N,1102,POLLING PLACE,187,159,19,
CARSON,1030008A,370,373,N,,VBM PORTION,84,77,4,
CARSON,1030008A,370,373,N,1102,TOTAL,271,236,23,
CARSON,1030012B,371,373,N,1095,POLLING PLACE,135,100,22,
CARSON,1030012B,371,373,N,,VBM PORTION,114,83,18,
CARSON,1030012B,371,373,N,1095,TOTAL,249,183,40,
CARSON,1030013A,372,373,N,1110,POLLING PLACE,182,140,32,
CARSON,1030013A,372,373,N,,VBM PORTION,68,50,11,
CARSON,1030013A,372,373,N,1110,TOTAL,250,190,43,
CARSON,1030014A,373,363,N,945,POLLING PLACE,204,183,10,
CARSON,1030014A,373,363,N,,VBM PORTION,56,48,2,
CARSON,1030014A,373,363,N,945,TOTAL,260,231,12,
CARSON,1030015A,374,363,N,929,POLLING PLACE,236,202,12,
CARSON,1030015A,374,363,N,,VBM PORTION,82,65,10,
