LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALAN LOWENTHAL,ANDY WHALLON,
AVALON,0500001A,129,388,N,460,POLLING PLACE,102,55,41,
AVALON,0500001A,129,388,N,,VBM PORTION,56,27,27,
AVALON,0500001A,129,388,N,460,TOTAL,158,82,68,
AVALON,0500003A,130,388,N,1161,POLLING PLACE,249,147,93,
AVALON,0500003A,130,388,N,,VBM PORTION,135,57,75,
AVALON,0500003A,130,388,N,1161,TOTAL,384,204,168,
BONNER,0930001A,294,396,N,983,POLLING PLACE,257,109,129,
BONNER,0930001A,294,396,N,,VBM PORTION,93,43,41,
BONNER,0930001A,294,396,N,983,TOTAL,350,152,170,
LAKEWOOD,3450040A,1293,357,N,761,POLLING PLACE,112,63,47,
LAKEWOOD,3450040A,1293,357,N,,VBM PORTION,56,30,24,
LAKEWOOD,3450040A,1293,357,N,761,TOTAL,168,93,71,
LAKEWOOD,3450042A,1294,357,N,1173,POLLING PLACE,264,139,106,
LAKEWOOD,3450042A,1294,357,N,,VBM PORTION,63,27,34,
LAKEWOOD,3450042A,1294,357,N,1173,TOTAL,327,166,140,
LAKEWOOD,3450043A,1295,357,N,1265,POLLING PLACE,258,131,114,
LAKEWOOD,3450043A,1295,357,N,,VBM PORTION,119,41,71,
LAKEWOOD,3450043A,1295,357,N,1265,TOTAL,377,172,185,
LAKEWOOD,3450045A,1296,357,N,997,POLLING PLACE,207,109,83,
LAKEWOOD,3450045A,1296,357,N,,VBM PORTION,66,31,30,
LAKEWOOD,3450045A,1296,357,N,997,TOTAL,273,140,113,
LAKEWOOD,3450046A,1297,357,N,728,POLLING PLACE,151,82,65,
LAKEWOOD,3450046A,1297,357,N,,VBM PORTION,61,34,26,
LAKEWOOD,3450046A,1297,357,N,728,TOTAL,212,116,91,
LAKEWOOD,3450048A,1298,357,N,1035,POLLING PLACE,258,136,118,
LAKEWOOD,3450048A,1298,357,N,,VBM PORTION,65,29,30,
LAKEWOOD,3450048A,1298,357,N,1035,TOTAL,323,165,148,
LAKEWOOD,3450053A,1299,343,N,772,POLLING PLACE,160,83,71,
LAKEWOOD,3450053A,1299,343,N,,VBM PORTION,63,31,28,
LAKEWOOD,3450053A,1299,343,N,772,TOTAL,223,114,99,
LAKEWOOD,3450054A,1300,343,N,836,POLLING PLACE,198,69,117,
LAKEWOOD,3450054A,1300,343,N,,VBM PORTION,51,23,25,
LAKEWOOD,3450054A,1300,343,N,836,TOTAL,249,92,142,
LAKEWOOD,3450055A,1301,343,N,1387,POLLING PLACE,309,147,149,
LAKEWOOD,3450055A,1301,343,N,,VBM PORTION,99,41,52,
LAKEWOOD,3450055A,1301,343,N,1387,TOTAL,408,188,201,
LAKEWOOD,3450062A,1304,343,N,984,POLLING PLACE,251,128,105,
LAKEWOOD,3450062A,1304,343,N,,VBM PORTION,76,33,40,
LAKEWOOD,3450062A,1304,343,N,984,TOTAL,327,161,145,
