LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEPHEN C SMITH,JIMMY GOMEZ,
BELVEDERE,0850001A,257,199,N,837,POLLING PLACE,154,21,125,
BELVEDERE,0850001A,257,199,N,,VBM PORTION,20,3,17,
BELVEDERE,0850001A,257,199,N,837,TOTAL,174,24,142,
BELVEDERE,0850004A,258,201,N,950,POLLING PLACE,114,9,99,
BELVEDERE,0850004A,258,201,N,,VBM PORTION,32,1,25,
BELVEDERE,0850004A,258,201,N,950,TOTAL,146,10,124,
BELVEDERE,0850005A,259,199,N,941,POLLING PLACE,165,17,141,
BELVEDERE,0850005A,259,199,N,,VBM PORTION,29,5,22,
BELVEDERE,0850005A,259,199,N,941,TOTAL,194,22,163,
BELVEDERE,0850006A,260,201,N,888,POLLING PLACE,150,16,126,
BELVEDERE,0850006A,260,201,N,,VBM PORTION,35,1,32,
BELVEDERE,0850006A,260,201,N,888,TOTAL,185,17,158,
BELVEDERE,0850007A,261,199,N,1028,POLLING PLACE,137,12,117,
BELVEDERE,0850007A,261,199,N,,VBM PORTION,31,5,23,
BELVEDERE,0850007A,261,199,N,1028,TOTAL,168,17,140,
BELVEDERE,0850009A,262,199,N,905,POLLING PLACE,118,12,94,
BELVEDERE,0850009A,262,199,N,,VBM PORTION,31,4,25,
BELVEDERE,0850009A,262,199,N,905,TOTAL,149,16,119,
BELVEDERE,0850011B,263,201,N,838,POLLING PLACE,114,15,94,
BELVEDERE,0850011B,263,201,N,,VBM PORTION,36,6,27,
BELVEDERE,0850011B,263,201,N,838,TOTAL,150,21,121,
BELVEDERE,0850012C,264,199,N,791,POLLING PLACE,126,11,93,
BELVEDERE,0850012C,264,199,N,,VBM PORTION,14,2,10,
BELVEDERE,0850012C,264,199,N,791,TOTAL,140,13,103,
BELVEDERE,0850013A,265,201,N,943,POLLING PLACE,167,11,135,
BELVEDERE,0850013A,265,201,N,,VBM PORTION,45,4,41,
BELVEDERE,0850013A,265,201,N,943,TOTAL,212,15,176,
BELVEDERE,0850014A,266,199,N,819,POLLING PLACE,95,13,81,
BELVEDERE,0850014A,266,199,N,,VBM PORTION,25,2,23,
BELVEDERE,0850014A,266,199,N,819,TOTAL,120,15,104,
BELVEDERE,0850015B,267,199,N,929,POLLING PLACE,115,12,96,
BELVEDERE,0850015B,267,199,N,,VBM PORTION,21,4,14,
BELVEDERE,0850015B,267,199,N,929,TOTAL,136,16,110,
BELVEDERE,0850016A,268,199,N,780,POLLING PLACE,128,14,108,
BELVEDERE,0850016A,268,199,N,,VBM PORTION,22,1,19,
BELVEDERE,0850016A,268,199,N,780,TOTAL,150,15,127,
BELVEDERE,0850017A,269,199,N,1018,POLLING PLACE,157,14,120,
BELVEDERE,0850017A,269,199,N,,VBM PORTION,47,10,35,
BELVEDERE,0850017A,269,199,N,1018,TOTAL,204,24,155,
BELVEDERE,0850052A,270,201,N,1006,POLLING PLACE,171,8,154,
BELVEDERE,0850052A,270,201,N,,VBM PORTION,44,2,41,
BELVEDERE,0850052A,270,201,N,1006,TOTAL,215,10,195,
BELVEDERE,0850056A,271,201,N,807,POLLING PLACE,141,15,113,
BELVEDERE,0850056A,271,201,N,,VBM PORTION,29,2,27,
BELVEDERE,0850056A,271,201,N,807,TOTAL,170,17,140,
BELVEDERE,0850058A,272,201,N,1120,POLLING PLACE,216,23,172,
BELVEDERE,0850058A,272,201,N,,VBM PORTION,38,4,33,
BELVEDERE,0850058A,272,201,N,1120,TOTAL,254,27,205,
BELVEDERE,0850061A,273,199,N,1054,POLLING PLACE,130,11,110,
BELVEDERE,0850061A,273,199,N,,VBM PORTION,50,12,35,
BELVEDERE,0850061A,273,199,N,1054,TOTAL,180,23,145,
EAST LOS ANGELES,2000001A,752,201,N,833,POLLING PLACE,103,13,82,
EAST LOS ANGELES,2000001A,752,201,N,,VBM PORTION,38,3,31,
EAST LOS ANGELES,2000001A,752,201,N,833,TOTAL,141,16,113,
EAST LOS ANGELES,2000002A,753,201,N,1078,POLLING PLACE,186,12,159,
EAST LOS ANGELES,2000002A,753,201,N,,VBM PORTION,37,7,29,
EAST LOS ANGELES,2000002A,753,201,N,1078,TOTAL,223,19,188,
EAST LOS ANGELES,2000003A,754,201,N,1165,POLLING PLACE,183,12,150,
EAST LOS ANGELES,2000003A,754,201,N,,VBM PORTION,49,6,42,
EAST LOS ANGELES,2000003A,754,201,N,1165,TOTAL,232,18,192,
EAST LOS ANGELES,2000005A,755,201,N,860,POLLING PLACE,181,14,150,
EAST LOS ANGELES,2000005A,755,201,N,,VBM PORTION,17,,16,
EAST LOS ANGELES,2000005A,755,201,N,860,TOTAL,198,14,166,
EAST LOS ANGELES,2000007A,756,201,N,438,POLLING PLACE,50,2,46,
EAST LOS ANGELES,2000007A,756,201,N,,VBM PORTION,15,3,10,
EAST LOS ANGELES,2000007A,756,201,N,438,TOTAL,65,5,56,
EAST LOS ANGELES,2000011A,757,201,N,1137,POLLING PLACE,168,25,126,
EAST LOS ANGELES,2000011A,757,201,N,,VBM PORTION,38,4,34,
EAST LOS ANGELES,2000011A,757,201,N,1137,TOTAL,206,29,160,
EAST LOS ANGELES,2000013A,758,201,N,843,POLLING PLACE,138,15,113,
EAST LOS ANGELES,2000013A,758,201,N,,VBM PORTION,22,1,21,
EAST LOS ANGELES,2000013A,758,201,N,843,TOTAL,160,16,134,
EAST LOS ANGELES,2000018C,759,201,N,1134,POLLING PLACE,198,18,168,
EAST LOS ANGELES,2000018C,759,201,N,,VBM PORTION,36,2,32,
EAST LOS ANGELES,2000018C,759,201,N,1134,TOTAL,234,20,200,
EAST LOS ANGELES,2000024A,760,201,N,861,POLLING PLACE,167,9,148,
EAST LOS ANGELES,2000024A,760,201,N,,VBM PORTION,16,2,10,
EAST LOS ANGELES,2000024A,760,201,N,861,TOTAL,183,11,158,
