LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GREGG D FRITCHLE,LING-LING CHANG,
DIAMOND BAR,1780001A,629,238,N,1145,POLLING PLACE,150,33,104,
DIAMOND BAR,1780001A,629,238,N,,VBM PORTION,108,31,68,
DIAMOND BAR,1780001A,629,238,N,1145,TOTAL,258,64,172,
DIAMOND BAR,1780002A,630,237,N,1182,POLLING PLACE,203,95,93,
DIAMOND BAR,1780002A,630,237,N,,VBM PORTION,89,31,48,
DIAMOND BAR,1780002A,630,237,N,1182,TOTAL,292,126,141,
DIAMOND BAR,1780003A,631,238,N,661,POLLING PLACE,124,60,58,
DIAMOND BAR,1780003A,631,238,N,,VBM PORTION,47,17,28,
DIAMOND BAR,1780003A,631,238,N,661,TOTAL,171,77,86,
DIAMOND BAR,1780004A,632,238,N,1149,POLLING PLACE,175,71,91,
DIAMOND BAR,1780004A,632,238,N,,VBM PORTION,113,22,81,
DIAMOND BAR,1780004A,632,238,N,1149,TOTAL,288,93,172,
DIAMOND BAR,1780006A,633,238,N,1076,POLLING PLACE,201,83,105,
DIAMOND BAR,1780006A,633,238,N,,VBM PORTION,101,37,56,
DIAMOND BAR,1780006A,633,238,N,1076,TOTAL,302,120,161,
DIAMOND BAR,1780007B,634,238,N,1068,POLLING PLACE,173,62,97,
DIAMOND BAR,1780007B,634,238,N,,VBM PORTION,96,39,53,
DIAMOND BAR,1780007B,634,238,N,1068,TOTAL,269,101,150,
DIAMOND BAR,1780008A,635,238,N,1158,POLLING PLACE,138,57,74,
DIAMOND BAR,1780008A,635,238,N,,VBM PORTION,145,52,82,
DIAMOND BAR,1780008A,635,238,N,1158,TOTAL,283,109,156,
DIAMOND BAR,1780014A,636,238,N,1201,POLLING PLACE,212,93,110,
DIAMOND BAR,1780014A,636,238,N,,VBM PORTION,115,48,57,
DIAMOND BAR,1780014A,636,238,N,1201,TOTAL,327,141,167,
DIAMOND BAR,1780020A,637,238,N,1097,POLLING PLACE,187,83,97,
DIAMOND BAR,1780020A,637,238,N,,VBM PORTION,97,37,58,
DIAMOND BAR,1780020A,637,238,N,1097,TOTAL,284,120,155,
DIAMOND BAR,1780021A,638,238,N,1029,POLLING PLACE,169,55,105,
