LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,IAN C CALDERON,RITA TOPALIAN,
AVOCADO HEIGHTS,0520001A,131,240,N,1062,POLLING PLACE,198,116,73,
AVOCADO HEIGHTS,0520001A,131,240,N,,VBM PORTION,75,37,33,
AVOCADO HEIGHTS,0520001A,131,240,N,1062,TOTAL,273,153,106,
AVOCADO HEIGHTS,0520002A,132,239,N,679,POLLING PLACE,132,93,33,
AVOCADO HEIGHTS,0520002A,132,239,N,,VBM PORTION,21,14,6,
AVOCADO HEIGHTS,0520002A,132,239,N,679,TOTAL,153,107,39,
AVOCADO HEIGHTS,0520003A,6025,245,Y,,POLLING PLACE,,,,
AVOCADO HEIGHTS,0520003A,6025,245,Y,,VBM PORTION,,,,
AVOCADO HEIGHTS,0520003A,6025,245,Y,,TOTAL,,,,
AVOCADO HEIGHTS,0520004A,133,242,N,762,POLLING PLACE,150,82,55,
AVOCADO HEIGHTS,0520004A,133,242,N,,VBM PORTION,63,31,27,
AVOCADO HEIGHTS,0520004A,133,242,N,762,TOTAL,213,113,82,
AVOCADO HEIGHTS,0520005B,134,239,N,982,POLLING PLACE,,,,
AVOCADO HEIGHTS,0520005B,134,239,N,,VBM PORTION,28,19,9,
AVOCADO HEIGHTS,0520005B,134,239,N,982,TOTAL,28,19,9,
AVOCADO HEIGHTS,0520007A,135,242,N,498,POLLING PLACE,49,26,21,
AVOCADO HEIGHTS,0520007A,135,242,N,,VBM PORTION,12,8,4,
AVOCADO HEIGHTS,0520007A,135,242,N,498,TOTAL,61,34,25,
AVOCADO HEIGHTS,0520008B,136,240,N,117,POLLING PLACE,14,11,1,
AVOCADO HEIGHTS,0520008B,136,240,N,,VBM PORTION,1,1,,
AVOCADO HEIGHTS,0520008B,136,240,N,117,TOTAL,15,12,1,
AVOCADO HEIGHTS,0520009A,137,240,N,726,POLLING PLACE,144,67,69,
AVOCADO HEIGHTS,0520009A,137,240,N,,VBM PORTION,54,32,19,
AVOCADO HEIGHTS,0520009A,137,240,N,726,TOTAL,198,99,88,
AVOCADO HEIGHTS,0520009B,138,240,N,448,POLLING PLACE,82,50,27,
AVOCADO HEIGHTS,0520009B,138,240,N,,VBM PORTION,12,6,6,
AVOCADO HEIGHTS,0520009B,138,240,N,448,TOTAL,94,56,33,
AVOCADO HEIGHTS,0520010A,139,239,N,711,POLLING PLACE,114,68,39,
AVOCADO HEIGHTS,0520010A,139,239,N,,VBM PORTION,39,24,13,
AVOCADO HEIGHTS,0520010A,139,239,N,711,TOTAL,153,92,52,
AVOCADO HEIGHTS,0520010B,6026,240,Y,4,POLLING PLACE,,,,
AVOCADO HEIGHTS,0520010B,6026,240,Y,,VBM PORTION,,,,
AVOCADO HEIGHTS,0520010B,6026,240,Y,4,TOTAL,,,,
