LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CRISTINA GARCIA,
ARTESIA,0400001A,117,277,N,779,POLLING PLACE,162,139,
ARTESIA,0400001A,117,277,N,,VBM PORTION,23,19,
ARTESIA,0400001A,117,277,N,779,TOTAL,185,158,
ARTESIA,0400002A,118,274,N,1116,POLLING PLACE,180,103,
ARTESIA,0400002A,118,274,N,,VBM PORTION,137,72,
ARTESIA,0400002A,118,274,N,1116,TOTAL,317,175,
ARTESIA,0400004A,119,274,N,911,POLLING PLACE,202,130,
ARTESIA,0400004A,119,274,N,,VBM PORTION,69,43,
ARTESIA,0400004A,119,274,N,911,TOTAL,271,173,
ARTESIA,0400006A,120,274,N,988,POLLING PLACE,188,130,
ARTESIA,0400006A,120,274,N,,VBM PORTION,63,43,
ARTESIA,0400006A,120,274,N,988,TOTAL,251,173,
ARTESIA,0400007A,121,274,N,993,POLLING PLACE,188,119,
ARTESIA,0400007A,121,274,N,,VBM PORTION,87,53,
ARTESIA,0400007A,121,274,N,993,TOTAL,275,172,
ARTESIA,0400008A,122,274,N,1005,POLLING PLACE,173,108,
ARTESIA,0400008A,122,274,N,,VBM PORTION,95,55,
ARTESIA,0400008A,122,274,N,1005,TOTAL,268,163,
ARTESIA,0400010C,123,274,N,1027,POLLING PLACE,139,89,
ARTESIA,0400010C,123,274,N,,VBM PORTION,109,61,
ARTESIA,0400010C,123,274,N,1027,TOTAL,248,150,
BELLFLOWER,0750006A,208,302,N,825,POLLING PLACE,140,94,
BELLFLOWER,0750006A,208,302,N,,VBM PORTION,62,46,
BELLFLOWER,0750006A,208,302,N,825,TOTAL,202,140,
BELLFLOWER,0750009A,209,301,N,1074,POLLING PLACE,196,131,
BELLFLOWER,0750009A,209,301,N,,VBM PORTION,68,35,
BELLFLOWER,0750009A,209,301,N,1074,TOTAL,264,166,
BELLFLOWER,0750010A,210,301,N,1000,POLLING PLACE,120,93,
BELLFLOWER,0750010A,210,301,N,,VBM PORTION,51,32,
BELLFLOWER,0750010A,210,301,N,1000,TOTAL,171,125,
BELLFLOWER,0750011A,211,292,N,1111,POLLING PLACE,219,137,
BELLFLOWER,0750011A,211,292,N,,VBM PORTION,57,34,
BELLFLOWER,0750011A,211,292,N,1111,TOTAL,276,171,
BELLFLOWER,0750012A,212,284,N,571,POLLING PLACE,62,50,
BELLFLOWER,0750012A,212,284,N,,VBM PORTION,23,16,
BELLFLOWER,0750012A,212,284,N,571,TOTAL,85,66,
BELLFLOWER,0750012D,213,286,N,873,POLLING PLACE,74,55,
BELLFLOWER,0750012D,213,286,N,,VBM PORTION,19,11,
BELLFLOWER,0750012D,213,286,N,873,TOTAL,93,66,
BELLFLOWER,0750013A,214,300,N,140,POLLING PLACE,9,8,
BELLFLOWER,0750013A,214,300,N,,VBM PORTION,7,7,
BELLFLOWER,0750013A,214,300,N,140,TOTAL,16,15,
BELLFLOWER,0750014A,215,292,N,955,POLLING PLACE,134,91,
BELLFLOWER,0750014A,215,292,N,,VBM PORTION,46,34,
BELLFLOWER,0750014A,215,292,N,955,TOTAL,180,125,
BELLFLOWER,0750016A,216,292,N,1146,POLLING PLACE,141,115,
BELLFLOWER,0750016A,216,292,N,,VBM PORTION,70,45,
BELLFLOWER,0750016A,216,292,N,1146,TOTAL,211,160,
BELLFLOWER,0750017B,217,292,N,1153,POLLING PLACE,100,78,
BELLFLOWER,0750017B,217,292,N,,VBM PORTION,42,29,
BELLFLOWER,0750017B,217,292,N,1153,TOTAL,142,107,
BELLFLOWER,0750019A,218,292,N,1077,POLLING PLACE,137,101,
BELLFLOWER,0750019A,218,292,N,,VBM PORTION,51,34,
BELLFLOWER,0750019A,218,292,N,1077,TOTAL,188,135,
BELLFLOWER,0750021A,219,301,N,829,POLLING PLACE,135,95,
BELLFLOWER,0750021A,219,301,N,,VBM PORTION,66,42,
BELLFLOWER,0750021A,219,301,N,829,TOTAL,201,137,
BELLFLOWER,0750022A,220,284,N,1011,POLLING PLACE,204,128,
BELLFLOWER,0750022A,220,284,N,,VBM PORTION,66,37,
BELLFLOWER,0750022A,220,284,N,1011,TOTAL,270,165,
BELLFLOWER,0750024A,221,293,N,1039,POLLING PLACE,167,126,
BELLFLOWER,0750024A,221,293,N,,VBM PORTION,54,40,
BELLFLOWER,0750024A,221,293,N,1039,TOTAL,221,166,
BELLFLOWER,0750025A,222,301,N,565,POLLING PLACE,96,72,
BELLFLOWER,0750025A,222,301,N,,VBM PORTION,50,33,
BELLFLOWER,0750025A,222,301,N,565,TOTAL,146,105,
BELLFLOWER,0750027A,223,284,N,1026,POLLING PLACE,121,95,
BELLFLOWER,0750027A,223,284,N,,VBM PORTION,58,29,
BELLFLOWER,0750027A,223,284,N,1026,TOTAL,179,124,
BELLFLOWER,0750028A,224,292,N,1021,POLLING PLACE,165,100,
BELLFLOWER,0750028A,224,292,N,,VBM PORTION,60,31,
BELLFLOWER,0750028A,224,292,N,1021,TOTAL,225,131,
BELLFLOWER,0750029C,225,285,N,823,POLLING PLACE,98,78,
BELLFLOWER,0750029C,225,285,N,,VBM PORTION,31,20,
BELLFLOWER,0750029C,225,285,N,823,TOTAL,129,98,
BELLFLOWER,0750030A,226,284,N,1060,POLLING PLACE,192,137,
BELLFLOWER,0750030A,226,284,N,,VBM PORTION,72,46,
BELLFLOWER,0750030A,226,284,N,1060,TOTAL,264,183,
BELLFLOWER,0750031C,227,285,N,907,POLLING PLACE,99,79,
BELLFLOWER,0750031C,227,285,N,,VBM PORTION,44,35,
BELLFLOWER,0750031C,227,285,N,907,TOTAL,143,114,
BELLFLOWER,0750032A,228,284,N,827,POLLING PLACE,112,96,
BELLFLOWER,0750032A,228,284,N,,VBM PORTION,30,24,
BELLFLOWER,0750032A,228,284,N,827,TOTAL,142,120,
BELLFLOWER,0750032C,229,284,N,693,POLLING PLACE,100,76,
BELLFLOWER,0750032C,229,284,N,,VBM PORTION,37,27,
BELLFLOWER,0750032C,229,284,N,693,TOTAL,137,103,
BELLFLOWER,0750033A,230,284,N,935,POLLING PLACE,192,118,
BELLFLOWER,0750033A,230,284,N,,VBM PORTION,42,28,
BELLFLOWER,0750033A,230,284,N,935,TOTAL,234,146,
BELLFLOWER,0750034A,231,286,N,871,POLLING PLACE,144,89,
BELLFLOWER,0750034A,231,286,N,,VBM PORTION,60,40,
BELLFLOWER,0750034A,231,286,N,871,TOTAL,204,129,
BELLFLOWER,0750035A,232,286,N,856,POLLING PLACE,128,108,
BELLFLOWER,0750035A,232,286,N,,VBM PORTION,71,52,
BELLFLOWER,0750035A,232,286,N,856,TOTAL,199,160,
BELLFLOWER,0750036A,233,286,N,954,POLLING PLACE,97,71,
BELLFLOWER,0750036A,233,286,N,,VBM PORTION,36,24,
BELLFLOWER,0750036A,233,286,N,954,TOTAL,133,95,
BELLFLOWER,0750037B,234,292,N,548,POLLING PLACE,105,82,
BELLFLOWER,0750037B,234,292,N,,VBM PORTION,31,19,
BELLFLOWER,0750037B,234,292,N,548,TOTAL,136,101,
BELLFLOWER,0750040A,235,285,N,1012,POLLING PLACE,105,93,
