LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MIKE GIPSON,PROPHET L WALKER,
ATHENS,0450001A,124,371,N,1168,POLLING PLACE,179,86,85,
ATHENS,0450001A,124,371,N,,VBM PORTION,44,20,18,
ATHENS,0450001A,124,371,N,1168,TOTAL,223,106,103,
ATHENS,0450002B,125,371,N,1203,POLLING PLACE,248,142,96,
ATHENS,0450002B,125,371,N,,VBM PORTION,39,25,9,
ATHENS,0450002B,125,371,N,1203,TOTAL,287,167,105,
ATHENS,0450004A,126,366,N,1286,POLLING PLACE,177,88,73,
ATHENS,0450004A,126,366,N,,VBM PORTION,73,42,20,
ATHENS,0450004A,126,366,N,1286,TOTAL,250,130,93,
ATHENS,0450007A,127,371,N,996,POLLING PLACE,208,123,63,
ATHENS,0450007A,127,371,N,,VBM PORTION,61,40,16,
ATHENS,0450007A,127,371,N,996,TOTAL,269,163,79,
ATHENS,0450008A,128,371,N,582,POLLING PLACE,151,97,45,
ATHENS,0450008A,128,371,N,,VBM PORTION,37,22,12,
ATHENS,0450008A,128,371,N,582,TOTAL,188,119,57,
CARSON,1030001A,366,373,N,826,POLLING PLACE,161,117,36,
CARSON,1030001A,366,373,N,,VBM PORTION,77,56,20,
CARSON,1030001A,366,373,N,826,TOTAL,238,173,56,
CARSON,1030004A,367,373,N,645,POLLING PLACE,170,126,34,
CARSON,1030004A,367,373,N,,VBM PORTION,47,33,11,
CARSON,1030004A,367,373,N,645,TOTAL,217,159,45,
CARSON,1030006C,368,373,N,848,POLLING PLACE,146,74,65,
CARSON,1030006C,368,373,N,,VBM PORTION,59,32,22,
CARSON,1030006C,368,373,N,848,TOTAL,205,106,87,
CARSON,1030007A,369,373,N,887,POLLING PLACE,119,72,34,
CARSON,1030007A,369,373,N,,VBM PORTION,64,36,16,
CARSON,1030007A,369,373,N,887,TOTAL,183,108,50,
CARSON,1030008A,370,373,N,1102,POLLING PLACE,187,108,68,
CARSON,1030008A,370,373,N,,VBM PORTION,84,59,19,
CARSON,1030008A,370,373,N,1102,TOTAL,271,167,87,
CARSON,1030012B,371,373,N,1095,POLLING PLACE,135,72,42,
CARSON,1030012B,371,373,N,,VBM PORTION,114,54,41,
CARSON,1030012B,371,373,N,1095,TOTAL,249,126,83,
CARSON,1030013A,372,373,N,1110,POLLING PLACE,182,104,62,
CARSON,1030013A,372,373,N,,VBM PORTION,68,37,22,
CARSON,1030013A,372,373,N,1110,TOTAL,250,141,84,
CARSON,1030014A,373,363,N,945,POLLING PLACE,204,150,44,
CARSON,1030014A,373,363,N,,VBM PORTION,56,40,12,
CARSON,1030014A,373,363,N,945,TOTAL,260,190,56,
CARSON,1030015A,374,363,N,929,POLLING PLACE,236,157,57,
CARSON,1030015A,374,363,N,,VBM PORTION,82,50,24,
CARSON,1030015A,374,363,N,929,TOTAL,318,207,81,
CARSON,1030016A,375,373,N,1144,POLLING PLACE,154,85,59,
CARSON,1030016A,375,373,N,,VBM PORTION,72,38,23,
CARSON,1030016A,375,373,N,1144,TOTAL,226,123,82,
