LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
ARTESIA,0400001A,117,277,N,779,POLLING PLACE,162,102,42,
ARTESIA,0400001A,117,277,N,,VBM PORTION,23,12,9,
ARTESIA,0400001A,117,277,N,779,TOTAL,185,114,51,
ARTESIA,0400002A,118,274,N,1116,POLLING PLACE,180,59,113,
ARTESIA,0400002A,118,274,N,,VBM PORTION,137,41,89,
ARTESIA,0400002A,118,274,N,1116,TOTAL,317,100,202,
ARTESIA,0400004A,119,274,N,911,POLLING PLACE,202,69,115,
ARTESIA,0400004A,119,274,N,,VBM PORTION,69,24,37,
ARTESIA,0400004A,119,274,N,911,TOTAL,271,93,152,
ARTESIA,0400006A,120,274,N,988,POLLING PLACE,188,78,95,
ARTESIA,0400006A,120,274,N,,VBM PORTION,63,22,36,
ARTESIA,0400006A,120,274,N,988,TOTAL,251,100,131,
ARTESIA,0400007A,121,274,N,993,POLLING PLACE,188,60,111,
ARTESIA,0400007A,121,274,N,,VBM PORTION,87,33,48,
ARTESIA,0400007A,121,274,N,993,TOTAL,275,93,159,
ARTESIA,0400008A,122,274,N,1005,POLLING PLACE,173,64,98,
ARTESIA,0400008A,122,274,N,,VBM PORTION,95,46,27,
ARTESIA,0400008A,122,274,N,1005,TOTAL,268,110,125,
ARTESIA,0400010C,123,274,N,1027,POLLING PLACE,139,71,59,
ARTESIA,0400010C,123,274,N,,VBM PORTION,109,34,62,
ARTESIA,0400010C,123,274,N,1027,TOTAL,248,105,121,
CERRITOS,1070001A,434,275,N,1006,POLLING PLACE,166,63,96,
CERRITOS,1070001A,434,275,N,,VBM PORTION,128,22,94,
CERRITOS,1070001A,434,275,N,1006,TOTAL,294,85,190,
CERRITOS,1070002A,435,278,N,1059,POLLING PLACE,208,99,97,
CERRITOS,1070002A,435,278,N,,VBM PORTION,111,34,64,
CERRITOS,1070002A,435,278,N,1059,TOTAL,319,133,161,
CERRITOS,1070006A,438,275,N,927,POLLING PLACE,178,69,97,
CERRITOS,1070006A,438,275,N,,VBM PORTION,114,41,58,
CERRITOS,1070006A,438,275,N,927,TOTAL,292,110,155,
CERRITOS,1070007A,439,275,N,818,POLLING PLACE,143,62,76,
CERRITOS,1070007A,439,275,N,,VBM PORTION,80,25,50,
CERRITOS,1070007A,439,275,N,818,TOTAL,223,87,126,
CERRITOS,1070008A,440,275,N,779,POLLING PLACE,158,85,65,
CERRITOS,1070008A,440,275,N,,VBM PORTION,103,41,54,
CERRITOS,1070008A,440,275,N,779,TOTAL,261,126,119,
