LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,83,134,
ACTON,0050003A,1,13,N,,VBM PORTION,110,36,39,
ACTON,0050003A,1,13,N,1044,TOTAL,418,119,173,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,38,38,
ACTON,0050004B,2,13,N,,VBM PORTION,93,25,35,
ACTON,0050004B,2,13,N,576,TOTAL,221,63,73,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,59,75,
ACTON,0050005A,3,13,N,,VBM PORTION,71,26,24,
ACTON,0050005A,3,13,N,713,TOTAL,269,85,99,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,50,63,
ACTON,0050014A,4,23,N,,VBM PORTION,87,30,22,
ACTON,0050014A,4,23,N,695,TOTAL,259,80,85,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,5,7,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,5,7,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,85,105,
ACTON,0050059A,5,13,N,,VBM PORTION,113,36,36,
ACTON,0050059A,5,13,N,1169,TOTAL,412,121,141,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,89,109,
ACTON,0050061A,6,13,N,,VBM PORTION,132,44,50,
ACTON,0050061A,6,13,N,1105,TOTAL,409,133,159,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,43,34,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,39,39,
AGOURA,0070001A,7,115,N,862,TOTAL,262,82,73,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,9,3,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,9,3,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,52,66,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,38,19,
AGOURA,0070004A,8,190,N,710,TOTAL,252,90,85,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,70,22,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,16,9,
AGOURA,0070004C,9,191,N,369,TOTAL,185,86,31,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,5,2,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,5,2,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,145,53,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,65,27,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,210,80,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,2,3,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,2,3,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,65,53,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,28,12,
AGOURA,0070041A,11,189,N,675,TOTAL,260,93,65,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,1,3,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,1,3,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,113,73,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,45,24,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,158,97,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,91,44,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,53,11,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,144,55,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,130,55,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,74,38,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,204,93,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,91,44,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,38,19,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,129,63,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,120,50,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,34,19,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,154,69,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,134,51,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,47,29,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,181,80,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,121,95,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,47,38,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,168,133,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,94,41,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,33,24,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,127,65,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,127,77,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,55,43,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,182,120,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,134,59,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,53,30,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,187,89,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,122,68,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,53,48,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,175,116,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,130,67,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,65,30,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,195,97,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,93,99,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,37,34,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,130,133,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,47,60,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,23,19,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,70,79,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,36,52,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,19,23,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,55,75,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,8,9,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,8,9,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,1,,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,1,,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,110,45,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,37,17,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,147,62,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,64,29,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,33,5,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,97,34,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,119,63,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,46,17,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,165,80,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,100,53,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,46,9,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,146,62,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,95,40,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,44,4,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,139,44,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,131,64,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,62,22,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,193,86,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,103,30,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,33,15,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,136,45,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,85,29,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,36,6,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,121,35,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,90,67,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,41,13,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,131,80,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,79,52,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,32,17,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,111,69,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,97,40,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,29,6,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,126,46,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,79,51,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,52,34,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,131,85,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,99,65,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,29,15,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,128,80,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,119,46,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,44,13,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,163,59,
