LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,128,20,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,33,6,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,161,26,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,127,43,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,67,25,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,194,68,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,216,29,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,50,5,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,266,34,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,259,63,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,111,31,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,370,94,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,155,51,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,89,23,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,244,74,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,164,29,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,51,10,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,215,39,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,170,22,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,59,7,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,229,29,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,178,21,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,67,11,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,245,32,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,153,35,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,73,12,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,226,47,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,147,19,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,48,7,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,195,26,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,227,25,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,74,23,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,301,48,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,148,23,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,31,11,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,179,34,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,111,22,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,34,3,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,145,25,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,152,18,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,27,1,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,179,19,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,234,32,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,93,19,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,327,51,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,203,28,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,43,6,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,246,34,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,340,48,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,158,18,
