LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MUKUND SHAH,MICHAEL P RIVES,DON V PARAZO,ROE LEER,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,153,61,103,37,
ACTON,0050003A,1,13,N,,VBM PORTION,110,54,29,32,14,
ACTON,0050003A,1,13,N,1044,TOTAL,418,207,90,135,51,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,61,27,52,13,
ACTON,0050004B,2,13,N,,VBM PORTION,93,34,25,31,8,
ACTON,0050004B,2,13,N,576,TOTAL,221,95,52,83,21,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,103,50,83,19,
ACTON,0050005A,3,13,N,,VBM PORTION,71,31,23,27,6,
ACTON,0050005A,3,13,N,713,TOTAL,269,134,73,110,25,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,140,80,118,22,
ACTON,0050059A,5,13,N,,VBM PORTION,113,51,30,32,7,
ACTON,0050059A,5,13,N,1169,TOTAL,412,191,110,150,29,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,136,80,110,27,
ACTON,0050061A,6,13,N,,VBM PORTION,132,68,41,56,8,
ACTON,0050061A,6,13,N,1105,TOTAL,409,204,121,166,35,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,133,63,83,20,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,54,26,46,3,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,187,89,129,23,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,75,32,53,21,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,28,14,12,6,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,103,46,65,27,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,66,27,44,13,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,21,17,21,4,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,87,44,65,17,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,10,5,7,1,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,10,5,7,1,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,,2,,2,
