LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
ARTESIA,0400001A,117,277,N,779,POLLING PLACE,162,96,50,
ARTESIA,0400001A,117,277,N,,VBM PORTION,23,11,10,
ARTESIA,0400001A,117,277,N,779,TOTAL,185,107,60,
ARTESIA,0400002A,118,274,N,1116,POLLING PLACE,180,37,131,
ARTESIA,0400002A,118,274,N,,VBM PORTION,137,49,81,
ARTESIA,0400002A,118,274,N,1116,TOTAL,317,86,212,
ARTESIA,0400004A,119,274,N,911,POLLING PLACE,202,60,130,
ARTESIA,0400004A,119,274,N,,VBM PORTION,69,28,35,
ARTESIA,0400004A,119,274,N,911,TOTAL,271,88,165,
ARTESIA,0400006A,120,274,N,988,POLLING PLACE,188,60,108,
ARTESIA,0400006A,120,274,N,,VBM PORTION,63,26,29,
ARTESIA,0400006A,120,274,N,988,TOTAL,251,86,137,
ARTESIA,0400007A,121,274,N,993,POLLING PLACE,188,53,114,
ARTESIA,0400007A,121,274,N,,VBM PORTION,87,25,57,
ARTESIA,0400007A,121,274,N,993,TOTAL,275,78,171,
ARTESIA,0400008A,122,274,N,1005,POLLING PLACE,173,46,120,
ARTESIA,0400008A,122,274,N,,VBM PORTION,95,45,28,
ARTESIA,0400008A,122,274,N,1005,TOTAL,268,91,148,
ARTESIA,0400010C,123,274,N,1027,POLLING PLACE,139,51,81,
ARTESIA,0400010C,123,274,N,,VBM PORTION,109,30,64,
ARTESIA,0400010C,123,274,N,1027,TOTAL,248,81,145,
BALLOT GROUP 274,9990274A,8274,274,N,,POLLING PLACE,,,,
BALLOT GROUP 274,9990274A,8274,274,N,,VBM PORTION,,,,
BALLOT GROUP 274,9990274A,8274,274,N,,TOTAL,,,,
BALLOT GROUP 277,9990277A,8277,277,N,,POLLING PLACE,,,,
BALLOT GROUP 277,9990277A,8277,277,N,,VBM PORTION,,,,
BALLOT GROUP 277,9990277A,8277,277,N,,TOTAL,,,,
