LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JEFFREY PRANG,JOHN MORRIS,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,99,128,
ACTON,0050003A,1,13,N,,VBM PORTION,110,33,52,
ACTON,0050003A,1,13,N,1044,TOTAL,418,132,180,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,34,64,
ACTON,0050004B,2,13,N,,VBM PORTION,93,36,30,
ACTON,0050004B,2,13,N,576,TOTAL,221,70,94,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,59,90,
ACTON,0050005A,3,13,N,,VBM PORTION,71,27,29,
ACTON,0050005A,3,13,N,713,TOTAL,269,86,119,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,50,82,
ACTON,0050014A,4,23,N,,VBM PORTION,87,22,36,
ACTON,0050014A,4,23,N,695,TOTAL,259,72,118,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,4,9,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,4,9,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,96,108,
ACTON,0050059A,5,13,N,,VBM PORTION,113,28,51,
ACTON,0050059A,5,13,N,1169,TOTAL,412,124,159,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,83,126,
ACTON,0050061A,6,13,N,,VBM PORTION,132,58,48,
