LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEPHEN P DANIELS,ROBERT J DIPRIMIO,
NEWHALL,4700001A,6163,41,Y,67,POLLING PLACE,,,,
NEWHALL,4700001A,6163,41,Y,,VBM PORTION,8,,6,
NEWHALL,4700001A,6163,41,Y,67,TOTAL,8,,6,
SANTA CLARITA,6220002B,2343,39,N,990,POLLING PLACE,179,28,82,
SANTA CLARITA,6220002B,2343,39,N,,VBM PORTION,77,11,39,
SANTA CLARITA,6220002B,2343,39,N,990,TOTAL,256,39,121,
SANTA CLARITA,6220008A,2349,40,N,1343,POLLING PLACE,271,56,130,
SANTA CLARITA,6220008A,2349,40,N,,VBM PORTION,154,15,84,
SANTA CLARITA,6220008A,2349,40,N,1343,TOTAL,425,71,214,
SANTA CLARITA,6220010A,2351,40,N,882,POLLING PLACE,193,50,79,
SANTA CLARITA,6220010A,2351,40,N,,VBM PORTION,78,12,44,
SANTA CLARITA,6220010A,2351,40,N,882,TOTAL,271,62,123,
SANTA CLARITA,6220011B,2352,40,N,1307,POLLING PLACE,230,46,115,
SANTA CLARITA,6220011B,2352,40,N,,VBM PORTION,163,39,77,
SANTA CLARITA,6220011B,2352,40,N,1307,TOTAL,393,85,192,
SANTA CLARITA,6220017B,2353,39,N,1113,POLLING PLACE,193,41,89,
SANTA CLARITA,6220017B,2353,39,N,,VBM PORTION,137,28,69,
SANTA CLARITA,6220017B,2353,39,N,1113,TOTAL,330,69,158,
SANTA CLARITA,6220018A,2354,39,N,822,POLLING PLACE,160,22,82,
SANTA CLARITA,6220018A,2354,39,N,,VBM PORTION,93,15,35,
SANTA CLARITA,6220018A,2354,39,N,822,TOTAL,253,37,117,
SANTA CLARITA,6220020A,2355,39,N,1358,POLLING PLACE,314,50,149,
SANTA CLARITA,6220020A,2355,39,N,,VBM PORTION,160,36,74,
SANTA CLARITA,6220020A,2355,39,N,1358,TOTAL,474,86,223,
SANTA CLARITA,6220022B,2356,39,N,990,POLLING PLACE,227,43,119,
SANTA CLARITA,6220022B,2356,39,N,,VBM PORTION,109,16,62,
SANTA CLARITA,6220022B,2356,39,N,990,TOTAL,336,59,181,
SANTA CLARITA,6220023A,2357,39,N,580,POLLING PLACE,133,19,66,
SANTA CLARITA,6220023A,2357,39,N,,VBM PORTION,48,13,17,
SANTA CLARITA,6220023A,2357,39,N,580,TOTAL,181,32,83,
SANTA CLARITA,6220024A,2358,39,N,1359,POLLING PLACE,285,60,128,
SANTA CLARITA,6220024A,2358,39,N,,VBM PORTION,136,22,62,
SANTA CLARITA,6220024A,2358,39,N,1359,TOTAL,421,82,190,
SANTA CLARITA,6220028B,2359,39,N,1279,POLLING PLACE,325,64,167,
