LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ZURICH LEWIS,ALAN BURTON,
CERRITOS,1070036A,460,276,N,1026,POLLING PLACE,216,94,60,
CERRITOS,1070036A,460,276,N,,VBM PORTION,137,62,39,
CERRITOS,1070036A,460,276,N,1026,TOTAL,353,156,99,
LA MIRADA,3300001A,1200,252,N,1018,POLLING PLACE,254,123,78,
LA MIRADA,3300001A,1200,252,N,,VBM PORTION,77,28,35,
LA MIRADA,3300001A,1200,252,N,1018,TOTAL,331,151,113,
LA MIRADA,3300003A,1201,252,N,1227,POLLING PLACE,280,143,96,
LA MIRADA,3300003A,1201,252,N,,VBM PORTION,102,58,30,
LA MIRADA,3300003A,1201,252,N,1227,TOTAL,382,201,126,
LA MIRADA,3300006A,1202,252,N,956,POLLING PLACE,204,97,56,
LA MIRADA,3300006A,1202,252,N,,VBM PORTION,113,61,26,
LA MIRADA,3300006A,1202,252,N,956,TOTAL,317,158,82,
LA MIRADA,3300007A,1203,252,N,1182,POLLING PLACE,297,155,83,
LA MIRADA,3300007A,1203,252,N,,VBM PORTION,102,58,25,
LA MIRADA,3300007A,1203,252,N,1182,TOTAL,399,213,108,
LA MIRADA,3300008C,1204,252,N,997,POLLING PLACE,252,126,71,
LA MIRADA,3300008C,1204,252,N,,VBM PORTION,74,40,20,
LA MIRADA,3300008C,1204,252,N,997,TOTAL,326,166,91,
LA MIRADA,3300009A,1205,252,N,677,POLLING PLACE,132,79,26,
LA MIRADA,3300009A,1205,252,N,,VBM PORTION,46,20,14,
LA MIRADA,3300009A,1205,252,N,677,TOTAL,178,99,40,
LA MIRADA,3300010A,1206,252,N,1313,POLLING PLACE,260,129,85,
LA MIRADA,3300010A,1206,252,N,,VBM PORTION,118,59,36,
LA MIRADA,3300010A,1206,252,N,1313,TOTAL,378,188,121,
LA MIRADA,3300014A,1207,252,N,1011,POLLING PLACE,157,66,44,
LA MIRADA,3300014A,1207,252,N,,VBM PORTION,80,36,25,
LA MIRADA,3300014A,1207,252,N,1011,TOTAL,237,102,69,
LA MIRADA,3300019A,1210,252,N,773,POLLING PLACE,197,86,73,
LA MIRADA,3300019A,1210,252,N,,VBM PORTION,108,52,34,
LA MIRADA,3300019A,1210,252,N,773,TOTAL,305,138,107,
LA MIRADA,3300020A,1211,252,N,860,POLLING PLACE,206,115,57,
LA MIRADA,3300020A,1211,252,N,,VBM PORTION,50,23,18,
LA MIRADA,3300020A,1211,252,N,860,TOTAL,256,138,75,
LA MIRADA,3300022A,1212,252,N,693,POLLING PLACE,126,58,46,
LA MIRADA,3300022A,1212,252,N,,VBM PORTION,72,28,26,
LA MIRADA,3300022A,1212,252,N,693,TOTAL,198,86,72,
LA MIRADA,3300023A,1213,252,N,904,POLLING PLACE,186,103,56,
LA MIRADA,3300023A,1213,252,N,,VBM PORTION,65,37,19,
LA MIRADA,3300023A,1213,252,N,904,TOTAL,251,140,75,
LA MIRADA,3300025A,1214,252,N,736,POLLING PLACE,174,77,68,
LA MIRADA,3300025A,1214,252,N,,VBM PORTION,51,16,17,
LA MIRADA,3300025A,1214,252,N,736,TOTAL,225,93,85,
LA MIRADA,3300025C,6117,248,Y,8,POLLING PLACE,,,,
LA MIRADA,3300025C,6117,248,Y,,VBM PORTION,2,,2,
LA MIRADA,3300025C,6117,248,Y,8,TOTAL,2,,2,
LA MIRADA,3300026A,1215,252,N,822,POLLING PLACE,177,109,46,
LA MIRADA,3300026A,1215,252,N,,VBM PORTION,74,26,30,
LA MIRADA,3300026A,1215,252,N,822,TOTAL,251,135,76,
LA MIRADA,3300029A,1216,252,N,1019,POLLING PLACE,214,89,83,
LA MIRADA,3300029A,1216,252,N,,VBM PORTION,65,26,20,
LA MIRADA,3300029A,1216,252,N,1019,TOTAL,279,115,103,
LA MIRADA,3300034A,1217,252,N,1218,POLLING PLACE,211,97,79,
LA MIRADA,3300034A,1217,252,N,,VBM PORTION,102,46,36,
LA MIRADA,3300034A,1217,252,N,1218,TOTAL,313,143,115,
LA MIRADA,3300040A,1218,252,N,991,POLLING PLACE,210,105,59,
LA MIRADA,3300040A,1218,252,N,,VBM PORTION,106,33,43,
LA MIRADA,3300040A,1218,252,N,991,TOTAL,316,138,102,
LA MIRADA,3300042A,1219,252,N,1108,POLLING PLACE,213,97,71,
LA MIRADA,3300042A,1219,252,N,,VBM PORTION,86,46,24,
LA MIRADA,3300042A,1219,252,N,1108,TOTAL,299,143,95,
LA MIRADA,3300044A,1220,252,N,1164,POLLING PLACE,227,119,66,
LA MIRADA,3300044A,1220,252,N,,VBM PORTION,84,33,27,
LA MIRADA,3300044A,1220,252,N,1164,TOTAL,311,152,93,
LA MIRADA,3300045A,1221,252,N,1175,POLLING PLACE,348,165,108,
LA MIRADA,3300045A,1221,252,N,,VBM PORTION,130,66,37,
LA MIRADA,3300045A,1221,252,N,1175,TOTAL,478,231,145,
LA MIRADA,3300056A,1222,252,N,556,POLLING PLACE,162,64,50,
LA MIRADA,3300056A,1222,252,N,,VBM PORTION,121,58,25,
LA MIRADA,3300056A,1222,252,N,556,TOTAL,283,122,75,
LA MIRADA,3300070A,1223,252,N,1066,POLLING PLACE,238,122,74,
LA MIRADA,3300070A,1223,252,N,,VBM PORTION,62,31,11,
LA MIRADA,3300070A,1223,252,N,1066,TOTAL,300,153,85,
LA MIRADA,3300072A,1224,252,N,1267,POLLING PLACE,237,131,71,
LA MIRADA,3300072A,1224,252,N,,VBM PORTION,82,37,28,
LA MIRADA,3300072A,1224,252,N,1267,TOTAL,319,168,99,
LA MIRADA,3300073A,1225,252,N,1176,POLLING PLACE,211,108,68,
LA MIRADA,3300073A,1225,252,N,,VBM PORTION,63,23,27,
LA MIRADA,3300073A,1225,252,N,1176,TOTAL,274,131,95,
NORWALK,4800016A,1852,250,N,1027,POLLING PLACE,145,76,48,
NORWALK,4800016A,1852,250,N,,VBM PORTION,33,21,6,
NORWALK,4800016A,1852,250,N,1027,TOTAL,178,97,54,
NORWALK,4800018A,1853,250,N,1009,POLLING PLACE,157,74,55,
NORWALK,4800018A,1853,250,N,,VBM PORTION,48,17,11,
NORWALK,4800018A,1853,250,N,1009,TOTAL,205,91,66,
NORWALK,4800019A,1854,250,N,637,POLLING PLACE,104,66,21,
NORWALK,4800019A,1854,250,N,,VBM PORTION,27,10,10,
NORWALK,4800019A,1854,250,N,637,TOTAL,131,76,31,
NORWALK,4800021A,1855,250,N,306,POLLING PLACE,38,20,5,
NORWALK,4800021A,1855,250,N,,VBM PORTION,16,10,2,
