LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
ATHENS,0450004A,126,366,N,1286,POLLING PLACE,177,140,19,
ATHENS,0450004A,126,366,N,,VBM PORTION,73,59,8,
ATHENS,0450004A,126,366,N,1286,TOTAL,250,199,27,
BELLFLOWER,0750013A,214,300,N,140,POLLING PLACE,9,7,2,
BELLFLOWER,0750013A,214,300,N,,VBM PORTION,7,6,1,
BELLFLOWER,0750013A,214,300,N,140,TOTAL,16,13,3,
BELLFLOWER,0750029C,225,285,N,823,POLLING PLACE,98,65,29,
BELLFLOWER,0750029C,225,285,N,,VBM PORTION,31,12,19,
BELLFLOWER,0750029C,225,285,N,823,TOTAL,129,77,48,
BELLFLOWER,0750031C,227,285,N,907,POLLING PLACE,99,60,28,
BELLFLOWER,0750031C,227,285,N,,VBM PORTION,44,28,14,
BELLFLOWER,0750031C,227,285,N,907,TOTAL,143,88,42,
BELLFLOWER,0750040A,235,285,N,1012,POLLING PLACE,105,87,16,
BELLFLOWER,0750040A,235,285,N,,VBM PORTION,32,14,15,
BELLFLOWER,0750040A,235,285,N,1012,TOTAL,137,101,31,
CARSON,1030014A,373,363,N,945,POLLING PLACE,204,151,23,
CARSON,1030014A,373,363,N,,VBM PORTION,56,35,14,
CARSON,1030014A,373,363,N,945,TOTAL,260,186,37,
CARSON,1030015A,374,363,N,929,POLLING PLACE,236,169,33,
CARSON,1030015A,374,363,N,,VBM PORTION,82,54,15,
CARSON,1030015A,374,363,N,929,TOTAL,318,223,48,
CARSON,1030100A,403,363,N,488,POLLING PLACE,111,74,24,
CARSON,1030100A,403,363,N,,VBM PORTION,33,26,4,
CARSON,1030100A,403,363,N,488,TOTAL,144,100,28,
CARSON,1030101A,404,363,N,838,POLLING PLACE,191,147,33,
CARSON,1030101A,404,363,N,,VBM PORTION,80,60,9,
CARSON,1030101A,404,363,N,838,TOTAL,271,207,42,
CARSON,1030110A,412,367,N,684,POLLING PLACE,84,73,7,
CARSON,1030110A,412,367,N,,VBM PORTION,41,27,8,
CARSON,1030110A,412,367,N,684,TOTAL,125,100,15,
CARSON,1030116A,418,363,N,481,POLLING PLACE,91,51,25,
CARSON,1030116A,418,363,N,,VBM PORTION,116,67,22,
CARSON,1030116A,418,363,N,481,TOTAL,207,118,47,
COMPTON,1450002A,513,363,N,1115,POLLING PLACE,166,131,24,
COMPTON,1450002A,513,363,N,,VBM PORTION,30,27,1,
COMPTON,1450002A,513,363,N,1115,TOTAL,196,158,25,
COMPTON,1450004A,514,363,N,919,POLLING PLACE,138,102,22,
COMPTON,1450004A,514,363,N,,VBM PORTION,35,28,6,
COMPTON,1450004A,514,363,N,919,TOTAL,173,130,28,
COMPTON,1450005A,515,363,N,706,POLLING PLACE,159,116,30,
COMPTON,1450005A,515,363,N,,VBM PORTION,24,14,7,
COMPTON,1450005A,515,363,N,706,TOTAL,183,130,37,
COMPTON,1450006A,516,363,N,807,POLLING PLACE,116,81,27,
COMPTON,1450006A,516,363,N,,VBM PORTION,21,15,4,
COMPTON,1450006A,516,363,N,807,TOTAL,137,96,31,
COMPTON,1450007B,517,363,N,1085,POLLING PLACE,144,103,27,
COMPTON,1450007B,517,363,N,,VBM PORTION,32,24,7,
COMPTON,1450007B,517,363,N,1085,TOTAL,176,127,34,
COMPTON,1450008A,518,363,N,1050,POLLING PLACE,114,75,30,
COMPTON,1450008A,518,363,N,,VBM PORTION,47,31,12,
COMPTON,1450008A,518,363,N,1050,TOTAL,161,106,42,
COMPTON,1450008B,519,363,N,794,POLLING PLACE,87,69,14,
COMPTON,1450008B,519,363,N,,VBM PORTION,32,20,10,
COMPTON,1450008B,519,363,N,794,TOTAL,119,89,24,
COMPTON,1450010C,520,363,N,677,POLLING PLACE,131,84,24,
COMPTON,1450010C,520,363,N,,VBM PORTION,37,34,,
COMPTON,1450010C,520,363,N,677,TOTAL,168,118,24,
COMPTON,1450018A,521,363,N,741,POLLING PLACE,120,78,33,
COMPTON,1450018A,521,363,N,,VBM PORTION,28,21,2,
COMPTON,1450018A,521,363,N,741,TOTAL,148,99,35,
COMPTON,1450020A,522,363,N,976,POLLING PLACE,183,110,53,
COMPTON,1450020A,522,363,N,,VBM PORTION,43,33,4,
COMPTON,1450020A,522,363,N,976,TOTAL,226,143,57,
COMPTON,1450022B,523,363,N,1008,POLLING PLACE,159,108,37,
COMPTON,1450022B,523,363,N,,VBM PORTION,36,32,1,
COMPTON,1450022B,523,363,N,1008,TOTAL,195,140,38,
COMPTON,1450024A,524,363,N,1024,POLLING PLACE,266,174,69,
COMPTON,1450024A,524,363,N,,VBM PORTION,84,51,14,
COMPTON,1450024A,524,363,N,1024,TOTAL,350,225,83,
COMPTON,1450027A,525,363,N,1043,POLLING PLACE,158,106,28,
COMPTON,1450027A,525,363,N,,VBM PORTION,33,26,6,
COMPTON,1450027A,525,363,N,1043,TOTAL,191,132,34,
COMPTON,1450028C,526,363,N,1109,POLLING PLACE,131,95,25,
COMPTON,1450028C,526,363,N,,VBM PORTION,50,31,8,
COMPTON,1450028C,526,363,N,1109,TOTAL,181,126,33,
COMPTON,1450030A,527,363,N,693,POLLING PLACE,109,76,23,
COMPTON,1450030A,527,363,N,,VBM PORTION,39,20,12,
COMPTON,1450030A,527,363,N,693,TOTAL,148,96,35,
COMPTON,1450033A,528,363,N,1035,POLLING PLACE,100,71,20,
COMPTON,1450033A,528,363,N,,VBM PORTION,18,13,4,
COMPTON,1450033A,528,363,N,1035,TOTAL,118,84,24,
