LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,FERNANDO VASQUEZ,
DOWNEY,1850008A,668,299,N,925,POLLING PLACE,177,141,
DOWNEY,1850008A,668,299,N,,VBM PORTION,60,38,
DOWNEY,1850008A,668,299,N,925,TOTAL,237,179,
DOWNEY,1850057A,703,298,N,715,POLLING PLACE,78,61,
DOWNEY,1850057A,703,298,N,,VBM PORTION,25,17,
DOWNEY,1850057A,703,298,N,715,TOTAL,103,78,
DOWNEY,1850064A,708,298,N,775,POLLING PLACE,99,81,
DOWNEY,1850064A,708,298,N,,VBM PORTION,38,33,
DOWNEY,1850064A,708,298,N,775,TOTAL,137,114,
DOWNEY,1850065A,709,298,N,992,POLLING PLACE,203,152,
DOWNEY,1850065A,709,298,N,,VBM PORTION,58,43,
DOWNEY,1850065A,709,298,N,992,TOTAL,261,195,
DOWNEY,1850067A,710,298,N,770,POLLING PLACE,170,133,
DOWNEY,1850067A,710,298,N,,VBM PORTION,48,31,
DOWNEY,1850067A,710,298,N,770,TOTAL,218,164,
DOWNEY,1850071A,711,298,N,900,POLLING PLACE,206,142,
DOWNEY,1850071A,711,298,N,,VBM PORTION,63,39,
DOWNEY,1850071A,711,298,N,900,TOTAL,269,181,
DOWNEY,1850073A,712,298,N,819,POLLING PLACE,192,135,
DOWNEY,1850073A,712,298,N,,VBM PORTION,75,45,
DOWNEY,1850073A,712,298,N,819,TOTAL,267,180,
DOWNEY,1850074B,713,297,N,670,POLLING PLACE,153,130,
DOWNEY,1850074B,713,297,N,,VBM PORTION,40,30,
DOWNEY,1850074B,713,297,N,670,TOTAL,193,160,
DOWNEY,1850076A,714,298,N,1096,POLLING PLACE,239,185,
DOWNEY,1850076A,714,298,N,,VBM PORTION,74,50,
DOWNEY,1850076A,714,298,N,1096,TOTAL,313,235,
DOWNEY,1850079A,715,299,N,1044,POLLING PLACE,290,205,
DOWNEY,1850079A,715,299,N,,VBM PORTION,57,35,
DOWNEY,1850079A,715,299,N,1044,TOTAL,347,240,
DOWNEY,1850080A,716,299,N,875,POLLING PLACE,202,139,
DOWNEY,1850080A,716,299,N,,VBM PORTION,50,24,
DOWNEY,1850080A,716,299,N,875,TOTAL,252,163,
DOWNEY,1850081A,717,299,N,1173,POLLING PLACE,211,153,
DOWNEY,1850081A,717,299,N,,VBM PORTION,72,42,
DOWNEY,1850081A,717,299,N,1173,TOTAL,283,195,
DOWNEY,1850082B,718,299,N,537,POLLING PLACE,104,77,
DOWNEY,1850082B,718,299,N,,VBM PORTION,63,43,
DOWNEY,1850082B,718,299,N,537,TOTAL,167,120,
DOWNEY,1850083A,719,298,N,1037,POLLING PLACE,239,178,
DOWNEY,1850083A,719,298,N,,VBM PORTION,51,26,
DOWNEY,1850083A,719,298,N,1037,TOTAL,290,204,
DOWNEY,1850102A,722,298,N,1055,POLLING PLACE,264,189,
DOWNEY,1850102A,722,298,N,,VBM PORTION,59,31,
DOWNEY,1850102A,722,298,N,1055,TOTAL,323,220,
DOWNEY,1850138A,723,298,N,767,POLLING PLACE,152,124,
DOWNEY,1850138A,723,298,N,,VBM PORTION,45,29,
DOWNEY,1850138A,723,298,N,767,TOTAL,197,153,
BALLOT GROUP 297,9990297A,8297,297,N,,POLLING PLACE,,,
BALLOT GROUP 297,9990297A,8297,297,N,,VBM PORTION,,,
BALLOT GROUP 297,9990297A,8297,297,N,,TOTAL,,,
BALLOT GROUP 298,9990298A,8298,298,N,,POLLING PLACE,,,
BALLOT GROUP 298,9990298A,8298,298,N,,VBM PORTION,,,
BALLOT GROUP 298,9990298A,8298,298,N,,TOTAL,,,
BALLOT GROUP 299,9990299A,8299,299,N,,POLLING PLACE,,,
BALLOT GROUP 299,9990299A,8299,299,N,,VBM PORTION,,,
BALLOT GROUP 299,9990299A,8299,299,N,,TOTAL,,,
