LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
BELLFLOWER,0750006A,208,302,N,825,POLLING PLACE,140,70,60,
BELLFLOWER,0750006A,208,302,N,,VBM PORTION,62,33,23,
BELLFLOWER,0750006A,208,302,N,825,TOTAL,202,103,83,
BELLFLOWER,0750024A,221,293,N,1039,POLLING PLACE,167,111,46,
BELLFLOWER,0750024A,221,293,N,,VBM PORTION,54,28,18,
BELLFLOWER,0750024A,221,293,N,1039,TOTAL,221,139,64,
BELLFLOWER,0750042A,238,293,N,1058,POLLING PLACE,217,141,64,
BELLFLOWER,0750042A,238,293,N,,VBM PORTION,36,18,12,
BELLFLOWER,0750042A,238,293,N,1058,TOTAL,253,159,76,
BELL GARDENS,0800010A,252,305,N,285,POLLING PLACE,58,44,6,
BELL GARDENS,0800010A,252,305,N,,VBM PORTION,28,21,5,
BELL GARDENS,0800010A,252,305,N,285,TOTAL,86,65,11,
DOWNEY,1850001A,664,302,N,1065,POLLING PLACE,177,111,64,
DOWNEY,1850001A,664,302,N,,VBM PORTION,56,24,31,
DOWNEY,1850001A,664,302,N,1065,TOTAL,233,135,95,
DOWNEY,1850002A,665,302,N,405,POLLING PLACE,36,28,8,
DOWNEY,1850002A,665,302,N,,VBM PORTION,10,7,2,
DOWNEY,1850002A,665,302,N,405,TOTAL,46,35,10,
DOWNEY,1850002C,666,302,N,578,POLLING PLACE,91,55,33,
DOWNEY,1850002C,666,302,N,,VBM PORTION,22,7,11,
DOWNEY,1850002C,666,302,N,578,TOTAL,113,62,44,
DOWNEY,1850006B,667,302,N,633,POLLING PLACE,73,59,12,
DOWNEY,1850006B,667,302,N,,VBM PORTION,15,10,2,
DOWNEY,1850006B,667,302,N,633,TOTAL,88,69,14,
DOWNEY,1850008A,668,299,N,925,POLLING PLACE,177,111,58,
DOWNEY,1850008A,668,299,N,,VBM PORTION,60,19,39,
DOWNEY,1850008A,668,299,N,925,TOTAL,237,130,97,
DOWNEY,1850009A,669,293,N,1013,POLLING PLACE,183,111,61,
DOWNEY,1850009A,669,293,N,,VBM PORTION,78,39,31,
DOWNEY,1850009A,669,293,N,1013,TOTAL,261,150,92,
DOWNEY,1850010A,670,293,N,589,POLLING PLACE,95,58,30,
DOWNEY,1850010A,670,293,N,,VBM PORTION,30,8,17,
DOWNEY,1850010A,670,293,N,589,TOTAL,125,66,47,
DOWNEY,1850011A,671,303,N,614,POLLING PLACE,88,51,33,
DOWNEY,1850011A,671,303,N,,VBM PORTION,25,12,12,
DOWNEY,1850011A,671,303,N,614,TOTAL,113,63,45,
DOWNEY,1850011B,672,302,N,593,POLLING PLACE,68,43,23,
DOWNEY,1850011B,672,302,N,,VBM PORTION,23,15,6,
DOWNEY,1850011B,672,302,N,593,TOTAL,91,58,29,
DOWNEY,1850012A,673,293,N,727,POLLING PLACE,130,89,30,
DOWNEY,1850012A,673,293,N,,VBM PORTION,30,18,11,
DOWNEY,1850012A,673,293,N,727,TOTAL,160,107,41,
DOWNEY,1850013A,674,293,N,961,POLLING PLACE,216,148,57,
DOWNEY,1850013A,674,293,N,,VBM PORTION,33,18,7,
DOWNEY,1850013A,674,293,N,961,TOTAL,249,166,64,
DOWNEY,1850015A,675,293,N,1044,POLLING PLACE,202,125,67,
DOWNEY,1850015A,675,293,N,,VBM PORTION,37,24,10,
DOWNEY,1850015A,675,293,N,1044,TOTAL,239,149,77,
DOWNEY,1850016A,676,296,N,1096,POLLING PLACE,315,183,120,
DOWNEY,1850016A,676,296,N,,VBM PORTION,52,23,21,
DOWNEY,1850016A,676,296,N,1096,TOTAL,367,206,141,
DOWNEY,1850017A,677,302,N,1204,POLLING PLACE,203,127,68,
DOWNEY,1850017A,677,302,N,,VBM PORTION,56,30,22,
DOWNEY,1850017A,677,302,N,1204,TOTAL,259,157,90,
DOWNEY,1850019A,678,302,N,712,POLLING PLACE,130,85,39,
DOWNEY,1850019A,678,302,N,,VBM PORTION,37,15,16,
DOWNEY,1850019A,678,302,N,712,TOTAL,167,100,55,
DOWNEY,1850021A,679,295,N,605,POLLING PLACE,84,56,22,
DOWNEY,1850021A,679,295,N,,VBM PORTION,42,25,9,
DOWNEY,1850021A,679,295,N,605,TOTAL,126,81,31,
DOWNEY,1850023A,680,296,N,1124,POLLING PLACE,176,111,53,
DOWNEY,1850023A,680,296,N,,VBM PORTION,56,26,24,
DOWNEY,1850023A,680,296,N,1124,TOTAL,232,137,77,
DOWNEY,1850024A,681,295,N,933,POLLING PLACE,196,137,56,
DOWNEY,1850024A,681,295,N,,VBM PORTION,69,32,32,
DOWNEY,1850024A,681,295,N,933,TOTAL,265,169,88,
DOWNEY,1850025A,682,296,N,800,POLLING PLACE,173,94,74,
DOWNEY,1850025A,682,296,N,,VBM PORTION,61,36,24,
DOWNEY,1850025A,682,296,N,800,TOTAL,234,130,98,
DOWNEY,1850027A,683,294,N,923,POLLING PLACE,125,78,34,
DOWNEY,1850027A,683,294,N,,VBM PORTION,34,20,11,
DOWNEY,1850027A,683,294,N,923,TOTAL,159,98,45,
DOWNEY,1850027B,684,290,N,475,POLLING PLACE,104,60,31,
DOWNEY,1850027B,684,290,N,,VBM PORTION,35,20,11,
DOWNEY,1850027B,684,290,N,475,TOTAL,139,80,42,
DOWNEY,1850028A,685,296,N,1140,POLLING PLACE,213,116,89,
DOWNEY,1850028A,685,296,N,,VBM PORTION,77,38,35,
DOWNEY,1850028A,685,296,N,1140,TOTAL,290,154,124,
DOWNEY,1850029B,686,291,N,731,POLLING PLACE,156,73,71,
DOWNEY,1850029B,686,291,N,,VBM PORTION,59,27,21,
DOWNEY,1850029B,686,291,N,731,TOTAL,215,100,92,
DOWNEY,1850030A,687,296,N,1182,POLLING PLACE,255,135,108,
DOWNEY,1850030A,687,296,N,,VBM PORTION,68,38,26,
DOWNEY,1850030A,687,296,N,1182,TOTAL,323,173,134,
DOWNEY,1850031A,688,295,N,742,POLLING PLACE,114,68,45,
DOWNEY,1850031A,688,295,N,,VBM PORTION,43,25,16,
DOWNEY,1850031A,688,295,N,742,TOTAL,157,93,61,
DOWNEY,1850032A,689,290,N,506,POLLING PLACE,92,52,32,
DOWNEY,1850032A,689,290,N,,VBM PORTION,44,21,21,
DOWNEY,1850032A,689,290,N,506,TOTAL,136,73,53,
DOWNEY,1850033A,690,296,N,925,POLLING PLACE,188,95,82,
DOWNEY,1850033A,690,296,N,,VBM PORTION,55,26,28,
DOWNEY,1850033A,690,296,N,925,TOTAL,243,121,110,
DOWNEY,1850034B,691,302,N,758,POLLING PLACE,116,72,30,
DOWNEY,1850034B,691,302,N,,VBM PORTION,37,24,11,
DOWNEY,1850034B,691,302,N,758,TOTAL,153,96,41,
DOWNEY,1850038A,692,296,N,1006,POLLING PLACE,187,112,71,
DOWNEY,1850038A,692,296,N,,VBM PORTION,63,33,27,
DOWNEY,1850038A,692,296,N,1006,TOTAL,250,145,98,
DOWNEY,1850040A,693,295,N,850,POLLING PLACE,175,103,64,
DOWNEY,1850040A,693,295,N,,VBM PORTION,45,16,27,
DOWNEY,1850040A,693,295,N,850,TOTAL,220,119,91,
DOWNEY,1850041A,694,303,N,1160,POLLING PLACE,232,151,69,
DOWNEY,1850041A,694,303,N,,VBM PORTION,55,30,19,
DOWNEY,1850041A,694,303,N,1160,TOTAL,287,181,88,
DOWNEY,1850043A,695,303,N,904,POLLING PLACE,175,100,72,
DOWNEY,1850043A,695,303,N,,VBM PORTION,71,44,23,
DOWNEY,1850043A,695,303,N,904,TOTAL,246,144,95,
DOWNEY,1850045A,696,303,N,529,POLLING PLACE,130,72,56,
DOWNEY,1850045A,696,303,N,,VBM PORTION,37,19,15,
DOWNEY,1850045A,696,303,N,529,TOTAL,167,91,71,
DOWNEY,1850046A,697,303,N,597,POLLING PLACE,124,75,42,
DOWNEY,1850046A,697,303,N,,VBM PORTION,36,22,11,
DOWNEY,1850046A,697,303,N,597,TOTAL,160,97,53,
DOWNEY,1850047A,698,303,N,903,POLLING PLACE,249,137,96,
DOWNEY,1850047A,698,303,N,,VBM PORTION,68,40,25,
DOWNEY,1850047A,698,303,N,903,TOTAL,317,177,121,
DOWNEY,1850050A,699,303,N,862,POLLING PLACE,215,136,66,
DOWNEY,1850050A,699,303,N,,VBM PORTION,51,33,16,
DOWNEY,1850050A,699,303,N,862,TOTAL,266,169,82,
DOWNEY,1850051B,700,303,N,816,POLLING PLACE,184,96,82,
DOWNEY,1850051B,700,303,N,,VBM PORTION,78,45,28,
DOWNEY,1850051B,700,303,N,816,TOTAL,262,141,110,
DOWNEY,1850055A,701,303,N,733,POLLING PLACE,177,90,79,
DOWNEY,1850055A,701,303,N,,VBM PORTION,58,34,18,
DOWNEY,1850055A,701,303,N,733,TOTAL,235,124,97,
DOWNEY,1850056C,702,303,N,1112,POLLING PLACE,162,115,38,
DOWNEY,1850056C,702,303,N,,VBM PORTION,41,26,10,
DOWNEY,1850056C,702,303,N,1112,TOTAL,203,141,48,
DOWNEY,1850057A,703,298,N,715,POLLING PLACE,78,53,23,
DOWNEY,1850057A,703,298,N,,VBM PORTION,25,16,8,
DOWNEY,1850057A,703,298,N,715,TOTAL,103,69,31,
DOWNEY,1850058A,704,303,N,772,POLLING PLACE,106,69,24,
DOWNEY,1850058A,704,303,N,,VBM PORTION,25,14,7,
DOWNEY,1850058A,704,303,N,772,TOTAL,131,83,31,
DOWNEY,1850059A,705,303,N,411,POLLING PLACE,92,47,41,
DOWNEY,1850059A,705,303,N,,VBM PORTION,11,9,2,
DOWNEY,1850059A,705,303,N,411,TOTAL,103,56,43,
DOWNEY,1850062A,706,303,N,985,POLLING PLACE,240,135,88,
DOWNEY,1850062A,706,303,N,,VBM PORTION,80,39,35,
DOWNEY,1850062A,706,303,N,985,TOTAL,320,174,123,
DOWNEY,1850063A,707,303,N,767,POLLING PLACE,120,79,35,
DOWNEY,1850063A,707,303,N,,VBM PORTION,45,21,21,
DOWNEY,1850063A,707,303,N,767,TOTAL,165,100,56,
DOWNEY,1850064A,708,298,N,775,POLLING PLACE,99,71,25,
DOWNEY,1850064A,708,298,N,,VBM PORTION,38,23,12,
DOWNEY,1850064A,708,298,N,775,TOTAL,137,94,37,
DOWNEY,1850065A,709,298,N,992,POLLING PLACE,203,112,78,
DOWNEY,1850065A,709,298,N,,VBM PORTION,58,31,22,
DOWNEY,1850065A,709,298,N,992,TOTAL,261,143,100,
DOWNEY,1850067A,710,298,N,770,POLLING PLACE,170,89,77,
DOWNEY,1850067A,710,298,N,,VBM PORTION,48,20,21,
DOWNEY,1850067A,710,298,N,770,TOTAL,218,109,98,
DOWNEY,1850071A,711,298,N,900,POLLING PLACE,206,99,96,
DOWNEY,1850071A,711,298,N,,VBM PORTION,63,29,30,
DOWNEY,1850071A,711,298,N,900,TOTAL,269,128,126,
DOWNEY,1850073A,712,298,N,819,POLLING PLACE,192,91,94,
DOWNEY,1850073A,712,298,N,,VBM PORTION,75,31,37,
DOWNEY,1850073A,712,298,N,819,TOTAL,267,122,131,
DOWNEY,1850076A,714,298,N,1096,POLLING PLACE,239,118,102,
DOWNEY,1850076A,714,298,N,,VBM PORTION,74,43,27,
DOWNEY,1850076A,714,298,N,1096,TOTAL,313,161,129,
DOWNEY,1850079A,715,299,N,1044,POLLING PLACE,290,142,136,
DOWNEY,1850079A,715,299,N,,VBM PORTION,57,27,26,
DOWNEY,1850079A,715,299,N,1044,TOTAL,347,169,162,
DOWNEY,1850080A,716,299,N,875,POLLING PLACE,202,101,95,
DOWNEY,1850080A,716,299,N,,VBM PORTION,50,19,26,
DOWNEY,1850080A,716,299,N,875,TOTAL,252,120,121,
DOWNEY,1850081A,717,299,N,1173,POLLING PLACE,211,134,74,
DOWNEY,1850081A,717,299,N,,VBM PORTION,72,39,30,
DOWNEY,1850081A,717,299,N,1173,TOTAL,283,173,104,
DOWNEY,1850082B,718,299,N,537,POLLING PLACE,104,57,39,
DOWNEY,1850082B,718,299,N,,VBM PORTION,63,33,22,
DOWNEY,1850082B,718,299,N,537,TOTAL,167,90,61,
DOWNEY,1850083A,719,298,N,1037,POLLING PLACE,239,147,83,
DOWNEY,1850083A,719,298,N,,VBM PORTION,51,19,28,
DOWNEY,1850083A,719,298,N,1037,TOTAL,290,166,111,
DOWNEY,1850089A,720,303,N,847,POLLING PLACE,151,92,50,
DOWNEY,1850089A,720,303,N,,VBM PORTION,40,25,11,
