LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MIKE STEVENS,JAMES T BUTTS JR,SANDIE CRISP,GILBERT A MATHIEU,
INGLEWOOD,2950001A,1114,334,N,962,POLLING PLACE,269,35,213,2,6,
INGLEWOOD,2950001A,1114,334,N,,VBM PORTION,76,12,54,2,,
INGLEWOOD,2950001A,1114,334,N,962,TOTAL,345,47,267,4,6,
INGLEWOOD,2950002A,1115,331,N,1070,POLLING PLACE,223,18,178,8,3,
INGLEWOOD,2950002A,1115,331,N,,VBM PORTION,52,4,35,3,5,
INGLEWOOD,2950002A,1115,331,N,1070,TOTAL,275,22,213,11,8,
INGLEWOOD,2950003A,1116,334,N,586,POLLING PLACE,180,9,162,1,2,
INGLEWOOD,2950003A,1116,334,N,,VBM PORTION,45,,42,,,
INGLEWOOD,2950003A,1116,334,N,586,TOTAL,225,9,204,1,2,
INGLEWOOD,2950004A,1117,334,N,550,POLLING PLACE,166,19,122,2,1,
INGLEWOOD,2950004A,1117,334,N,,VBM PORTION,48,6,38,,,
INGLEWOOD,2950004A,1117,334,N,550,TOTAL,214,25,160,2,1,
INGLEWOOD,2950005A,1118,334,N,552,POLLING PLACE,58,5,46,1,4,
INGLEWOOD,2950005A,1118,334,N,,VBM PORTION,22,8,8,1,4,
INGLEWOOD,2950005A,1118,334,N,552,TOTAL,80,13,54,2,8,
INGLEWOOD,2950006B,1119,334,N,791,POLLING PLACE,207,15,176,4,4,
INGLEWOOD,2950006B,1119,334,N,,VBM PORTION,76,3,63,2,2,
INGLEWOOD,2950006B,1119,334,N,791,TOTAL,283,18,239,6,6,
INGLEWOOD,2950007A,1120,334,N,1109,POLLING PLACE,136,13,107,1,6,
INGLEWOOD,2950007A,1120,334,N,,VBM PORTION,54,4,40,2,2,
INGLEWOOD,2950007A,1120,334,N,1109,TOTAL,190,17,147,3,8,
INGLEWOOD,2950008A,1121,334,N,938,POLLING PLACE,302,38,238,7,8,
INGLEWOOD,2950008A,1121,334,N,,VBM PORTION,49,9,36,,1,
INGLEWOOD,2950008A,1121,334,N,938,TOTAL,351,47,274,7,9,
INGLEWOOD,2950009B,1122,334,N,1062,POLLING PLACE,262,53,184,3,8,
INGLEWOOD,2950009B,1122,334,N,,VBM PORTION,109,24,66,9,,
INGLEWOOD,2950009B,1122,334,N,1062,TOTAL,371,77,250,12,8,
INGLEWOOD,2950010A,1123,334,N,1069,POLLING PLACE,270,43,207,5,5,
INGLEWOOD,2950010A,1123,334,N,,VBM PORTION,76,19,50,1,2,
INGLEWOOD,2950010A,1123,334,N,1069,TOTAL,346,62,257,6,7,
INGLEWOOD,2950011A,1124,334,N,769,POLLING PLACE,263,15,231,3,3,
