LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JACQUELINE H LEWIS,DAYAN MATHAI,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,59,165,
ACTON,0050003A,1,13,N,,VBM PORTION,110,23,57,
ACTON,0050003A,1,13,N,1044,TOTAL,418,82,222,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,25,63,
ACTON,0050004B,2,13,N,,VBM PORTION,93,17,47,
ACTON,0050004B,2,13,N,576,TOTAL,221,42,110,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,51,95,
ACTON,0050005A,3,13,N,,VBM PORTION,71,15,35,
ACTON,0050005A,3,13,N,713,TOTAL,269,66,130,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,41,84,
ACTON,0050014A,4,23,N,,VBM PORTION,87,22,32,
ACTON,0050014A,4,23,N,695,TOTAL,259,63,116,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,6,6,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,6,6,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,71,134,
ACTON,0050059A,5,13,N,,VBM PORTION,113,25,49,
ACTON,0050059A,5,13,N,1169,TOTAL,412,96,183,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,70,141,
ACTON,0050061A,6,13,N,,VBM PORTION,132,38,56,
ACTON,0050061A,6,13,N,1105,TOTAL,409,108,197,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,39,42,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,31,46,
AGOURA,0070001A,7,115,N,862,TOTAL,262,70,88,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,7,2,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,7,2,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,63,60,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,21,35,
AGOURA,0070004A,8,190,N,710,TOTAL,252,84,95,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,54,50,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,13,12,
AGOURA,0070004C,9,191,N,369,TOTAL,185,67,62,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,4,4,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,4,4,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,123,78,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,45,45,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,168,123,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,7,2,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,7,2,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,69,64,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,26,19,
AGOURA,0070041A,11,189,N,675,TOTAL,260,95,83,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
