LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BARRY STEINHARDT,JAY MARK LEWITT,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,110,142,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,52,52,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,162,194,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,129,153,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,68,78,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,197,231,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,102,139,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,40,50,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,142,189,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,120,145,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,53,55,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,173,200,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,109,174,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,48,76,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,157,250,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,127,126,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,45,56,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,172,182,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,111,178,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,52,97,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,163,275,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,129,155,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,62,63,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,191,218,
BALLOT GROUP 193,9990193A,8193,193,N,,POLLING PLACE,,,,
BALLOT GROUP 193,9990193A,8193,193,N,,VBM PORTION,,,,
BALLOT GROUP 193,9990193A,8193,193,N,,TOTAL,,,,
