LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
LOS NIETOS,3900008A,1667,262,N,599,POLLING PLACE,111,78,23,
LOS NIETOS,3900008A,1667,262,N,,VBM PORTION,19,15,2,
LOS NIETOS,3900008A,1667,262,N,599,TOTAL,130,93,25,
LOS NIETOS,3900009A,1668,262,N,1146,POLLING PLACE,227,175,37,
LOS NIETOS,3900009A,1668,262,N,,VBM PORTION,35,28,5,
LOS NIETOS,3900009A,1668,262,N,1146,TOTAL,262,203,42,
LOS NIETOS,3900071C,1675,262,N,366,POLLING PLACE,42,32,8,
LOS NIETOS,3900071C,1675,262,N,,VBM PORTION,15,7,5,
LOS NIETOS,3900071C,1675,262,N,366,TOTAL,57,39,13,
LOS NIETOS,3900073A,1676,262,N,860,POLLING PLACE,142,84,51,
LOS NIETOS,3900073A,1676,262,N,,VBM PORTION,37,23,9,
LOS NIETOS,3900073A,1676,262,N,860,TOTAL,179,107,60,
LOS NIETOS,3900080B,1677,262,N,747,POLLING PLACE,121,83,31,
LOS NIETOS,3900080B,1677,262,N,,VBM PORTION,24,14,5,
LOS NIETOS,3900080B,1677,262,N,747,TOTAL,145,97,36,
LOS NIETOS,3900082A,1678,262,N,1075,POLLING PLACE,224,166,40,
LOS NIETOS,3900082A,1678,262,N,,VBM PORTION,21,13,7,
LOS NIETOS,3900082A,1678,262,N,1075,TOTAL,245,179,47,
SANTA FE SPRINGS,6230010A,2451,258,N,999,POLLING PLACE,169,118,35,
SANTA FE SPRINGS,6230010A,2451,258,N,,VBM PORTION,30,23,4,
SANTA FE SPRINGS,6230010A,2451,258,N,999,TOTAL,199,141,39,
SANTA FE SPRINGS,6230011A,2452,258,N,1191,POLLING PLACE,150,106,37,
SANTA FE SPRINGS,6230011A,2452,258,N,,VBM PORTION,52,35,12,
SANTA FE SPRINGS,6230011A,2452,258,N,1191,TOTAL,202,141,49,
WHITTIER,7800172C,2963,258,N,258,POLLING PLACE,46,31,7,
WHITTIER,7800172C,2963,258,N,,VBM PORTION,21,15,4,
WHITTIER,7800172C,2963,258,N,258,TOTAL,67,46,11,
BALLOT GROUP 258,9990258A,8258,258,N,,POLLING PLACE,,,,
BALLOT GROUP 258,9990258A,8258,258,N,,VBM PORTION,,,,
BALLOT GROUP 258,9990258A,8258,258,N,,TOTAL,,,,
BALLOT GROUP 262,9990262A,8262,262,N,,POLLING PLACE,,,,
BALLOT GROUP 262,9990262A,8262,262,N,,VBM PORTION,,,,
BALLOT GROUP 262,9990262A,8262,262,N,,TOTAL,,,,
