LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,100,104,
ACTON,0050003A,1,13,N,,VBM PORTION,110,35,32,
ACTON,0050003A,1,13,N,1044,TOTAL,418,135,136,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,38,28,
ACTON,0050004B,2,13,N,,VBM PORTION,93,22,28,
ACTON,0050004B,2,13,N,576,TOTAL,221,60,56,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,65,62,
ACTON,0050005A,3,13,N,,VBM PORTION,71,29,18,
ACTON,0050005A,3,13,N,713,TOTAL,269,94,80,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,49,55,
ACTON,0050014A,4,23,N,,VBM PORTION,87,23,24,
ACTON,0050014A,4,23,N,695,TOTAL,259,72,79,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,3,6,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,3,6,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,83,93,
ACTON,0050059A,5,13,N,,VBM PORTION,113,35,27,
ACTON,0050059A,5,13,N,1169,TOTAL,412,118,120,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,86,103,
ACTON,0050061A,6,13,N,,VBM PORTION,132,50,40,
ACTON,0050061A,6,13,N,1105,TOTAL,409,136,143,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,44,23,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,36,30,
AGOURA,0070001A,7,115,N,862,TOTAL,262,80,53,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,4,5,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,4,5,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,56,52,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,27,18,
AGOURA,0070004A,8,190,N,710,TOTAL,252,83,70,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,68,21,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,17,6,
AGOURA,0070004C,9,191,N,369,TOTAL,185,85,27,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,5,2,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,5,2,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,144,34,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,50,22,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,194,56,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,2,2,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,2,2,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,57,52,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,26,9,
AGOURA,0070041A,11,189,N,675,TOTAL,260,83,61,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,1,3,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,1,3,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,106,54,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,45,21,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,151,75,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,84,31,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,51,8,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,135,39,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,119,51,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,60,32,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,179,83,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,78,45,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,33,9,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,111,54,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,114,45,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,31,17,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,145,62,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,124,47,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,44,24,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,168,71,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,114,76,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,41,33,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,155,109,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,84,36,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,31,14,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,115,50,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,123,59,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,55,33,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,178,92,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,122,51,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,50,24,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,172,75,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,116,49,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,52,34,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,168,83,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,113,59,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,59,21,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,172,80,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,102,74,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,39,28,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,141,102,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,47,58,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,25,9,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,72,67,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,29,51,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,16,19,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,45,70,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,7,11,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,7,11,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,1,,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,1,,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,,,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
