LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
POMONA,5250001A,2092,209,N,968,POLLING PLACE,185,70,108,
POMONA,5250001A,2092,209,N,,VBM PORTION,63,24,37,
POMONA,5250001A,2092,209,N,968,TOTAL,248,94,145,
POMONA,5250003A,2093,207,N,1481,POLLING PLACE,262,142,99,
POMONA,5250003A,2093,207,N,,VBM PORTION,182,113,45,
POMONA,5250003A,2093,207,N,1481,TOTAL,444,255,144,
POMONA,5250004A,2094,203,N,1153,POLLING PLACE,151,77,60,
POMONA,5250004A,2094,203,N,,VBM PORTION,41,16,15,
POMONA,5250004A,2094,203,N,1153,TOTAL,192,93,75,
POMONA,5250005A,2095,209,N,868,POLLING PLACE,136,79,54,
POMONA,5250005A,2095,209,N,,VBM PORTION,60,22,31,
POMONA,5250005A,2095,209,N,868,TOTAL,196,101,85,
POMONA,5250006A,2096,206,N,436,POLLING PLACE,44,21,18,
POMONA,5250006A,2096,206,N,,VBM PORTION,11,8,2,
POMONA,5250006A,2096,206,N,436,TOTAL,55,29,20,
POMONA,5250008A,2097,207,N,631,POLLING PLACE,103,46,48,
POMONA,5250008A,2097,207,N,,VBM PORTION,22,9,8,
POMONA,5250008A,2097,207,N,631,TOTAL,125,55,56,
POMONA,5250008B,2098,207,N,1124,POLLING PLACE,152,59,90,
POMONA,5250008B,2098,207,N,,VBM PORTION,57,19,31,
POMONA,5250008B,2098,207,N,1124,TOTAL,209,78,121,
POMONA,5250009B,2099,207,N,575,POLLING PLACE,92,45,39,
POMONA,5250009B,2099,207,N,,VBM PORTION,7,6,,
POMONA,5250009B,2099,207,N,575,TOTAL,99,51,39,
POMONA,5250011B,2100,207,N,1155,POLLING PLACE,194,97,85,
POMONA,5250011B,2100,207,N,,VBM PORTION,44,26,16,
POMONA,5250011B,2100,207,N,1155,TOTAL,238,123,101,
POMONA,5250012A,2101,207,N,853,POLLING PLACE,96,50,38,
POMONA,5250012A,2101,207,N,,VBM PORTION,51,23,24,
POMONA,5250012A,2101,207,N,853,TOTAL,147,73,62,
POMONA,5250013A,2102,207,N,987,POLLING PLACE,186,83,92,
POMONA,5250013A,2102,207,N,,VBM PORTION,80,38,35,
POMONA,5250013A,2102,207,N,987,TOTAL,266,121,127,
POMONA,5250014A,2103,207,N,1188,POLLING PLACE,218,104,106,
POMONA,5250014A,2103,207,N,,VBM PORTION,89,41,38,
POMONA,5250014A,2103,207,N,1188,TOTAL,307,145,144,
POMONA,5250016B,2104,207,N,1275,POLLING PLACE,259,115,129,
POMONA,5250016B,2104,207,N,,VBM PORTION,119,54,56,
POMONA,5250016B,2104,207,N,1275,TOTAL,378,169,185,
POMONA,5250017A,2105,204,N,458,POLLING PLACE,60,36,21,
POMONA,5250017A,2105,204,N,,VBM PORTION,10,5,5,
POMONA,5250017A,2105,204,N,458,TOTAL,70,41,26,
POMONA,5250018A,2106,205,N,765,POLLING PLACE,57,21,34,
POMONA,5250018A,2106,205,N,,VBM PORTION,44,20,17,
POMONA,5250018A,2106,205,N,765,TOTAL,101,41,51,
POMONA,5250021A,2107,208,N,1152,POLLING PLACE,172,84,78,
POMONA,5250021A,2107,208,N,,VBM PORTION,42,18,17,
POMONA,5250021A,2107,208,N,1152,TOTAL,214,102,95,
POMONA,5250022A,2108,207,N,770,POLLING PLACE,103,49,44,
POMONA,5250022A,2108,207,N,,VBM PORTION,30,9,13,
POMONA,5250022A,2108,207,N,770,TOTAL,133,58,57,
POMONA,5250023A,2109,207,N,1139,POLLING PLACE,162,79,78,
POMONA,5250023A,2109,207,N,,VBM PORTION,56,26,22,
POMONA,5250023A,2109,207,N,1139,TOTAL,218,105,100,
POMONA,5250024A,2110,207,N,821,POLLING PLACE,122,59,59,
POMONA,5250024A,2110,207,N,,VBM PORTION,33,10,20,
POMONA,5250024A,2110,207,N,821,TOTAL,155,69,79,
POMONA,5250025A,2111,207,N,966,POLLING PLACE,119,52,63,
POMONA,5250025A,2111,207,N,,VBM PORTION,33,10,17,
POMONA,5250025A,2111,207,N,966,TOTAL,152,62,80,
POMONA,5250028A,2112,208,N,450,POLLING PLACE,61,35,24,
POMONA,5250028A,2112,208,N,,VBM PORTION,11,5,5,
POMONA,5250028A,2112,208,N,450,TOTAL,72,40,29,
POMONA,5250028D,2113,207,N,600,POLLING PLACE,62,43,16,
POMONA,5250028D,2113,207,N,,VBM PORTION,9,1,5,
POMONA,5250028D,2113,207,N,600,TOTAL,71,44,21,
POMONA,5250029A,2114,207,N,1158,POLLING PLACE,185,92,86,
POMONA,5250029A,2114,207,N,,VBM PORTION,58,25,26,
POMONA,5250029A,2114,207,N,1158,TOTAL,243,117,112,
POMONA,5250030A,2115,207,N,1024,POLLING PLACE,117,62,49,
POMONA,5250030A,2115,207,N,,VBM PORTION,38,14,21,
POMONA,5250030A,2115,207,N,1024,TOTAL,155,76,70,
POMONA,5250034B,2116,207,N,1199,POLLING PLACE,246,158,82,
POMONA,5250034B,2116,207,N,,VBM PORTION,104,56,42,
POMONA,5250034B,2116,207,N,1199,TOTAL,350,214,124,
POMONA,5250038A,2117,207,N,1063,POLLING PLACE,198,104,82,
POMONA,5250038A,2117,207,N,,VBM PORTION,71,32,31,
POMONA,5250038A,2117,207,N,1063,TOTAL,269,136,113,
POMONA,5250041A,2118,207,N,1166,POLLING PLACE,195,89,97,
POMONA,5250041A,2118,207,N,,VBM PORTION,42,18,17,
POMONA,5250041A,2118,207,N,1166,TOTAL,237,107,114,
POMONA,5250042A,2119,207,N,1005,POLLING PLACE,174,71,96,
POMONA,5250042A,2119,207,N,,VBM PORTION,52,22,25,
POMONA,5250042A,2119,207,N,1005,TOTAL,226,93,121,
POMONA,5250044D,2120,208,N,504,POLLING PLACE,72,30,38,
POMONA,5250044D,2120,208,N,,VBM PORTION,14,8,6,
POMONA,5250044D,2120,208,N,504,TOTAL,86,38,44,
POMONA,5250046D,2121,207,N,876,POLLING PLACE,118,54,59,
POMONA,5250046D,2121,207,N,,VBM PORTION,46,24,17,
POMONA,5250046D,2121,207,N,876,TOTAL,164,78,76,
POMONA,5250049A,2122,204,N,1026,POLLING PLACE,136,70,62,
POMONA,5250049A,2122,204,N,,VBM PORTION,35,19,12,
POMONA,5250049A,2122,204,N,1026,TOTAL,171,89,74,
POMONA,5250050A,2123,207,N,812,POLLING PLACE,149,65,76,
POMONA,5250050A,2123,207,N,,VBM PORTION,31,13,15,
POMONA,5250050A,2123,207,N,812,TOTAL,180,78,91,
