LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
EL MONTE,2100007A,802,168,N,200,POLLING PLACE,13,10,3,
EL MONTE,2100007A,802,168,N,,VBM PORTION,8,7,,
EL MONTE,2100007A,802,168,N,200,TOTAL,21,17,3,
EL MONTE,2100112C,6075,167,Y,21,POLLING PLACE,,,,
EL MONTE,2100112C,6075,167,Y,,VBM PORTION,,,,
EL MONTE,2100112C,6075,167,Y,21,TOTAL,,,,
ROSEMEAD,5750001A,2241,159,N,891,POLLING PLACE,135,97,28,
ROSEMEAD,5750001A,2241,159,N,,VBM PORTION,52,38,12,
ROSEMEAD,5750001A,2241,159,N,891,TOTAL,187,135,40,
ROSEMEAD,5750003B,2242,160,N,701,POLLING PLACE,64,33,25,
ROSEMEAD,5750003B,2242,160,N,,VBM PORTION,48,30,6,
ROSEMEAD,5750003B,2242,160,N,701,TOTAL,112,63,31,
ROSEMEAD,5750006A,2243,159,N,1231,POLLING PLACE,144,88,44,
ROSEMEAD,5750006A,2243,159,N,,VBM PORTION,69,45,22,
ROSEMEAD,5750006A,2243,159,N,1231,TOTAL,213,133,66,
ROSEMEAD,5750007A,2244,159,N,704,POLLING PLACE,91,55,28,
ROSEMEAD,5750007A,2244,159,N,,VBM PORTION,57,40,10,
ROSEMEAD,5750007A,2244,159,N,704,TOTAL,148,95,38,
ROSEMEAD,5750010A,2245,159,N,1055,POLLING PLACE,126,79,37,
ROSEMEAD,5750010A,2245,159,N,,VBM PORTION,61,35,16,
ROSEMEAD,5750010A,2245,159,N,1055,TOTAL,187,114,53,
ROSEMEAD,5750012A,2246,160,N,902,POLLING PLACE,142,86,46,
ROSEMEAD,5750012A,2246,160,N,,VBM PORTION,39,22,11,
ROSEMEAD,5750012A,2246,160,N,902,TOTAL,181,108,57,
ROSEMEAD,5750014A,2247,159,N,1138,POLLING PLACE,153,100,40,
ROSEMEAD,5750014A,2247,159,N,,VBM PORTION,60,37,12,
ROSEMEAD,5750014A,2247,159,N,1138,TOTAL,213,137,52,
ROSEMEAD,5750014B,2248,160,N,461,POLLING PLACE,85,53,26,
ROSEMEAD,5750014B,2248,160,N,,VBM PORTION,20,14,4,
ROSEMEAD,5750014B,2248,160,N,461,TOTAL,105,67,30,
ROSEMEAD,5750023A,2253,159,N,1293,POLLING PLACE,141,82,41,
ROSEMEAD,5750023A,2253,159,N,,VBM PORTION,51,25,18,
ROSEMEAD,5750023A,2253,159,N,1293,TOTAL,192,107,59,
ROSEMEAD,5750050A,2259,159,N,699,POLLING PLACE,97,68,21,
ROSEMEAD,5750050A,2259,159,N,,VBM PORTION,62,41,14,
ROSEMEAD,5750050A,2259,159,N,699,TOTAL,159,109,35,
SAN GABRIEL,6100034A,2331,159,N,994,POLLING PLACE,139,97,38,
SAN GABRIEL,6100034A,2331,159,N,,VBM PORTION,53,34,10,
SAN GABRIEL,6100034A,2331,159,N,994,TOTAL,192,131,48,
TEMPLE CITY,7050076B,2652,159,N,129,POLLING PLACE,15,8,5,
TEMPLE CITY,7050076B,2652,159,N,,VBM PORTION,11,11,,
TEMPLE CITY,7050076B,2652,159,N,129,TOTAL,26,19,5,
BALLOT GROUP 159,9990159A,8159,159,N,,POLLING PLACE,,,,
BALLOT GROUP 159,9990159A,8159,159,N,,VBM PORTION,,,,
BALLOT GROUP 159,9990159A,8159,159,N,,TOTAL,,,,
BALLOT GROUP 160,9990160A,8160,160,N,,POLLING PLACE,,,,
BALLOT GROUP 160,9990160A,8160,160,N,,VBM PORTION,,,,
BALLOT GROUP 160,9990160A,8160,160,N,,TOTAL,,,,
BALLOT GROUP 167,9990167A,8167,167,N,,POLLING PLACE,,,,
BALLOT GROUP 167,9990167A,8167,167,N,,VBM PORTION,,,,
BALLOT GROUP 167,9990167A,8167,167,N,,TOTAL,,,,
BALLOT GROUP 168,9990168A,8168,168,N,,POLLING PLACE,,,,
BALLOT GROUP 168,9990168A,8168,168,N,,VBM PORTION,,,,
BALLOT GROUP 168,9990168A,8168,168,N,,TOTAL,,,,
