LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
SANTA CLARITA,6220002B,2343,39,N,990,POLLING PLACE,179,82,84,
SANTA CLARITA,6220002B,2343,39,N,,VBM PORTION,77,37,30,
SANTA CLARITA,6220002B,2343,39,N,990,TOTAL,256,119,114,
SANTA CLARITA,6220003A,2344,44,N,1296,POLLING PLACE,291,103,161,
SANTA CLARITA,6220003A,2344,44,N,,VBM PORTION,123,62,48,
SANTA CLARITA,6220003A,2344,44,N,1296,TOTAL,414,165,209,
SANTA CLARITA,6220004A,2345,44,N,998,POLLING PLACE,240,86,132,
SANTA CLARITA,6220004A,2345,44,N,,VBM PORTION,97,50,42,
SANTA CLARITA,6220004A,2345,44,N,998,TOTAL,337,136,174,
SANTA CLARITA,6220005A,2346,36,N,1251,POLLING PLACE,256,89,156,
SANTA CLARITA,6220005A,2346,36,N,,VBM PORTION,128,60,58,
SANTA CLARITA,6220005A,2346,36,N,1251,TOTAL,384,149,214,
SANTA CLARITA,6220006A,2347,44,N,1060,POLLING PLACE,227,68,140,
SANTA CLARITA,6220006A,2347,44,N,,VBM PORTION,98,36,52,
SANTA CLARITA,6220006A,2347,44,N,1060,TOTAL,325,104,192,
SANTA CLARITA,6220007A,2348,44,N,823,POLLING PLACE,215,69,136,
SANTA CLARITA,6220007A,2348,44,N,,VBM PORTION,68,28,29,
SANTA CLARITA,6220007A,2348,44,N,823,TOTAL,283,97,165,
SANTA CLARITA,6220008A,2349,40,N,1343,POLLING PLACE,271,98,155,
SANTA CLARITA,6220008A,2349,40,N,,VBM PORTION,154,69,72,
SANTA CLARITA,6220008A,2349,40,N,1343,TOTAL,425,167,227,
SANTA CLARITA,6220009A,2350,44,N,972,POLLING PLACE,203,79,107,
SANTA CLARITA,6220009A,2350,44,N,,VBM PORTION,90,42,44,
SANTA CLARITA,6220009A,2350,44,N,972,TOTAL,293,121,151,
SANTA CLARITA,6220010A,2351,40,N,882,POLLING PLACE,193,76,104,
SANTA CLARITA,6220010A,2351,40,N,,VBM PORTION,78,45,26,
SANTA CLARITA,6220010A,2351,40,N,882,TOTAL,271,121,130,
SANTA CLARITA,6220011B,2352,40,N,1307,POLLING PLACE,230,96,119,
SANTA CLARITA,6220011B,2352,40,N,,VBM PORTION,163,81,67,
SANTA CLARITA,6220011B,2352,40,N,1307,TOTAL,393,177,186,
SANTA CLARITA,6220017B,2353,39,N,1113,POLLING PLACE,193,83,97,
SANTA CLARITA,6220017B,2353,39,N,,VBM PORTION,137,64,56,
SANTA CLARITA,6220017B,2353,39,N,1113,TOTAL,330,147,153,
SANTA CLARITA,6220018A,2354,39,N,822,POLLING PLACE,160,67,82,
SANTA CLARITA,6220018A,2354,39,N,,VBM PORTION,93,40,46,
SANTA CLARITA,6220018A,2354,39,N,822,TOTAL,253,107,128,
SANTA CLARITA,6220020A,2355,39,N,1358,POLLING PLACE,314,115,173,
SANTA CLARITA,6220020A,2355,39,N,,VBM PORTION,160,69,76,
SANTA CLARITA,6220020A,2355,39,N,1358,TOTAL,474,184,249,
SANTA CLARITA,6220022B,2356,39,N,990,POLLING PLACE,227,86,123,
SANTA CLARITA,6220022B,2356,39,N,,VBM PORTION,109,63,34,
SANTA CLARITA,6220022B,2356,39,N,990,TOTAL,336,149,157,
SANTA CLARITA,6220023A,2357,39,N,580,POLLING PLACE,133,33,91,
SANTA CLARITA,6220023A,2357,39,N,,VBM PORTION,48,17,29,
SANTA CLARITA,6220023A,2357,39,N,580,TOTAL,181,50,120,
SANTA CLARITA,6220023E,6207,36,Y,1,POLLING PLACE,,,,
SANTA CLARITA,6220023E,6207,36,Y,,VBM PORTION,,,,
SANTA CLARITA,6220023E,6207,36,Y,1,TOTAL,,,,
SANTA CLARITA,6220024A,2358,39,N,1359,POLLING PLACE,285,98,172,
SANTA CLARITA,6220024A,2358,39,N,,VBM PORTION,136,69,56,
SANTA CLARITA,6220024A,2358,39,N,1359,TOTAL,421,167,228,
SANTA CLARITA,6220028B,2359,39,N,1279,POLLING PLACE,325,131,177,
SANTA CLARITA,6220028B,2359,39,N,,VBM PORTION,119,51,55,
SANTA CLARITA,6220028B,2359,39,N,1279,TOTAL,444,182,232,
SANTA CLARITA,6220030A,2360,39,N,1144,POLLING PLACE,324,104,202,
SANTA CLARITA,6220030A,2360,39,N,,VBM PORTION,156,76,67,
SANTA CLARITA,6220030A,2360,39,N,1144,TOTAL,480,180,269,
SANTA CLARITA,6220031A,2361,39,N,848,POLLING PLACE,118,53,57,
SANTA CLARITA,6220031A,2361,39,N,,VBM PORTION,34,17,16,
SANTA CLARITA,6220031A,2361,39,N,848,TOTAL,152,70,73,
SANTA CLARITA,6220032A,2362,39,N,1010,POLLING PLACE,239,89,136,
SANTA CLARITA,6220032A,2362,39,N,,VBM PORTION,143,62,63,
SANTA CLARITA,6220032A,2362,39,N,1010,TOTAL,382,151,199,
SANTA CLARITA,6220033A,2363,39,N,692,POLLING PLACE,132,45,77,
SANTA CLARITA,6220033A,2363,39,N,,VBM PORTION,93,41,41,
SANTA CLARITA,6220033A,2363,39,N,692,TOTAL,225,86,118,
SANTA CLARITA,6220034A,2364,39,N,755,POLLING PLACE,148,52,83,
SANTA CLARITA,6220034A,2364,39,N,,VBM PORTION,60,15,37,
SANTA CLARITA,6220034A,2364,39,N,755,TOTAL,208,67,120,
SANTA CLARITA,6220037B,2365,39,N,592,POLLING PLACE,126,50,65,
SANTA CLARITA,6220037B,2365,39,N,,VBM PORTION,49,17,28,
SANTA CLARITA,6220037B,2365,39,N,592,TOTAL,175,67,93,
SANTA CLARITA,6220038A,2366,39,N,1133,POLLING PLACE,245,99,131,
SANTA CLARITA,6220038A,2366,39,N,,VBM PORTION,157,73,65,
SANTA CLARITA,6220038A,2366,39,N,1133,TOTAL,402,172,196,
SANTA CLARITA,6220040A,2367,39,N,1045,POLLING PLACE,207,74,125,
SANTA CLARITA,6220040A,2367,39,N,,VBM PORTION,68,31,31,
SANTA CLARITA,6220040A,2367,39,N,1045,TOTAL,275,105,156,
SANTA CLARITA,6220041A,2368,39,N,1304,POLLING PLACE,289,116,155,
SANTA CLARITA,6220041A,2368,39,N,,VBM PORTION,132,67,53,
SANTA CLARITA,6220041A,2368,39,N,1304,TOTAL,421,183,208,
SANTA CLARITA,6220042A,2369,36,N,1245,POLLING PLACE,224,86,125,
SANTA CLARITA,6220042A,2369,36,N,,VBM PORTION,147,60,73,
SANTA CLARITA,6220042A,2369,36,N,1245,TOTAL,371,146,198,
SANTA CLARITA,6220043A,2370,39,N,1207,POLLING PLACE,266,108,143,
SANTA CLARITA,6220043A,2370,39,N,,VBM PORTION,177,80,76,
SANTA CLARITA,6220043A,2370,39,N,1207,TOTAL,443,188,219,
SANTA CLARITA,6220044A,2371,39,N,961,POLLING PLACE,223,58,148,
SANTA CLARITA,6220044A,2371,39,N,,VBM PORTION,110,35,67,
SANTA CLARITA,6220044A,2371,39,N,961,TOTAL,333,93,215,
SANTA CLARITA,6220046B,2372,39,N,882,POLLING PLACE,109,54,53,
SANTA CLARITA,6220046B,2372,39,N,,VBM PORTION,55,27,21,
SANTA CLARITA,6220046B,2372,39,N,882,TOTAL,164,81,74,
SANTA CLARITA,6220047A,2373,36,N,1050,POLLING PLACE,241,79,152,
SANTA CLARITA,6220047A,2373,36,N,,VBM PORTION,113,45,63,
SANTA CLARITA,6220047A,2373,36,N,1050,TOTAL,354,124,215,
SANTA CLARITA,6220049A,2374,44,N,971,POLLING PLACE,219,70,130,
SANTA CLARITA,6220049A,2374,44,N,,VBM PORTION,95,43,45,
SANTA CLARITA,6220049A,2374,44,N,971,TOTAL,314,113,175,
SANTA CLARITA,6220051A,2375,44,N,950,POLLING PLACE,163,61,93,
SANTA CLARITA,6220051A,2375,44,N,,VBM PORTION,107,57,40,
SANTA CLARITA,6220051A,2375,44,N,950,TOTAL,270,118,133,
SANTA CLARITA,6220052A,2376,44,N,682,POLLING PLACE,188,51,124,
SANTA CLARITA,6220052A,2376,44,N,,VBM PORTION,53,21,28,
SANTA CLARITA,6220052A,2376,44,N,682,TOTAL,241,72,152,
SANTA CLARITA,6220053A,2377,44,N,1056,POLLING PLACE,224,88,125,
SANTA CLARITA,6220053A,2377,44,N,,VBM PORTION,93,41,42,
SANTA CLARITA,6220053A,2377,44,N,1056,TOTAL,317,129,167,
SANTA CLARITA,6220054A,2378,44,N,1030,POLLING PLACE,259,88,146,
SANTA CLARITA,6220054A,2378,44,N,,VBM PORTION,83,42,38,
SANTA CLARITA,6220054A,2378,44,N,1030,TOTAL,342,130,184,
SANTA CLARITA,6220055A,2379,44,N,1163,POLLING PLACE,225,79,141,
SANTA CLARITA,6220055A,2379,44,N,,VBM PORTION,110,37,61,
SANTA CLARITA,6220055A,2379,44,N,1163,TOTAL,335,116,202,
SANTA CLARITA,6220058A,6208,37,Y,228,POLLING PLACE,,,,
SANTA CLARITA,6220058A,6208,37,Y,,VBM PORTION,38,15,18,
SANTA CLARITA,6220058A,6208,37,Y,228,TOTAL,38,15,18,
SANTA CLARITA,6220059E,2380,44,N,1037,POLLING PLACE,224,83,130,
SANTA CLARITA,6220059E,2380,44,N,,VBM PORTION,88,37,43,
SANTA CLARITA,6220059E,2380,44,N,1037,TOTAL,312,120,173,
SANTA CLARITA,6220061A,2381,37,N,1275,POLLING PLACE,326,93,210,
SANTA CLARITA,6220061A,2381,37,N,,VBM PORTION,96,37,56,
SANTA CLARITA,6220061A,2381,37,N,1275,TOTAL,422,130,266,
SANTA CLARITA,6220063A,2382,44,N,1309,POLLING PLACE,236,83,131,
SANTA CLARITA,6220063A,2382,44,N,,VBM PORTION,114,42,57,
SANTA CLARITA,6220063A,2382,44,N,1309,TOTAL,350,125,188,
SANTA CLARITA,6220064B,2383,37,N,635,POLLING PLACE,138,53,79,
SANTA CLARITA,6220064B,2383,37,N,,VBM PORTION,76,38,31,
SANTA CLARITA,6220064B,2383,37,N,635,TOTAL,214,91,110,
SANTA CLARITA,6220065A,2384,37,N,1186,POLLING PLACE,235,77,146,
SANTA CLARITA,6220065A,2384,37,N,,VBM PORTION,103,47,50,
SANTA CLARITA,6220065A,2384,37,N,1186,TOTAL,338,124,196,
SANTA CLARITA,6220067A,2385,37,N,1222,POLLING PLACE,209,81,115,
SANTA CLARITA,6220067A,2385,37,N,,VBM PORTION,106,48,51,
SANTA CLARITA,6220067A,2385,37,N,1222,TOTAL,315,129,166,
SANTA CLARITA,6220069A,2386,37,N,1250,POLLING PLACE,237,93,124,
SANTA CLARITA,6220069A,2386,37,N,,VBM PORTION,66,24,36,
SANTA CLARITA,6220069A,2386,37,N,1250,TOTAL,303,117,160,
SANTA CLARITA,6220071A,2387,36,N,777,POLLING PLACE,160,55,99,
SANTA CLARITA,6220071A,2387,36,N,,VBM PORTION,77,33,36,
SANTA CLARITA,6220071A,2387,36,N,777,TOTAL,237,88,135,
SANTA CLARITA,6220073A,2388,36,N,1045,POLLING PLACE,147,67,73,
SANTA CLARITA,6220073A,2388,36,N,,VBM PORTION,73,36,32,
SANTA CLARITA,6220073A,2388,36,N,1045,TOTAL,220,103,105,
SANTA CLARITA,6220074A,2389,36,N,1143,POLLING PLACE,210,72,115,
SANTA CLARITA,6220074A,2389,36,N,,VBM PORTION,73,35,35,
SANTA CLARITA,6220074A,2389,36,N,1143,TOTAL,283,107,150,
SANTA CLARITA,6220076A,2390,36,N,1382,POLLING PLACE,384,147,189,
SANTA CLARITA,6220076A,2390,36,N,,VBM PORTION,340,182,119,
SANTA CLARITA,6220076A,2390,36,N,1382,TOTAL,724,329,308,
SANTA CLARITA,6220078A,2391,40,N,872,POLLING PLACE,145,55,76,
SANTA CLARITA,6220078A,2391,40,N,,VBM PORTION,59,44,11,
SANTA CLARITA,6220078A,2391,40,N,872,TOTAL,204,99,87,
SANTA CLARITA,6220080A,2392,36,N,1165,POLLING PLACE,219,86,122,
SANTA CLARITA,6220080A,2392,36,N,,VBM PORTION,111,55,52,
SANTA CLARITA,6220080A,2392,36,N,1165,TOTAL,330,141,174,
SANTA CLARITA,6220081A,2393,36,N,1032,POLLING PLACE,194,63,114,
SANTA CLARITA,6220081A,2393,36,N,,VBM PORTION,107,59,33,
SANTA CLARITA,6220081A,2393,36,N,1032,TOTAL,301,122,147,
SANTA CLARITA,6220081C,6209,37,Y,185,POLLING PLACE,,,,
SANTA CLARITA,6220081C,6209,37,Y,,VBM PORTION,34,22,10,
SANTA CLARITA,6220081C,6209,37,Y,185,TOTAL,34,22,10,
SANTA CLARITA,6220083A,2394,36,N,851,POLLING PLACE,82,39,36,
SANTA CLARITA,6220083A,2394,36,N,,VBM PORTION,61,29,25,
SANTA CLARITA,6220083A,2394,36,N,851,TOTAL,143,68,61,
SANTA CLARITA,6220086A,2395,36,N,1245,POLLING PLACE,188,76,97,
SANTA CLARITA,6220086A,2395,36,N,,VBM PORTION,68,36,25,
SANTA CLARITA,6220086A,2395,36,N,1245,TOTAL,256,112,122,
SANTA CLARITA,6220087A,2396,40,N,931,POLLING PLACE,192,80,99,
SANTA CLARITA,6220087A,2396,40,N,,VBM PORTION,121,54,50,
SANTA CLARITA,6220087A,2396,40,N,931,TOTAL,313,134,149,
SANTA CLARITA,6220088A,2397,36,N,849,POLLING PLACE,165,59,97,
SANTA CLARITA,6220088A,2397,36,N,,VBM PORTION,94,36,52,
