LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
SANTA MONICA,6250001A,2455,181,N,893,POLLING PLACE,294,131,136,
SANTA MONICA,6250001A,2455,181,N,,VBM PORTION,112,42,60,
SANTA MONICA,6250001A,2455,181,N,893,TOTAL,406,173,196,
SANTA MONICA,6250003C,2456,181,N,1011,POLLING PLACE,301,145,129,
SANTA MONICA,6250003C,2456,181,N,,VBM PORTION,129,52,65,
SANTA MONICA,6250003C,2456,181,N,1011,TOTAL,430,197,194,
SANTA MONICA,6250005A,2457,181,N,1184,POLLING PLACE,356,195,129,
SANTA MONICA,6250005A,2457,181,N,,VBM PORTION,89,46,30,
SANTA MONICA,6250005A,2457,181,N,1184,TOTAL,445,241,159,
SANTA MONICA,6250006A,2458,181,N,1079,POLLING PLACE,375,194,145,
SANTA MONICA,6250006A,2458,181,N,,VBM PORTION,90,46,36,
SANTA MONICA,6250006A,2458,181,N,1079,TOTAL,465,240,181,
SANTA MONICA,6250008A,2459,181,N,1132,POLLING PLACE,262,139,93,
SANTA MONICA,6250008A,2459,181,N,,VBM PORTION,161,76,74,
SANTA MONICA,6250008A,2459,181,N,1132,TOTAL,423,215,167,
SANTA MONICA,6250010E,2460,181,N,1102,POLLING PLACE,267,129,113,
SANTA MONICA,6250010E,2460,181,N,,VBM PORTION,90,46,29,
SANTA MONICA,6250010E,2460,181,N,1102,TOTAL,357,175,142,
SANTA MONICA,6250011A,2461,181,N,1103,POLLING PLACE,237,117,91,
SANTA MONICA,6250011A,2461,181,N,,VBM PORTION,110,56,34,
SANTA MONICA,6250011A,2461,181,N,1103,TOTAL,347,173,125,
SANTA MONICA,6250015B,2462,181,N,1247,POLLING PLACE,369,172,172,
SANTA MONICA,6250015B,2462,181,N,,VBM PORTION,153,76,68,
SANTA MONICA,6250015B,2462,181,N,1247,TOTAL,522,248,240,
SANTA MONICA,6250016A,2463,181,N,1328,POLLING PLACE,358,187,144,
SANTA MONICA,6250016A,2463,181,N,,VBM PORTION,109,50,44,
SANTA MONICA,6250016A,2463,181,N,1328,TOTAL,467,237,188,
SANTA MONICA,6250017A,2464,181,N,1281,POLLING PLACE,420,187,195,
SANTA MONICA,6250017A,2464,181,N,,VBM PORTION,140,63,63,
SANTA MONICA,6250017A,2464,181,N,1281,TOTAL,560,250,258,
SANTA MONICA,6250019A,2465,181,N,1365,POLLING PLACE,247,127,86,
SANTA MONICA,6250019A,2465,181,N,,VBM PORTION,108,46,46,
SANTA MONICA,6250019A,2465,181,N,1365,TOTAL,355,173,132,
SANTA MONICA,6250020A,2466,181,N,1066,POLLING PLACE,352,184,120,
SANTA MONICA,6250020A,2466,181,N,,VBM PORTION,85,40,33,
SANTA MONICA,6250020A,2466,181,N,1066,TOTAL,437,224,153,
SANTA MONICA,6250024A,2467,181,N,763,POLLING PLACE,191,98,72,
SANTA MONICA,6250024A,2467,181,N,,VBM PORTION,44,24,16,
SANTA MONICA,6250024A,2467,181,N,763,TOTAL,235,122,88,
SANTA MONICA,6250025B,2468,181,N,1093,POLLING PLACE,189,96,81,
SANTA MONICA,6250025B,2468,181,N,,VBM PORTION,52,32,13,
SANTA MONICA,6250025B,2468,181,N,1093,TOTAL,241,128,94,
SANTA MONICA,6250026A,2469,181,N,1194,POLLING PLACE,400,244,131,
SANTA MONICA,6250026A,2469,181,N,,VBM PORTION,99,54,38,
SANTA MONICA,6250026A,2469,181,N,1194,TOTAL,499,298,169,
SANTA MONICA,6250029A,2470,181,N,752,POLLING PLACE,221,116,96,
SANTA MONICA,6250029A,2470,181,N,,VBM PORTION,86,32,47,
SANTA MONICA,6250029A,2470,181,N,752,TOTAL,307,148,143,
SANTA MONICA,6250032A,2471,181,N,1123,POLLING PLACE,244,133,95,
SANTA MONICA,6250032A,2471,181,N,,VBM PORTION,117,47,54,
SANTA MONICA,6250032A,2471,181,N,1123,TOTAL,361,180,149,
SANTA MONICA,6250034A,2472,181,N,1165,POLLING PLACE,341,186,122,
SANTA MONICA,6250034A,2472,181,N,,VBM PORTION,80,34,37,
SANTA MONICA,6250034A,2472,181,N,1165,TOTAL,421,220,159,
SANTA MONICA,6250036B,2473,181,N,1149,POLLING PLACE,306,164,119,
SANTA MONICA,6250036B,2473,181,N,,VBM PORTION,96,47,43,
SANTA MONICA,6250036B,2473,181,N,1149,TOTAL,402,211,162,
SANTA MONICA,6250041A,2474,181,N,1275,POLLING PLACE,274,151,100,
SANTA MONICA,6250041A,2474,181,N,,VBM PORTION,103,45,43,
SANTA MONICA,6250041A,2474,181,N,1275,TOTAL,377,196,143,
SANTA MONICA,6250045A,2475,181,N,1204,POLLING PLACE,263,135,107,
SANTA MONICA,6250045A,2475,181,N,,VBM PORTION,84,36,35,
SANTA MONICA,6250045A,2475,181,N,1204,TOTAL,347,171,142,
SANTA MONICA,6250046A,2476,181,N,1263,POLLING PLACE,317,166,120,
SANTA MONICA,6250046A,2476,181,N,,VBM PORTION,89,53,26,
SANTA MONICA,6250046A,2476,181,N,1263,TOTAL,406,219,146,
SANTA MONICA,6250050A,2477,181,N,1012,POLLING PLACE,254,154,74,
SANTA MONICA,6250050A,2477,181,N,,VBM PORTION,71,33,33,
SANTA MONICA,6250050A,2477,181,N,1012,TOTAL,325,187,107,
SANTA MONICA,6250051A,2478,181,N,1237,POLLING PLACE,297,154,112,
SANTA MONICA,6250051A,2478,181,N,,VBM PORTION,87,27,46,
