LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
SANTA CLARITA,6220003A,2344,44,N,1296,POLLING PLACE,291,159,113,
SANTA CLARITA,6220003A,2344,44,N,,VBM PORTION,123,56,57,
SANTA CLARITA,6220003A,2344,44,N,1296,TOTAL,414,215,170,
SANTA CLARITA,6220004A,2345,44,N,998,POLLING PLACE,240,136,91,
SANTA CLARITA,6220004A,2345,44,N,,VBM PORTION,97,58,35,
SANTA CLARITA,6220004A,2345,44,N,998,TOTAL,337,194,126,
SANTA CLARITA,6220006A,2347,44,N,1060,POLLING PLACE,227,121,90,
SANTA CLARITA,6220006A,2347,44,N,,VBM PORTION,98,61,28,
SANTA CLARITA,6220006A,2347,44,N,1060,TOTAL,325,182,118,
SANTA CLARITA,6220007A,2348,44,N,823,POLLING PLACE,215,113,97,
SANTA CLARITA,6220007A,2348,44,N,,VBM PORTION,68,25,32,
SANTA CLARITA,6220007A,2348,44,N,823,TOTAL,283,138,129,
SANTA CLARITA,6220008A,2349,40,N,1343,POLLING PLACE,271,135,121,
SANTA CLARITA,6220008A,2349,40,N,,VBM PORTION,154,78,66,
SANTA CLARITA,6220008A,2349,40,N,1343,TOTAL,425,213,187,
SANTA CLARITA,6220009A,2350,44,N,972,POLLING PLACE,203,111,81,
SANTA CLARITA,6220009A,2350,44,N,,VBM PORTION,90,47,37,
SANTA CLARITA,6220009A,2350,44,N,972,TOTAL,293,158,118,
SANTA CLARITA,6220010A,2351,40,N,882,POLLING PLACE,193,108,74,
SANTA CLARITA,6220010A,2351,40,N,,VBM PORTION,78,43,29,
SANTA CLARITA,6220010A,2351,40,N,882,TOTAL,271,151,103,
SANTA CLARITA,6220011B,2352,40,N,1307,POLLING PLACE,230,122,96,
SANTA CLARITA,6220011B,2352,40,N,,VBM PORTION,163,106,44,
SANTA CLARITA,6220011B,2352,40,N,1307,TOTAL,393,228,140,
SANTA CLARITA,6220049A,2374,44,N,971,POLLING PLACE,219,117,91,
SANTA CLARITA,6220049A,2374,44,N,,VBM PORTION,95,47,42,
SANTA CLARITA,6220049A,2374,44,N,971,TOTAL,314,164,133,
SANTA CLARITA,6220051A,2375,44,N,950,POLLING PLACE,163,97,62,
SANTA CLARITA,6220051A,2375,44,N,,VBM PORTION,107,54,42,
SANTA CLARITA,6220051A,2375,44,N,950,TOTAL,270,151,104,
SANTA CLARITA,6220052A,2376,44,N,682,POLLING PLACE,188,89,92,
SANTA CLARITA,6220052A,2376,44,N,,VBM PORTION,53,22,25,
SANTA CLARITA,6220052A,2376,44,N,682,TOTAL,241,111,117,
SANTA CLARITA,6220053A,2377,44,N,1056,POLLING PLACE,224,125,90,
SANTA CLARITA,6220053A,2377,44,N,,VBM PORTION,93,50,35,
SANTA CLARITA,6220053A,2377,44,N,1056,TOTAL,317,175,125,
SANTA CLARITA,6220054A,2378,44,N,1030,POLLING PLACE,259,117,123,
SANTA CLARITA,6220054A,2378,44,N,,VBM PORTION,83,49,30,
SANTA CLARITA,6220054A,2378,44,N,1030,TOTAL,342,166,153,
SANTA CLARITA,6220055A,2379,44,N,1163,POLLING PLACE,225,112,105,
SANTA CLARITA,6220055A,2379,44,N,,VBM PORTION,110,60,36,
SANTA CLARITA,6220055A,2379,44,N,1163,TOTAL,335,172,141,
SANTA CLARITA,6220058A,6208,37,Y,228,POLLING PLACE,,,,
SANTA CLARITA,6220058A,6208,37,Y,,VBM PORTION,38,27,7,
SANTA CLARITA,6220058A,6208,37,Y,228,TOTAL,38,27,7,
SANTA CLARITA,6220059E,2380,44,N,1037,POLLING PLACE,224,116,90,
SANTA CLARITA,6220059E,2380,44,N,,VBM PORTION,88,42,36,
SANTA CLARITA,6220059E,2380,44,N,1037,TOTAL,312,158,126,
SANTA CLARITA,6220061A,2381,37,N,1275,POLLING PLACE,326,145,156,
SANTA CLARITA,6220061A,2381,37,N,,VBM PORTION,96,56,38,
SANTA CLARITA,6220061A,2381,37,N,1275,TOTAL,422,201,194,
SANTA CLARITA,6220063A,2382,44,N,1309,POLLING PLACE,236,118,99,
SANTA CLARITA,6220063A,2382,44,N,,VBM PORTION,114,58,43,
SANTA CLARITA,6220063A,2382,44,N,1309,TOTAL,350,176,142,
SANTA CLARITA,6220064B,2383,37,N,635,POLLING PLACE,138,78,52,
SANTA CLARITA,6220064B,2383,37,N,,VBM PORTION,76,40,28,
SANTA CLARITA,6220064B,2383,37,N,635,TOTAL,214,118,80,
SANTA CLARITA,6220065A,2384,37,N,1186,POLLING PLACE,235,134,92,
SANTA CLARITA,6220065A,2384,37,N,,VBM PORTION,103,50,46,
SANTA CLARITA,6220065A,2384,37,N,1186,TOTAL,338,184,138,
SANTA CLARITA,6220067A,2385,37,N,1222,POLLING PLACE,209,129,65,
SANTA CLARITA,6220067A,2385,37,N,,VBM PORTION,106,49,52,
SANTA CLARITA,6220067A,2385,37,N,1222,TOTAL,315,178,117,
SANTA CLARITA,6220069A,2386,37,N,1250,POLLING PLACE,237,132,90,
SANTA CLARITA,6220069A,2386,37,N,,VBM PORTION,66,29,32,
SANTA CLARITA,6220069A,2386,37,N,1250,TOTAL,303,161,122,
