LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,126,170,
ACTON,0050003A,1,13,N,,VBM PORTION,110,62,42,
ACTON,0050003A,1,13,N,1044,TOTAL,418,188,212,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,56,67,
ACTON,0050004B,2,13,N,,VBM PORTION,93,64,21,
ACTON,0050004B,2,13,N,576,TOTAL,221,120,88,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,94,93,
ACTON,0050005A,3,13,N,,VBM PORTION,71,33,33,
ACTON,0050005A,3,13,N,713,TOTAL,269,127,126,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,85,80,
ACTON,0050014A,4,23,N,,VBM PORTION,87,44,34,
ACTON,0050014A,4,23,N,695,TOTAL,259,129,114,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,5,13,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,5,13,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,1,1,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,1,1,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,146,144,
ACTON,0050059A,5,13,N,,VBM PORTION,113,55,51,
ACTON,0050059A,5,13,N,1169,TOTAL,412,201,195,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,158,116,
ACTON,0050061A,6,13,N,,VBM PORTION,132,78,45,
ACTON,0050061A,6,13,N,1105,TOTAL,409,236,161,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,83,40,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,82,28,
AGOURA,0070001A,7,115,N,862,TOTAL,262,165,68,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,8,3,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,8,3,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,104,55,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,58,21,
AGOURA,0070004A,8,190,N,710,TOTAL,252,162,76,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,98,37,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,24,13,
AGOURA,0070004C,9,191,N,369,TOTAL,185,122,50,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,8,2,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,8,2,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,208,75,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,97,25,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,305,100,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,11,4,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,11,4,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,116,60,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,44,17,
AGOURA,0070041A,11,189,N,675,TOTAL,260,160,77,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,6,3,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,6,3,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,168,87,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,88,19,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,256,106,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,135,52,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,65,19,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,200,71,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,222,74,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,109,44,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,331,118,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,140,61,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,49,17,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,189,78,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,182,70,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,73,27,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,255,97,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,187,81,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,80,32,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,267,113,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,184,119,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,81,41,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,265,160,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,133,54,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,56,25,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,189,79,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,199,100,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,85,42,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,284,142,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,196,70,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,76,27,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,272,97,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,202,91,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,94,55,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,296,146,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,205,72,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,102,26,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,307,98,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,147,124,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,68,39,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,215,163,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,93,88,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,41,26,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,134,114,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,67,59,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,31,29,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,98,88,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,13,7,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,13,7,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,3,3,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,3,3,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,133,60,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,51,14,
