LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,LAURIE LIEBERMAN,DHUN MAY,RALPH MECHUR,OSCAR DE LA TORRE,R TAHVILDARAN-JESSWEIN,CRAIG FOSTER,PATTY FINER,
MALIBU,4050002A,1702,188,N,779,POLLING PLACE,242,56,30,25,53,34,144,20,
MALIBU,4050002A,1702,188,N,,VBM PORTION,83,26,8,17,20,22,39,7,
MALIBU,4050002A,1702,188,N,779,TOTAL,325,82,38,42,73,56,183,27,
MALIBU,4050003A,1703,188,N,676,POLLING PLACE,221,75,34,37,52,52,149,27,
MALIBU,4050003A,1703,188,N,,VBM PORTION,80,33,12,18,18,24,51,15,
MALIBU,4050003A,1703,188,N,676,TOTAL,301,108,46,55,70,76,200,42,
MALIBU,4050004A,1704,188,N,602,POLLING PLACE,160,40,12,23,30,29,106,19,
MALIBU,4050004A,1704,188,N,,VBM PORTION,83,23,11,18,13,15,42,6,
MALIBU,4050004A,1704,188,N,602,TOTAL,243,63,23,41,43,44,148,25,
MALIBU,4050014A,1705,188,N,857,POLLING PLACE,208,44,19,23,42,35,133,26,
MALIBU,4050014A,1705,188,N,,VBM PORTION,93,21,12,16,21,17,41,22,
MALIBU,4050014A,1705,188,N,857,TOTAL,301,65,31,39,63,52,174,48,
MALIBU,4050051A,1706,188,N,1268,POLLING PLACE,373,105,57,56,87,73,233,50,
MALIBU,4050051A,1706,188,N,,VBM PORTION,126,34,27,25,26,34,71,25,
MALIBU,4050051A,1706,188,N,1268,TOTAL,499,139,84,81,113,107,304,75,
MALIBU,4050057A,1707,188,N,912,POLLING PLACE,262,63,31,31,57,55,178,36,
MALIBU,4050057A,1707,188,N,,VBM PORTION,109,33,10,21,22,29,71,15,
MALIBU,4050057A,1707,188,N,912,TOTAL,371,96,41,52,79,84,249,51,
MALIBU,4050059B,1708,188,N,614,POLLING PLACE,143,35,15,16,39,23,90,21,
MALIBU,4050059B,1708,188,N,,VBM PORTION,85,28,11,21,12,15,53,7,
MALIBU,4050059B,1708,188,N,614,TOTAL,228,63,26,37,51,38,143,28,
MALIBU,4050062A,1709,188,N,944,POLLING PLACE,311,72,36,32,51,47,230,32,
MALIBU,4050062A,1709,188,N,,VBM PORTION,112,31,19,15,15,24,69,11,
MALIBU,4050062A,1709,188,N,944,TOTAL,423,103,55,47,66,71,299,43,
MALIBU,4050063A,1710,188,N,913,POLLING PLACE,236,50,29,22,58,44,151,38,
MALIBU,4050063A,1710,188,N,,VBM PORTION,113,39,19,21,22,26,58,16,
MALIBU,4050063A,1710,188,N,913,TOTAL,349,89,48,43,80,70,209,54,
MALIBU,4050064A,1711,188,N,949,POLLING PLACE,272,84,32,46,52,74,168,33,
MALIBU,4050064A,1711,188,N,,VBM PORTION,132,47,10,29,37,31,59,22,
MALIBU,4050064A,1711,188,N,949,TOTAL,404,131,42,75,89,105,227,55,
MALIBU HEIGHTS,4060001A,1712,192,N,324,POLLING PLACE,104,31,15,22,22,21,62,21,
MALIBU HEIGHTS,4060001A,1712,192,N,,VBM PORTION,29,10,,5,9,6,12,1,
MALIBU HEIGHTS,4060001A,1712,192,N,324,TOTAL,133,41,15,27,31,27,74,22,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,POLLING PLACE,,,,,,,,,
MALIBU HEIGHTS,4060001C,6150,195,Y,,VBM PORTION,9,5,1,,2,7,8,1,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,TOTAL,9,5,1,,2,7,8,1,
MALIBU HEIGHTS,4060003A,1713,195,N,542,POLLING PLACE,64,20,13,12,22,13,38,9,
MALIBU HEIGHTS,4060003A,1713,195,N,,VBM PORTION,12,2,1,1,1,1,2,2,
MALIBU HEIGHTS,4060003A,1713,195,N,542,TOTAL,76,22,14,13,23,14,40,11,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,POLLING PLACE,,,,,,,,,
MALIBU HEIGHTS,4060003B,6151,192,Y,,VBM PORTION,20,3,2,3,,4,10,1,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,TOTAL,20,3,2,3,,4,10,1,
MALIBU HEIGHTS,4060004A,1714,192,N,383,POLLING PLACE,54,8,6,7,13,15,34,4,
MALIBU HEIGHTS,4060004A,1714,192,N,,VBM PORTION,37,11,8,10,5,13,20,8,
MALIBU HEIGHTS,4060004A,1714,192,N,383,TOTAL,91,19,14,17,18,28,54,12,
MALIBU HEIGHTS,4060012A,1715,194,N,519,POLLING PLACE,113,31,31,20,29,25,62,14,
MALIBU HEIGHTS,4060012A,1715,194,N,,VBM PORTION,73,22,17,10,17,15,36,11,
MALIBU HEIGHTS,4060012A,1715,194,N,519,TOTAL,186,53,48,30,46,40,98,25,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,POLLING PLACE,,,,,,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,,VBM PORTION,,,,,,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,TOTAL,,,,,,,,,
SANTA MONICA,6250001A,2455,181,N,893,POLLING PLACE,294,129,43,103,97,93,93,50,
SANTA MONICA,6250001A,2455,181,N,,VBM PORTION,112,49,10,37,43,34,24,8,
SANTA MONICA,6250001A,2455,181,N,893,TOTAL,406,178,53,140,140,127,117,58,
SANTA MONICA,6250003C,2456,181,N,1011,POLLING PLACE,301,156,30,128,107,126,110,42,
SANTA MONICA,6250003C,2456,181,N,,VBM PORTION,129,78,17,51,49,47,42,25,
SANTA MONICA,6250003C,2456,181,N,1011,TOTAL,430,234,47,179,156,173,152,67,
SANTA MONICA,6250005A,2457,181,N,1184,POLLING PLACE,356,169,49,142,132,142,104,49,
SANTA MONICA,6250005A,2457,181,N,,VBM PORTION,89,43,3,37,34,37,15,16,
SANTA MONICA,6250005A,2457,181,N,1184,TOTAL,445,212,52,179,166,179,119,65,
SANTA MONICA,6250006A,2458,181,N,1079,POLLING PLACE,375,185,66,133,132,152,115,57,
SANTA MONICA,6250006A,2458,181,N,,VBM PORTION,90,48,18,33,35,43,24,13,
SANTA MONICA,6250006A,2458,181,N,1079,TOTAL,465,233,84,166,167,195,139,70,
SANTA MONICA,6250008A,2459,181,N,1132,POLLING PLACE,262,120,51,74,82,87,81,49,
SANTA MONICA,6250008A,2459,181,N,,VBM PORTION,161,74,21,58,54,46,52,25,
SANTA MONICA,6250008A,2459,181,N,1132,TOTAL,423,194,72,132,136,133,133,74,
SANTA MONICA,6250010E,2460,181,N,1102,POLLING PLACE,267,136,38,97,97,121,86,47,
SANTA MONICA,6250010E,2460,181,N,,VBM PORTION,90,46,20,34,33,31,26,13,
SANTA MONICA,6250010E,2460,181,N,1102,TOTAL,357,182,58,131,130,152,112,60,
SANTA MONICA,6250011A,2461,181,N,1103,POLLING PLACE,237,108,54,88,79,87,69,36,
SANTA MONICA,6250011A,2461,181,N,,VBM PORTION,110,51,23,40,32,40,43,20,
SANTA MONICA,6250011A,2461,181,N,1103,TOTAL,347,159,77,128,111,127,112,56,
SANTA MONICA,6250015B,2462,181,N,1247,POLLING PLACE,369,195,44,158,140,154,124,55,
SANTA MONICA,6250015B,2462,181,N,,VBM PORTION,153,70,26,55,57,47,42,31,
SANTA MONICA,6250015B,2462,181,N,1247,TOTAL,522,265,70,213,197,201,166,86,
SANTA MONICA,6250016A,2463,181,N,1328,POLLING PLACE,358,186,52,150,127,152,127,59,
SANTA MONICA,6250016A,2463,181,N,,VBM PORTION,109,36,17,30,30,28,27,18,
SANTA MONICA,6250016A,2463,181,N,1328,TOTAL,467,222,69,180,157,180,154,77,
SANTA MONICA,6250017A,2464,181,N,1281,POLLING PLACE,420,198,55,155,116,141,157,50,
SANTA MONICA,6250017A,2464,181,N,,VBM PORTION,140,68,11,61,39,44,43,23,
SANTA MONICA,6250017A,2464,181,N,1281,TOTAL,560,266,66,216,155,185,200,73,
SANTA MONICA,6250019A,2465,181,N,1365,POLLING PLACE,247,119,50,93,95,87,92,46,
SANTA MONICA,6250019A,2465,181,N,,VBM PORTION,108,47,17,34,38,45,33,18,
SANTA MONICA,6250019A,2465,181,N,1365,TOTAL,355,166,67,127,133,132,125,64,
SANTA MONICA,6250020A,2466,181,N,1066,POLLING PLACE,352,161,52,118,123,123,114,60,
SANTA MONICA,6250020A,2466,181,N,,VBM PORTION,85,38,15,35,39,26,28,15,
SANTA MONICA,6250020A,2466,181,N,1066,TOTAL,437,199,67,153,162,149,142,75,
SANTA MONICA,6250024A,2467,181,N,763,POLLING PLACE,191,95,43,66,80,71,70,30,
SANTA MONICA,6250024A,2467,181,N,,VBM PORTION,44,20,10,13,19,20,21,5,
SANTA MONICA,6250024A,2467,181,N,763,TOTAL,235,115,53,79,99,91,91,35,
SANTA MONICA,6250025B,2468,181,N,1093,POLLING PLACE,189,75,36,56,100,77,63,28,
SANTA MONICA,6250025B,2468,181,N,,VBM PORTION,52,27,13,19,27,18,12,10,
SANTA MONICA,6250025B,2468,181,N,1093,TOTAL,241,102,49,75,127,95,75,38,
SANTA MONICA,6250026A,2469,181,N,1194,POLLING PLACE,400,224,77,169,180,175,138,68,
SANTA MONICA,6250026A,2469,181,N,,VBM PORTION,99,40,15,40,34,34,21,13,
SANTA MONICA,6250026A,2469,181,N,1194,TOTAL,499,264,92,209,214,209,159,81,
SANTA MONICA,6250029A,2470,181,N,752,POLLING PLACE,221,105,32,91,58,86,66,33,
SANTA MONICA,6250029A,2470,181,N,,VBM PORTION,86,37,15,33,32,23,26,16,
SANTA MONICA,6250029A,2470,181,N,752,TOTAL,307,142,47,124,90,109,92,49,
SANTA MONICA,6250032A,2471,181,N,1123,POLLING PLACE,244,111,29,91,99,79,79,45,
SANTA MONICA,6250032A,2471,181,N,,VBM PORTION,117,55,14,49,38,41,42,17,
SANTA MONICA,6250032A,2471,181,N,1123,TOTAL,361,166,43,140,137,120,121,62,
SANTA MONICA,6250034A,2472,181,N,1165,POLLING PLACE,341,175,47,132,122,143,101,49,
SANTA MONICA,6250034A,2472,181,N,,VBM PORTION,80,33,16,25,24,29,24,8,
SANTA MONICA,6250034A,2472,181,N,1165,TOTAL,421,208,63,157,146,172,125,57,
SANTA MONICA,6250036B,2473,181,N,1149,POLLING PLACE,306,144,58,106,111,113,102,45,
SANTA MONICA,6250036B,2473,181,N,,VBM PORTION,96,44,10,39,35,36,30,21,
SANTA MONICA,6250036B,2473,181,N,1149,TOTAL,402,188,68,145,146,149,132,66,
SANTA MONICA,6250041A,2474,181,N,1275,POLLING PLACE,274,127,53,108,115,111,77,38,
SANTA MONICA,6250041A,2474,181,N,,VBM PORTION,103,42,22,35,39,41,35,19,
SANTA MONICA,6250041A,2474,181,N,1275,TOTAL,377,169,75,143,154,152,112,57,
SANTA MONICA,6250045A,2475,181,N,1204,POLLING PLACE,263,123,58,91,103,117,98,56,
SANTA MONICA,6250045A,2475,181,N,,VBM PORTION,84,41,20,26,28,34,31,15,
SANTA MONICA,6250045A,2475,181,N,1204,TOTAL,347,164,78,117,131,151,129,71,
SANTA MONICA,6250046A,2476,181,N,1263,POLLING PLACE,317,167,52,108,121,116,90,51,
SANTA MONICA,6250046A,2476,181,N,,VBM PORTION,89,42,19,31,33,30,25,12,
SANTA MONICA,6250046A,2476,181,N,1263,TOTAL,406,209,71,139,154,146,115,63,
SANTA MONICA,6250050A,2477,181,N,1012,POLLING PLACE,254,134,38,101,116,106,69,33,
SANTA MONICA,6250050A,2477,181,N,,VBM PORTION,71,31,10,27,25,26,19,8,
SANTA MONICA,6250050A,2477,181,N,1012,TOTAL,325,165,48,128,141,132,88,41,
SANTA MONICA,6250051A,2478,181,N,1237,POLLING PLACE,297,151,57,110,116,101,98,61,
SANTA MONICA,6250051A,2478,181,N,,VBM PORTION,87,27,10,29,17,28,27,8,
SANTA MONICA,6250051A,2478,181,N,1237,TOTAL,384,178,67,139,133,129,125,69,
SANTA MONICA,6250052B,2479,181,N,901,POLLING PLACE,164,74,30,55,69,59,40,36,
SANTA MONICA,6250052B,2479,181,N,,VBM PORTION,50,14,6,11,15,14,10,10,
SANTA MONICA,6250052B,2479,181,N,901,TOTAL,214,88,36,66,84,73,50,46,
SANTA MONICA,6250053A,2480,181,N,1252,POLLING PLACE,236,106,46,80,93,93,85,50,
SANTA MONICA,6250053A,2480,181,N,,VBM PORTION,111,42,27,26,24,35,36,18,
SANTA MONICA,6250053A,2480,181,N,1252,TOTAL,347,148,73,106,117,128,121,68,
SANTA MONICA,6250056A,2481,181,N,954,POLLING PLACE,97,48,24,37,41,37,33,20,
SANTA MONICA,6250056A,2481,181,N,,VBM PORTION,54,14,9,14,11,15,16,10,
SANTA MONICA,6250056A,2481,181,N,954,TOTAL,151,62,33,51,52,52,49,30,
SANTA MONICA,6250060A,2482,181,N,873,POLLING PLACE,144,76,26,53,70,54,52,36,
SANTA MONICA,6250060A,2482,181,N,,VBM PORTION,56,31,11,25,24,21,22,10,
SANTA MONICA,6250060A,2482,181,N,873,TOTAL,200,107,37,78,94,75,74,46,
SANTA MONICA,6250061A,2483,181,N,991,POLLING PLACE,228,105,49,67,124,103,80,50,
SANTA MONICA,6250061A,2483,181,N,,VBM PORTION,43,20,8,11,27,21,14,9,
SANTA MONICA,6250061A,2483,181,N,991,TOTAL,271,125,57,78,151,124,94,59,
SANTA MONICA,6250062A,2484,181,N,887,POLLING PLACE,209,109,45,84,122,85,69,45,
SANTA MONICA,6250062A,2484,181,N,,VBM PORTION,37,18,7,7,19,10,16,6,
SANTA MONICA,6250062A,2484,181,N,887,TOTAL,246,127,52,91,141,95,85,51,
SANTA MONICA,6250067A,2485,181,N,944,POLLING PLACE,296,155,33,132,129,136,85,29,
SANTA MONICA,6250067A,2485,181,N,,VBM PORTION,45,23,3,16,20,17,11,4,
SANTA MONICA,6250067A,2485,181,N,944,TOTAL,341,178,36,148,149,153,96,33,
SANTA MONICA,6250068D,2486,181,N,582,POLLING PLACE,139,75,20,62,61,60,46,19,
SANTA MONICA,6250068D,2486,181,N,,VBM PORTION,53,25,9,14,15,13,21,13,
SANTA MONICA,6250068D,2486,181,N,582,TOTAL,192,100,29,76,76,73,67,32,
SANTA MONICA,6250069A,2487,181,N,1149,POLLING PLACE,363,179,50,157,153,149,106,65,
SANTA MONICA,6250069A,2487,181,N,,VBM PORTION,96,48,16,32,33,34,28,21,
SANTA MONICA,6250069A,2487,181,N,1149,TOTAL,459,227,66,189,186,183,134,86,
SANTA MONICA,6250070A,2488,181,N,1101,POLLING PLACE,301,193,44,156,130,159,116,40,
SANTA MONICA,6250070A,2488,181,N,,VBM PORTION,112,61,22,52,47,55,37,17,
SANTA MONICA,6250070A,2488,181,N,1101,TOTAL,413,254,66,208,177,214,153,57,
SANTA MONICA,6250071A,2489,181,N,930,POLLING PLACE,198,98,44,71,92,82,59,41,
SANTA MONICA,6250071A,2489,181,N,,VBM PORTION,55,25,14,20,24,29,20,13,
SANTA MONICA,6250071A,2489,181,N,930,TOTAL,253,123,58,91,116,111,79,54,
SANTA MONICA,6250072A,2490,181,N,1294,POLLING PLACE,460,273,71,195,176,207,150,64,
SANTA MONICA,6250072A,2490,181,N,,VBM PORTION,135,71,29,65,48,67,42,26,
SANTA MONICA,6250072A,2490,181,N,1294,TOTAL,595,344,100,260,224,274,192,90,
SANTA MONICA,6250076B,2491,181,N,878,POLLING PLACE,276,146,36,122,114,130,88,34,
SANTA MONICA,6250076B,2491,181,N,,VBM PORTION,68,36,10,35,35,35,19,10,
SANTA MONICA,6250076B,2491,181,N,878,TOTAL,344,182,46,157,149,165,107,44,
SANTA MONICA,6250078A,2492,181,N,826,POLLING PLACE,212,105,34,78,87,95,66,30,
SANTA MONICA,6250078A,2492,181,N,,VBM PORTION,47,23,10,16,14,16,12,2,
SANTA MONICA,6250078A,2492,181,N,826,TOTAL,259,128,44,94,101,111,78,32,
SANTA MONICA,6250081A,2493,181,N,1103,POLLING PLACE,372,178,74,142,150,164,121,54,
SANTA MONICA,6250081A,2493,181,N,,VBM PORTION,76,38,13,23,32,26,21,21,
SANTA MONICA,6250081A,2493,181,N,1103,TOTAL,448,216,87,165,182,190,142,75,
SANTA MONICA,6250083A,2494,181,N,1180,POLLING PLACE,384,225,63,172,152,173,137,47,
SANTA MONICA,6250083A,2494,181,N,,VBM PORTION,85,47,11,39,30,35,24,14,
SANTA MONICA,6250083A,2494,181,N,1180,TOTAL,469,272,74,211,182,208,161,61,
SANTA MONICA,6250085A,2495,181,N,1252,POLLING PLACE,324,146,54,129,119,139,103,36,
SANTA MONICA,6250085A,2495,181,N,,VBM PORTION,121,68,23,42,55,38,36,28,
SANTA MONICA,6250085A,2495,181,N,1252,TOTAL,445,214,77,171,174,177,139,64,
SANTA MONICA,6250089A,2496,181,N,1207,POLLING PLACE,455,240,75,199,187,214,147,72,
SANTA MONICA,6250089A,2496,181,N,,VBM PORTION,122,68,16,53,46,44,28,26,
SANTA MONICA,6250089A,2496,181,N,1207,TOTAL,577,308,91,252,233,258,175,98,
SANTA MONICA,6250092A,2497,181,N,1231,POLLING PLACE,346,186,58,158,168,162,99,54,
SANTA MONICA,6250092A,2497,181,N,,VBM PORTION,99,52,11,49,38,35,24,9,
SANTA MONICA,6250092A,2497,181,N,1231,TOTAL,445,238,69,207,206,197,123,63,
SANTA MONICA,6250094B,2498,181,N,943,POLLING PLACE,237,109,33,76,86,103,76,26,
SANTA MONICA,6250094B,2498,181,N,,VBM PORTION,75,30,2,30,27,28,14,5,
SANTA MONICA,6250094B,2498,181,N,943,TOTAL,312,139,35,106,113,131,90,31,
SANTA MONICA,6250095A,2499,181,N,1311,POLLING PLACE,302,152,65,95,100,109,94,62,
SANTA MONICA,6250095A,2499,181,N,,VBM PORTION,126,68,19,47,43,56,37,14,
SANTA MONICA,6250095A,2499,181,N,1311,TOTAL,428,220,84,142,143,165,131,76,
SANTA MONICA,6250098A,2500,181,N,1199,POLLING PLACE,326,141,41,126,117,125,102,53,
SANTA MONICA,6250098A,2500,181,N,,VBM PORTION,78,33,14,31,16,29,18,12,
SANTA MONICA,6250098A,2500,181,N,1199,TOTAL,404,174,55,157,133,154,120,65,
SANTA MONICA,6250106A,2501,181,N,955,POLLING PLACE,249,124,40,96,109,112,74,41,
SANTA MONICA,6250106A,2501,181,N,,VBM PORTION,101,53,19,38,38,42,21,15,
SANTA MONICA,6250106A,2501,181,N,955,TOTAL,350,177,59,134,147,154,95,56,
SANTA MONICA,6250107A,2502,181,N,1181,POLLING PLACE,336,171,43,128,122,127,82,47,
SANTA MONICA,6250107A,2502,181,N,,VBM PORTION,129,65,11,59,46,61,35,18,
SANTA MONICA,6250107A,2502,181,N,1181,TOTAL,465,236,54,187,168,188,117,65,
SANTA MONICA,6250110D,2503,181,N,910,POLLING PLACE,245,110,45,96,98,89,63,39,
SANTA MONICA,6250110D,2503,181,N,,VBM PORTION,60,32,6,26,26,23,18,7,
SANTA MONICA,6250110D,2503,181,N,910,TOTAL,305,142,51,122,124,112,81,46,
SANTA MONICA,6250113A,2504,181,N,1372,POLLING PLACE,294,132,49,108,104,102,97,49,
SANTA MONICA,6250113A,2504,181,N,,VBM PORTION,119,51,21,36,39,37,34,23,
SANTA MONICA,6250113A,2504,181,N,1372,TOTAL,413,183,70,144,143,139,131,72,
SANTA MONICA,6250121A,2505,181,N,1205,POLLING PLACE,268,131,45,106,106,93,85,49,
SANTA MONICA,6250121A,2505,181,N,,VBM PORTION,81,42,18,23,30,31,30,18,
SANTA MONICA,6250121A,2505,181,N,1205,TOTAL,349,173,63,129,136,124,115,67,
SANTA MONICA,6250125A,2506,181,N,1138,POLLING PLACE,354,181,43,134,118,144,109,58,
SANTA MONICA,6250125A,2506,181,N,,VBM PORTION,114,56,18,48,33,46,34,20,
SANTA MONICA,6250125A,2506,181,N,1138,TOTAL,468,237,61,182,151,190,143,78,
SANTA MONICA,6250127A,2507,181,N,1072,POLLING PLACE,327,157,59,131,150,134,102,54,
SANTA MONICA,6250127A,2507,181,N,,VBM PORTION,65,34,4,24,21,25,13,9,
SANTA MONICA,6250127A,2507,181,N,1072,TOTAL,392,191,63,155,171,159,115,63,
SANTA MONICA,6250128A,2508,181,N,878,POLLING PLACE,268,125,27,94,70,118,112,33,
SANTA MONICA,6250128A,2508,181,N,,VBM PORTION,117,55,11,43,29,38,29,13,
SANTA MONICA,6250128A,2508,181,N,878,TOTAL,385,180,38,137,99,156,141,46,
SANTA MONICA,6250128C,6226,182,Y,83,POLLING PLACE,,,,,,,,,
SANTA MONICA,6250128C,6226,182,Y,,VBM PORTION,20,10,2,3,4,4,7,5,
