LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BOBBY SHRIVER,SHEILA KUEHL,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,67,38,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,61,28,
AGOURA,0070001A,7,115,N,862,TOTAL,262,128,66,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,5,7,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,5,7,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,87,60,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,47,27,
AGOURA,0070004A,8,190,N,710,TOTAL,252,134,87,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,60,68,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,16,15,
AGOURA,0070004C,9,191,N,369,TOTAL,185,76,83,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,6,4,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,6,4,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,170,96,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,59,53,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,229,149,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,6,6,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,6,6,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,97,79,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,23,26,
AGOURA,0070041A,11,189,N,675,TOTAL,260,120,105,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,4,2,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,4,2,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,130,113,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,38,50,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,168,163,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,79,82,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,34,45,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,113,127,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,129,121,
