LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GERARDO RODRIGUEZ,SERGIO J CALDERON,
ATHENS,0450001A,124,371,N,1168,POLLING PLACE,179,40,106,
ATHENS,0450001A,124,371,N,,VBM PORTION,44,6,32,
ATHENS,0450001A,124,371,N,1168,TOTAL,223,46,138,
ATHENS,0450002B,125,371,N,1203,POLLING PLACE,248,75,137,
ATHENS,0450002B,125,371,N,,VBM PORTION,39,10,19,
ATHENS,0450002B,125,371,N,1203,TOTAL,287,85,156,
ATHENS,0450004A,126,366,N,1286,POLLING PLACE,177,46,100,
ATHENS,0450004A,126,366,N,,VBM PORTION,73,17,43,
ATHENS,0450004A,126,366,N,1286,TOTAL,250,63,143,
ATHENS,0450007A,127,371,N,996,POLLING PLACE,208,49,120,
ATHENS,0450007A,127,371,N,,VBM PORTION,61,9,43,
ATHENS,0450007A,127,371,N,996,TOTAL,269,58,163,
ATHENS,0450008A,128,371,N,582,POLLING PLACE,151,33,99,
ATHENS,0450008A,128,371,N,,VBM PORTION,37,6,19,
ATHENS,0450008A,128,371,N,582,TOTAL,188,39,118,
BELL,0700001A,198,347,N,957,POLLING PLACE,136,50,73,
BELL,0700001A,198,347,N,,VBM PORTION,26,7,15,
BELL,0700001A,198,347,N,957,TOTAL,162,57,88,
BELL,0700002A,199,347,N,967,POLLING PLACE,154,50,81,
BELL,0700002A,199,347,N,,VBM PORTION,17,1,12,
BELL,0700002A,199,347,N,967,TOTAL,171,51,93,
BELL,0700005A,200,347,N,1135,POLLING PLACE,122,51,58,
BELL,0700005A,200,347,N,,VBM PORTION,41,18,15,
BELL,0700005A,200,347,N,1135,TOTAL,163,69,73,
BELL,0700007B,201,347,N,1146,POLLING PLACE,165,55,86,
BELL,0700007B,201,347,N,,VBM PORTION,38,7,24,
BELL,0700007B,201,347,N,1146,TOTAL,203,62,110,
BELL,0700008A,202,347,N,1081,POLLING PLACE,179,65,86,
BELL,0700008A,202,347,N,,VBM PORTION,27,11,12,
BELL,0700008A,202,347,N,1081,TOTAL,206,76,98,
BELL,0700010A,203,347,N,1170,POLLING PLACE,152,42,85,
BELL,0700010A,203,347,N,,VBM PORTION,51,19,30,
BELL,0700010A,203,347,N,1170,TOTAL,203,61,115,
BELL,0700011A,204,347,N,1142,POLLING PLACE,201,67,114,
BELL,0700011A,204,347,N,,VBM PORTION,37,14,21,
BELL,0700011A,204,347,N,1142,TOTAL,238,81,135,
BELL,0700013A,205,347,N,1002,POLLING PLACE,160,49,90,
BELL,0700013A,205,347,N,,VBM PORTION,48,12,25,
BELL,0700013A,205,347,N,1002,TOTAL,208,61,115,
BELL,0700017A,206,347,N,887,POLLING PLACE,147,51,69,
BELL,0700017A,206,347,N,,VBM PORTION,29,11,13,
BELL,0700017A,206,347,N,887,TOTAL,176,62,82,
BELL,0700018A,207,347,N,1047,POLLING PLACE,189,61,104,
BELL,0700018A,207,347,N,,VBM PORTION,17,3,12,
BELL,0700018A,207,347,N,1047,TOTAL,206,64,116,
BELL GARDENS,0800001A,244,306,N,1059,POLLING PLACE,122,49,67,
BELL GARDENS,0800001A,244,306,N,,VBM PORTION,30,11,17,
BELL GARDENS,0800001A,244,306,N,1059,TOTAL,152,60,84,
BELL GARDENS,0800002A,245,306,N,982,POLLING PLACE,131,55,69,
BELL GARDENS,0800002A,245,306,N,,VBM PORTION,19,5,8,
BELL GARDENS,0800002A,245,306,N,982,TOTAL,150,60,77,
BELL GARDENS,0800003A,246,306,N,988,POLLING PLACE,112,30,57,
BELL GARDENS,0800003A,246,306,N,,VBM PORTION,20,4,15,
BELL GARDENS,0800003A,246,306,N,988,TOTAL,132,34,72,
BELL GARDENS,0800004A,247,306,N,1143,POLLING PLACE,139,39,91,
BELL GARDENS,0800004A,247,306,N,,VBM PORTION,18,5,11,
BELL GARDENS,0800004A,247,306,N,1143,TOTAL,157,44,102,
BELL GARDENS,0800005A,248,306,N,1040,POLLING PLACE,95,33,46,
BELL GARDENS,0800005A,248,306,N,,VBM PORTION,24,4,16,
BELL GARDENS,0800005A,248,306,N,1040,TOTAL,119,37,62,
BELL GARDENS,0800006A,249,306,N,1135,POLLING PLACE,172,46,104,
BELL GARDENS,0800006A,249,306,N,,VBM PORTION,30,10,19,
BELL GARDENS,0800006A,249,306,N,1135,TOTAL,202,56,123,
BELL GARDENS,0800007A,250,306,N,1057,POLLING PLACE,131,47,70,
BELL GARDENS,0800007A,250,306,N,,VBM PORTION,29,9,19,
BELL GARDENS,0800007A,250,306,N,1057,TOTAL,160,56,89,
BELL GARDENS,0800009A,251,306,N,1002,POLLING PLACE,155,55,89,
BELL GARDENS,0800009A,251,306,N,,VBM PORTION,38,14,19,
BELL GARDENS,0800009A,251,306,N,1002,TOTAL,193,69,108,
BELL GARDENS,0800010A,252,305,N,285,POLLING PLACE,58,11,38,
BELL GARDENS,0800010A,252,305,N,,VBM PORTION,28,10,15,
BELL GARDENS,0800010A,252,305,N,285,TOTAL,86,21,53,
BELL GARDENS,0800011A,253,306,N,553,POLLING PLACE,64,26,28,
BELL GARDENS,0800011A,253,306,N,,VBM PORTION,7,1,6,
BELL GARDENS,0800011A,253,306,N,553,TOTAL,71,27,34,
BELL GARDENS,0800013A,254,306,N,885,POLLING PLACE,102,27,64,
BELL GARDENS,0800013A,254,306,N,,VBM PORTION,16,7,5,
BELL GARDENS,0800013A,254,306,N,885,TOTAL,118,34,69,
