LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,13,121,70,132,5,723,365,27
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,14,128,55,99,9,686,375,27
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,27,249,125,231,14,1409,740,54
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,46,273,161,128,28,1457,374,62
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,41,337,151,116,28,1215,419,41
CITY OF ALHAMBRA,N,37025,TOTAL,5368,87,610,312,244,56,2672,793,103
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,37,270,77,167,13,799,769,30
CITY OF ARCADIA,N,0,VBM PORTION,3054,32,413,83,214,18,982,912,41
CITY OF ARCADIA,N,29165,TOTAL,5433,69,683,160,381,31,1781,1681,71
CITY OF ARTESIA,N,7390,POLLING PLACE,555,14,48,63,26,15,197,101,15
CITY OF ARTESIA,N,0,VBM PORTION,596,10,83,39,27,15,226,126,9
CITY OF ARTESIA,N,7390,TOTAL,1149,24,131,102,53,30,423,227,24
CITY OF AVALON,N,1730,POLLING PLACE,190,2,9,11,21,3,70,43,6
CITY OF AVALON,N,0,VBM PORTION,184,0,11,6,21,3,65,48,4
CITY OF AVALON,N,1730,TOTAL,374,2,20,17,42,6,135,91,10
CITY OF AZUSA,N,18442,POLLING PLACE,1308,22,106,146,72,13,516,235,44
CITY OF AZUSA,N,0,VBM PORTION,1201,21,105,87,60,12,540,253,24
CITY OF AZUSA,N,18442,TOTAL,2508,43,211,233,132,25,1056,488,68
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,60,108,200,84,16,816,156,57
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,23,106,139,51,12,716,130,45
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,83,214,339,135,28,1532,286,102
CITY OF BELL,N,11175,POLLING PLACE,618,10,15,118,22,7,275,56,17
CITY OF BELL,N,0,VBM PORTION,349,6,9,40,26,5,158,55,7
CITY OF BELL,N,11175,TOTAL,966,16,24,158,48,12,433,111,24
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,15,32,82,27,12,234,32,22
CITY OF BELL GARDENS,N,0,VBM PORTION,316,10,7,46,14,9,151,25,9
CITY OF BELL GARDENS,N,12887,TOTAL,855,25,39,128,41,21,385,57,31
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,38,188,164,150,23,782,484,56
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,44,137,149,124,29,760,467,39
CITY OF BELLFLOWER,N,34364,TOTAL,4019,82,325,313,274,52,1542,951,95
