LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ELLEN H BROWN,GREG CONLON,JOHN CHIANG
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,78,579,786
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,59,596,717
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,137,1175,1503
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,158,565,1737
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,129,627,1607
CITY OF ALHAMBRA,N,37025,TOTAL,5368,287,1192,3344
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,79,1047,994
CITY OF ARCADIA,N,0,VBM PORTION,3054,99,1282,1317
CITY OF ARCADIA,N,29165,TOTAL,5433,178,2329,2311
CITY OF ARTESIA,N,7390,POLLING PLACE,555,44,150,267
CITY OF ARTESIA,N,0,VBM PORTION,596,37,202,281
CITY OF ARTESIA,N,7390,TOTAL,1149,81,352,548
CITY OF AVALON,N,1730,POLLING PLACE,190,15,67,85
CITY OF AVALON,N,0,VBM PORTION,184,13,84,70
CITY OF AVALON,N,1730,TOTAL,374,28,151,155
CITY OF AZUSA,N,18442,POLLING PLACE,1308,99,356,669
CITY OF AZUSA,N,0,VBM PORTION,1201,63,401,621
CITY OF AZUSA,N,18442,TOTAL,2508,162,757,1290
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,130,256,1103
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,83,231,915
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,213,487,2018
CITY OF BELL,N,11175,POLLING PLACE,618,51,57,423
CITY OF BELL,N,0,VBM PORTION,349,26,60,223
CITY OF BELL,N,11175,TOTAL,966,77,117,646
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,58,57,339
CITY OF BELL GARDENS,N,0,VBM PORTION,316,27,44,207
CITY OF BELL GARDENS,N,12887,TOTAL,855,85,101,546
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,139,737,1000
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,135,661,944
CITY OF BELLFLOWER,N,34364,TOTAL,4019,274,1398,1944
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,106,463,1132
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,75,686,1321
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,181,1149,2453
CITY OF BRADBURY,N,599,POLLING PLACE,66,0,39,22
CITY OF BRADBURY,N,0,VBM PORTION,67,3,33,23
CITY OF BRADBURY,N,599,TOTAL,133,3,72,45
CITY OF BURBANK,N,60155,POLLING PLACE,4654,287,1506,2418
CITY OF BURBANK,N,0,VBM PORTION,4858,256,1664,2389
CITY OF BURBANK,N,60155,TOTAL,9510,543,3170,4807
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,65,476,730
CITY OF CALABASAS,N,0,VBM PORTION,1873,69,672,906
CITY OF CALABASAS,N,14914,TOTAL,3327,134,1148,1636
CITY OF CARSON,N,52903,POLLING PLACE,5087,303,683,3484
CITY OF CARSON,N,0,VBM PORTION,4089,222,665,2858
CITY OF CARSON,N,52903,TOTAL,9175,525,1348,6342
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,130,960,1392
CITY OF CERRITOS,N,0,VBM PORTION,3286,122,1022,1771
CITY OF CERRITOS,N,31594,TOTAL,6062,252,1982,3163
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,127,801,1703
CITY OF CLAREMONT,N,0,VBM PORTION,2652,131,810,1437
CITY OF CLAREMONT,N,22235,TOTAL,5533,258,1611,3140
CITY OF COMMERCE,N,6256,POLLING PLACE,444,41,48,292
CITY OF COMMERCE,N,0,VBM PORTION,247,19,29,171
CITY OF COMMERCE,N,6256,TOTAL,686,60,77,463
CITY OF COMPTON,N,43063,POLLING PLACE,3022,208,142,2278
CITY OF COMPTON,N,0,VBM PORTION,1873,92,85,1510
CITY OF COMPTON,N,43063,TOTAL,4894,300,227,3788
CITY OF COVINA,N,26090,POLLING PLACE,2040,112,788,920
CITY OF COVINA,N,0,VBM PORTION,1877,84,701,892
CITY OF COVINA,N,26090,TOTAL,3913,196,1489,1812
CITY OF CUDAHY,N,6697,POLLING PLACE,376,29,37,251
CITY OF CUDAHY,N,0,VBM PORTION,164,10,14,127
CITY OF CUDAHY,N,6697,TOTAL,539,39,51,378
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,195,536,2413
CITY OF CULVER CITY,N,0,VBM PORTION,3120,160,531,2069
CITY OF CULVER CITY,N,26286,TOTAL,6708,355,1067,4482
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,96,1053,1208
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,106,1187,1469
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,202,2240,2677
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,344,1918,2815
CITY OF DOWNEY,N,0,VBM PORTION,3452,153,1271,1623
CITY OF DOWNEY,N,54713,TOTAL,9292,497,3189,4438
CITY OF DUARTE,N,11742,POLLING PLACE,960,43,320,518
CITY OF DUARTE,N,0,VBM PORTION,1099,63,349,592
CITY OF DUARTE,N,11742,TOTAL,2059,106,669,1110
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,223,427,1427
CITY OF EL MONTE,N,0,VBM PORTION,1885,120,371,1251
CITY OF EL MONTE,N,36036,TOTAL,4201,343,798,2678
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,81,617,607
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,61,586,563
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,142,1203,1170
CITY OF GARDENA,N,30000,POLLING PLACE,2779,121,480,1866
CITY OF GARDENA,N,0,VBM PORTION,2597,106,480,1752
CITY OF GARDENA,N,30000,TOTAL,5358,227,960,3618
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,507,2737,4296
CITY OF GLENDALE,N,0,VBM PORTION,12284,639,2931,5204
CITY OF GLENDALE,N,97282,TOTAL,21689,1146,5668,9500
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,116,1519,922
CITY OF GLENDORA,N,0,VBM PORTION,2920,111,1464,1030
CITY OF GLENDORA,N,31341,TOTAL,5784,227,2983,1952
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,20,52,174
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,14,78,178
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,34,130,352
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,126,468,1584
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,99,536,1225
CITY OF HAWTHORNE,N,36483,TOTAL,4464,225,1004,2809
