LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SAL GENOVESE,ADAM B SCHIFF,STEVE STOKES
CITY OF BURBANK,N,45015,POLLING PLACE,3343,177,1985,767
CITY OF BURBANK,N,0,VBM PORTION,3568,218,2166,715
CITY OF BURBANK,N,45015,TOTAL,6910,395,4151,1482
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,439,5802,1624
CITY OF GLENDALE,N,0,VBM PORTION,12284,496,7713,1588
CITY OF GLENDALE,N,97282,TOTAL,21689,935,13515,3212
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,55,946,399
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,82,1284,563
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,137,2230,962
CITY OF LOS ANGELES,N,189517,POLLING PLACE,15942,1448,10472,1991
CITY OF LOS ANGELES,N,0,VBM PORTION,14064,1113,9120,1974
CITY OF LOS ANGELES,N,189517,TOTAL,30002,2561,19592,3965
CITY OF PASADENA,N,8859,POLLING PLACE,1151,38,791,198
CITY OF PASADENA,N,0,VBM PORTION,1664,55,1002,314
CITY OF PASADENA,N,8859,TOTAL,2813,93,1793,512
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,220,1695,144
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,197,1552,202
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,417,3247,346
UNINCORPORATED,N,12417,POLLING PLACE,1270,56,732,332
UNINCORPORATED,N,0,VBM PORTION,1239,49,748,267
UNINCORPORATED,N,12417,TOTAL,2508,105,1480,599
