LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MARK S REED,PABLO KLEINMAN,MICHAEL W POWELSON,BRAD SHERMAN,MARC LITCHMAN
CITY OF BURBANK,N,15140,POLLING PLACE,1311,282,111,59,711,71
CITY OF BURBANK,N,0,VBM PORTION,1290,286,162,47,652,61
CITY OF BURBANK,N,15140,TOTAL,2600,568,273,106,1363,132
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,41,37,4,54,4
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,42,28,0,46,6
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,83,65,4,100,10
CITY OF LOS ANGELES,N,379429,POLLING PLACE,35169,6888,3781,1133,19085,1996
CITY OF LOS ANGELES,N,0,VBM PORTION,36335,6336,4559,1092,19937,2082
CITY OF LOS ANGELES,N,379429,TOTAL,71493,13224,8340,2225,39022,4078
UNINCORPORATED,N,2515,POLLING PLACE,242,78,25,10,112,8
UNINCORPORATED,N,0,VBM PORTION,284,86,56,5,100,13
UNINCORPORATED,N,2515,TOTAL,521,164,81,15,212,21
