LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,MERVIN EVANS
CITY OF BEVERLY HILLS,N,2,POLLING PLACE,0,0,0,0
CITY OF BEVERLY HILLS,N,0,VBM PORTION,0,0,0,0
CITY OF BEVERLY HILLS,N,2,TOTAL,0,0,0,0
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,2409,625,208
CITY OF CULVER CITY,N,0,VBM PORTION,3120,2055,629,154
CITY OF CULVER CITY,N,26286,TOTAL,6708,4464,1254,362
CITY OF INGLEWOOD,N,229,POLLING PLACE,38,26,0,1
CITY OF INGLEWOOD,N,0,VBM PORTION,37,27,3,1
CITY OF INGLEWOOD,N,229,TOTAL,74,53,3,2
CITY OF LOS ANGELES,N,341911,POLLING PLACE,30068,21134,3320,1838
CITY OF LOS ANGELES,N,0,VBM PORTION,26292,18626,3732,1348
CITY OF LOS ANGELES,N,341911,TOTAL,56349,39760,7052,3186
UNINCORPORATED,N,15149,POLLING PLACE,2216,1852,91,70
UNINCORPORATED,N,0,VBM PORTION,1832,1523,131,59
UNINCORPORATED,N,15149,TOTAL,4034,3375,222,129
