LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,L ROYBAL-ALLARD,DAVID SANCHEZ
CITY OF BELL,N,11175,POLLING PLACE,618,364,152
CITY OF BELL,N,0,VBM PORTION,349,213,105
CITY OF BELL,N,11175,TOTAL,966,577,257
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,284,148
CITY OF BELL GARDENS,N,0,VBM PORTION,316,196,97
CITY OF BELL GARDENS,N,12887,TOTAL,855,480,245
CITY OF BELLFLOWER,N,16186,POLLING PLACE,977,404,274
CITY OF BELLFLOWER,N,0,VBM PORTION,904,424,249
CITY OF BELLFLOWER,N,16186,TOTAL,1881,828,523
CITY OF COMMERCE,N,6256,POLLING PLACE,444,265,84
CITY OF COMMERCE,N,0,VBM PORTION,239,153,53
CITY OF COMMERCE,N,6256,TOTAL,682,418,137
CITY OF CUDAHY,N,6697,POLLING PLACE,376,224,97
CITY OF CUDAHY,N,0,VBM PORTION,164,106,43
CITY OF CUDAHY,N,6697,TOTAL,539,330,140
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,2902,1509
CITY OF DOWNEY,N,0,VBM PORTION,3452,1728,906
CITY OF DOWNEY,N,54713,TOTAL,9292,4630,2415
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,492,273
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,324,177
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,816,450
CITY OF LOS ANGELES,N,45067,POLLING PLACE,2103,911,733
CITY OF LOS ANGELES,N,0,VBM PORTION,1319,790,367
CITY OF LOS ANGELES,N,45067,TOTAL,3419,1701,1100
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,290,84
CITY OF MAYWOOD,N,0,VBM PORTION,258,166,66
CITY OF MAYWOOD,N,8324,TOTAL,708,456,150
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,469,317
CITY OF PARAMOUNT,N,0,VBM PORTION,648,350,181
CITY OF PARAMOUNT,N,19999,TOTAL,1576,819,498
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,11,4
CITY OF VERNON,N,60,TOTAL,16,11,4
UNINCORPORATED,N,46848,POLLING PLACE,3145,1708,715
UNINCORPORATED,N,0,VBM PORTION,1483,988,338
UNINCORPORATED,N,46848,TOTAL,4626,2696,1053
