LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CHRIS HOLDEN
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1933
CITY OF CLAREMONT,N,0,VBM PORTION,2652,1695
CITY OF CLAREMONT,N,22235,TOTAL,5533,3628
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1305
CITY OF LA VERNE,N,0,VBM PORTION,2109,1133
CITY OF LA VERNE,N,20532,TOTAL,4568,2438
CITY OF MONROVIA,N,19880,POLLING PLACE,1846,1072
CITY OF MONROVIA,N,0,VBM PORTION,1892,1151
CITY OF MONROVIA,N,19880,TOTAL,3726,2223
CITY OF PASADENA,N,78446,POLLING PLACE,7034,4802
CITY OF PASADENA,N,0,VBM PORTION,8406,5313
CITY OF PASADENA,N,78446,TOTAL,15430,10115
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1057
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,1112
CITY OF SAN DIMAS,N,21257,TOTAL,3989,2169
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,672
CITY OF SIERRA MADRE,N,0,VBM PORTION,1117,603
CITY OF SIERRA MADRE,N,8060,TOTAL,2295,1275
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,1356
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,1149
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,2505
UNINCORPORATED,N,39481,POLLING PLACE,4212,2902
UNINCORPORATED,N,0,VBM PORTION,4186,2711
UNINCORPORATED,N,39481,TOTAL,8385,5613
