LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SUSAN SHELLEY,MATT DABABNEH
CITY OF CALABASAS,N,14737,POLLING PLACE,1455,514,608
CITY OF CALABASAS,N,0,VBM PORTION,1833,764,835
CITY OF CALABASAS,N,14737,TOTAL,3288,1278,1443
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,83,51
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,82,38
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,165,89
CITY OF LOS ANGELES,N,230934,POLLING PLACE,20274,8603,10098
CITY OF LOS ANGELES,N,0,VBM PORTION,22405,8751,11281
CITY OF LOS ANGELES,N,230934,TOTAL,42674,17354,21379
UNINCORPORATED,N,2517,POLLING PLACE,242,129,103
UNINCORPORATED,N,0,VBM PORTION,285,144,108
UNINCORPORATED,N,2517,TOTAL,522,273,211
