LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,733,596
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,731,592
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1464,1188
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,1106,515
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,1353,703
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,2459,1218
CITY OF CALABASAS,N,177,POLLING PLACE,0,0,0
CITY OF CALABASAS,N,0,VBM PORTION,40,7,20
CITY OF CALABASAS,N,177,TOTAL,39,7,20
CITY OF LOS ANGELES,N,161821,POLLING PLACE,17100,11000,3405
CITY OF LOS ANGELES,N,0,VBM PORTION,16651,10222,3947
CITY OF LOS ANGELES,N,161821,TOTAL,33744,21222,7352
CITY OF MALIBU,N,9097,POLLING PLACE,1202,611,346
CITY OF MALIBU,N,0,VBM PORTION,1236,565,438
CITY OF MALIBU,N,9097,TOTAL,2437,1176,784
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,6097,1759
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,4566,1646
CITY OF SANTA MONICA,N,62632,TOTAL,16552,10663,3405
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,1823,290
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,1641,316
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,3464,606
UNINCORPORATED,N,15694,POLLING PLACE,2242,1277,535
UNINCORPORATED,N,0,VBM PORTION,1993,1019,651
UNINCORPORATED,N,15694,TOTAL,4230,2296,1186
