LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PATRICK O'DONNELL,JOHN C GOYA,SUJA LOWENTHAL
CITY OF AVALON,N,1730,POLLING PLACE,190,43,71,50
CITY OF AVALON,N,0,VBM PORTION,184,32,90,49
CITY OF AVALON,N,1730,TOTAL,374,75,161,99
CITY OF LONG BEACH,N,211621,POLLING PLACE,24024,9397,6598,6504
CITY OF LONG BEACH,N,0,VBM PORTION,23392,8529,7391,5932
CITY OF LONG BEACH,N,211621,TOTAL,47412,17926,13989,12436
CITY OF LOS ANGELES,N,41376,POLLING PLACE,3930,1649,1150,784
CITY OF LOS ANGELES,N,0,VBM PORTION,4415,1587,1462,911
CITY OF LOS ANGELES,N,41376,TOTAL,8342,3236,2612,1695
CITY OF RANCHO PALOS VERDES,N,0,POLLING PLACE,0,0,0,0
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,6,1,1,1
CITY OF RANCHO PALOS VERDES,N,0,TOTAL,3,1,1,1
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,325,221,195
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,247,227,186
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,572,448,381
UNINCORPORATED,N,2226,POLLING PLACE,231,72,80,60
UNINCORPORATED,N,0,VBM PORTION,195,70,79,28
UNINCORPORATED,N,2226,TOTAL,423,142,159,88
