LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLY J MITCHELL,ISIDRO ARMENTA
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,2437,463
CITY OF CULVER CITY,N,0,VBM PORTION,3120,1962,397
CITY OF CULVER CITY,N,26286,TOTAL,6708,4399,860
CITY OF INGLEWOOD,N,7309,POLLING PLACE,654,394,112
CITY OF INGLEWOOD,N,0,VBM PORTION,532,353,80
CITY OF INGLEWOOD,N,7309,TOTAL,1185,747,192
CITY OF LOS ANGELES,N,388459,POLLING PLACE,30689,20940,4174
CITY OF LOS ANGELES,N,0,VBM PORTION,25251,17572,2681
CITY OF LOS ANGELES,N,388459,TOTAL,55928,38512,6855
UNINCORPORATED,N,31902,POLLING PLACE,3433,2659,237
UNINCORPORATED,N,0,VBM PORTION,2606,2115,166
UNINCORPORATED,N,31902,TOTAL,6024,4774,403
