LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CAROL ROSE,CHARLES M CALDERON
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,737,417
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,734,342
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1471,759
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1314,860
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1413,599
CITY OF ALHAMBRA,N,37025,TOTAL,5368,2727,1459
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1098,699
CITY OF ARCADIA,N,0,VBM PORTION,3054,1537,644
CITY OF ARCADIA,N,29165,TOTAL,5433,2635,1343
CITY OF ARTESIA,N,7390,POLLING PLACE,555,256,153
CITY OF ARTESIA,N,0,VBM PORTION,596,286,165
CITY OF ARTESIA,N,7390,TOTAL,1149,542,318
CITY OF AVALON,N,1730,POLLING PLACE,190,92,42
CITY OF AVALON,N,0,VBM PORTION,184,92,31
CITY OF AVALON,N,1730,TOTAL,374,184,73
CITY OF AZUSA,N,18442,POLLING PLACE,1308,693,346
CITY OF AZUSA,N,0,VBM PORTION,1201,702,254
CITY OF AZUSA,N,18442,TOTAL,2508,1395,600
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,843,573
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,776,340
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1619,913
CITY OF BELL,N,11175,POLLING PLACE,618,323,202
CITY OF BELL,N,0,VBM PORTION,349,193,95
CITY OF BELL,N,11175,TOTAL,966,516,297
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,255,211
CITY OF BELL GARDENS,N,0,VBM PORTION,316,184,93
CITY OF BELL GARDENS,N,12887,TOTAL,855,439,304
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,1112,588
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,1096,428
CITY OF BELLFLOWER,N,34364,TOTAL,4019,2208,1016
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,767,622
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,952,614
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,1719,1236
CITY OF BRADBURY,N,599,POLLING PLACE,66,37,21
CITY OF BRADBURY,N,0,VBM PORTION,67,45,7
CITY OF BRADBURY,N,599,TOTAL,133,82,28
CITY OF BURBANK,N,60155,POLLING PLACE,4654,2260,1317
CITY OF BURBANK,N,0,VBM PORTION,4858,2535,1020
CITY OF BURBANK,N,60155,TOTAL,9510,4795,2337
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,627,388
CITY OF CALABASAS,N,0,VBM PORTION,1873,914,415
CITY OF CALABASAS,N,14914,TOTAL,3327,1541,803
CITY OF CARSON,N,52903,POLLING PLACE,5087,2866,1326
CITY OF CARSON,N,0,VBM PORTION,4089,2442,896
CITY OF CARSON,N,52903,TOTAL,9175,5308,2222
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1418,693
CITY OF CERRITOS,N,0,VBM PORTION,3286,1749,613
CITY OF CERRITOS,N,31594,TOTAL,6062,3167,1306
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1140,1105
CITY OF CLAREMONT,N,0,VBM PORTION,2652,1171,760
CITY OF CLAREMONT,N,22235,TOTAL,5533,2311,1865
CITY OF COMMERCE,N,6256,POLLING PLACE,444,201,152
CITY OF COMMERCE,N,0,VBM PORTION,247,127,77
CITY OF COMMERCE,N,6256,TOTAL,686,328,229
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1855,657
CITY OF COMPTON,N,0,VBM PORTION,1873,1168,363
CITY OF COMPTON,N,43063,TOTAL,4894,3023,1020
CITY OF COVINA,N,26090,POLLING PLACE,2040,1111,549
CITY OF COVINA,N,0,VBM PORTION,1877,1080,389
CITY OF COVINA,N,26090,TOTAL,3913,2191,938
CITY OF CUDAHY,N,6697,POLLING PLACE,376,182,135
CITY OF CUDAHY,N,0,VBM PORTION,164,92,49
CITY OF CUDAHY,N,6697,TOTAL,539,274,184
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1432,1034
CITY OF CULVER CITY,N,0,VBM PORTION,3120,1404,744
CITY OF CULVER CITY,N,26286,TOTAL,6708,2836,1778
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,1390,640
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1680,581
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,3070,1221
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,3070,1595
CITY OF DOWNEY,N,0,VBM PORTION,3452,1972,724
CITY OF DOWNEY,N,54713,TOTAL,9292,5042,2319
CITY OF DUARTE,N,11742,POLLING PLACE,960,508,244
CITY OF DUARTE,N,0,VBM PORTION,1099,628,249
CITY OF DUARTE,N,11742,TOTAL,2059,1136,493
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,1130,794
CITY OF EL MONTE,N,0,VBM PORTION,1885,1009,514
CITY OF EL MONTE,N,36036,TOTAL,4201,2139,1308
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,755,342
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,707,252
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,1462,594
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1488,763
CITY OF GARDENA,N,0,VBM PORTION,2597,1404,527
CITY OF GARDENA,N,30000,TOTAL,5358,2892,1290
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,3850,2357
CITY OF GLENDALE,N,0,VBM PORTION,12284,4734,2073
CITY OF GLENDALE,N,97282,TOTAL,21689,8584,4430
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1454,828
CITY OF GLENDORA,N,0,VBM PORTION,2920,1630,607
CITY OF GLENDORA,N,31341,TOTAL,5784,3084,1435
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,142,89
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,178,66
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,320,155
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,1333,697
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,1244,433
CITY OF HAWTHORNE,N,36483,TOTAL,4464,2577,1130
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,714,517
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,749,397
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1463,914
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,67,37
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,57,39
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,124,76
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,474,380
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,308,180
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,782,560
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,19,3
CITY OF INDUSTRY,N,103,TOTAL,32,19,3
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,2949,1076
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,2112,653
CITY OF INGLEWOOD,N,55170,TOTAL,8342,5061,1729
CITY OF IRWINDALE,N,939,POLLING PLACE,75,27,29
CITY OF IRWINDALE,N,0,VBM PORTION,61,35,19
CITY OF IRWINDALE,N,939,TOTAL,135,62,48
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,679,545
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,1077,546
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1756,1091
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,243,94
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,314,124
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,557,218
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1356,587
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1420,458
CITY OF LA MIRADA,N,27147,TOTAL,4843,2776,1045
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,519,298
CITY OF LA PUENTE,N,0,VBM PORTION,740,425,191
CITY OF LA PUENTE,N,15802,TOTAL,1699,944,489
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1308,711
CITY OF LA VERNE,N,0,VBM PORTION,2109,1132,441
CITY OF LA VERNE,N,20532,TOTAL,4568,2440,1152
